Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
MDX,2020,Base,44500,gas,V6,23.0,5,7
MDX,2020,Base,49500,gas,V6,23.0,5,7
MDX,2020,Base,56250,gas,V6,23.0,5,6
MDX,2020,SH-AWD,60250,gas,V6,22.0,5,7
MDX,2020,SH-AWD,58250,gas,V6,22.0,5,6
MDX,2020,SH-AWD,53500,gas,V6,22.0,5,6
MDX,2020,SH-AWD,51500,gas,V6,22.0,5,7
MDX,2020,SH-AWD,46500,gas,V6,22.0,5,7
MDX,2020,SH-AWD A-Spec,55000,gas,V6,21.0,5,7
MDX,2020,SH-AWD PMC Edition,61750,gas,V6,22.0,5,6
MDX,2020,Sport Hybrid SH-AWD,53000,hybrid,V6,27.0,5,7
MDX,2020,Sport Hybrid SH-AWD,59750,hybrid,V6,27.0,5,6
RDX,2020,A-Spec,44000,gas,I4,24.0,5,5
RDX,2020,Base,45900,gas,I4,24.0,5,5
RDX,2020,Base,41000,gas,I4,24.0,5,5
RDX,2020,Base,37800,gas,I4,24.0,5,5
RDX,2020,SH-AWD,43000,gas,I4,23.0,5,5
RDX,2020,SH-AWD,47900,gas,I4,23.0,5,5
RDX,2020,SH-AWD,39800,gas,I4,23.0,5,5
RDX,2020,SH-AWD A-Spec,46000,gas,I4,23.0,5,5
MDX,2019,Advance and Entertainment Packages,58050,gas,V6,23.0,5,7
MDX,2019,Advance Package,56050,gas,V6,23.0,5,6
MDX,2019,Base,44300,gas,V6,23.0,5,7
MDX,2019,SH-AWD,58050,gas,V6,22.0,5,6
MDX,2019,SH-AWD,60050,gas,V6,22.0,5,7
MDX,2019,SH-AWD,53300,gas,V6,22.0,5,6
MDX,2019,SH-AWD,51300,gas,V6,22.0,5,7
MDX,2019,SH-AWD,46300,gas,V6,22.0,5,7
MDX,2019,SH-AWD A-Spec,54800,gas,V6,21.0,5,7
MDX,2019,Sport Hybrid SH-AWD,59550,hybrid,V6,27.0,5,6
MDX,2019,Sport Hybrid SH-AWD,52800,hybrid,V6,27.0,5,7
MDX,2019,Technology and Entertainment Packages,51300,gas,V6,23.0,5,6
