Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Stelvio,2020,Base,41400,gas,I4,25.0,5,5
Stelvio,2020,Base,43400,gas,I4,24.0,5,5
Stelvio,2020,Quadrifoglio,80500,gas,V6,19.0,5,5
Stelvio,2020,Sport,42850,gas,I4,25.0,5,5
Stelvio,2020,Sport,44850,gas,I4,24.0,5,5
Stelvio,2020,Ti,45800,gas,I4,24.0,5,5
Stelvio,2020,Ti Lusso,48300,gas,I4,24.0,5,5
Stelvio,2020,Ti Sport,48300,gas,I4,24.0,5,5
Stelvio,2020,Ti Sport Carbon,52300,gas,I4,24.0,5,5
Stelvio,2019,Base,40295,gas,I4,24.0,5,5
Stelvio,2019,Base,42295,gas,I4,24.0,5,5
Stelvio,2019,Quadrifoglio,79995,gas,V6,19.0,5,5
Stelvio,2019,Sport,44295,gas,I4,24.0,5,5
Stelvio,2019,Sport,42295,gas,I4,24.0,5,5
Stelvio,2019,Ti,44495,gas,I4,24.0,5,5
Stelvio,2019,Ti Lusso,46995,gas,I4,24.0,5,5
Stelvio,2019,Ti Sport,47295,gas,I4,24.0,5,5
Stelvio,2018,Base,41995,gas,I4,24.0,5,5
Stelvio,2018,Quadrifoglio,79795,gas,V6,19.0,5,5
Stelvio,2018,Sport,43795,gas,I4,24.0,5,5
Stelvio,2018,Ti,43995,gas,I4,24.0,5,5
Stelvio,2018,Ti Lusso,46495,gas,I4,24.0,5,5
Stelvio,2018,Ti Sport,46495,gas,I4,24.0,5,5
