Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Giulia,2020,Base,41400,gas,I4,26.0,4,5
Giulia,2020,Base,39400,gas,I4,27.0,4,5
Giulia,2020,Quadrifoglio,74500,gas,V6,20.0,4,5
Giulia,2020,Sport,42850,gas,I4,26.0,4,5
Giulia,2020,Sport,40850,gas,I4,27.0,4,5
Giulia,2020,Ti,41400,gas,I4,27.0,4,5
Giulia,2020,Ti,43400,gas,I4,26.0,4,5
Giulia,2020,Ti Lusso,43900,gas,I4,27.0,4,5
Giulia,2020,Ti Lusso,45900,gas,I4,26.0,4,5
Giulia,2020,Ti Sport,44400,gas,I4,27.0,4,5
Giulia,2020,Ti Sport,46400,gas,I4,26.0,4,5
Giulia,2020,Ti Sport Carbon,48400,gas,I4,27.0,4,5
Giulia,2020,Ti Sport Carbon,50400,gas,I4,26.0,4,5
Giulia,2019,Base,38295,gas,I4,27.0,4,5
Giulia,2019,Base,40295,gas,I4,26.0,4,5
Giulia,2019,Quadrifoglio,73995,gas,V6,20.0,4,5
Giulia,2019,Sport,41745,gas,I4,26.0,4,5
Giulia,2019,Sport,39745,gas,I4,27.0,4,5
Giulia,2019,Ti,40495,gas,I4,27.0,4,5
Giulia,2019,Ti,42495,gas,I4,26.0,4,5
Giulia,2019,Ti Lusso,44995,gas,I4,26.0,4,5
Giulia,2019,Ti Lusso,42995,gas,I4,27.0,4,5
Giulia,2019,Ti Sport,45195,gas,I4,26.0,4,5
Giulia,2019,Ti Sport,43195,gas,I4,27.0,4,5
Giulia,2019,Ti Sport Carbon,47995,gas,I4,27.0,4,5
Giulia,2019,Ti Sport Carbon,49995,gas,I4,26.0,4,5
Giulia,2018,Base,38195,gas,I4,27.0,4,5
Giulia,2018,Base,40195,gas,I4,26.0,4,5
Giulia,2018,Quadrifoglio,73700,gas,V6,20.0,4,5
Giulia,2018,Sport,39445,gas,I4,27.0,4,5
Giulia,2018,Sport,41445,gas,I4,26.0,4,5
Giulia,2018,Ti,40195,gas,I4,27.0,4,5
Giulia,2018,Ti,42195,gas,I4,26.0,4,5
Giulia,2018,Ti Lusso,44695,gas,I4,26.0,4,5
Giulia,2018,Ti Lusso,42695,gas,I4,27.0,4,5
Giulia,2018,Ti Sport,42695,gas,I4,27.0,4,5
Giulia,2018,Ti Sport,44695,gas,I4,26.0,4,5
Giulia,2017,Base,37995,gas,I4,27.0,4,5
Giulia,2017,Base,39995,gas,I4,26.0,4,5
Giulia,2017,Quadrifoglio,72000,gas,V6,20.0,4,5
Giulia,2017,Ti,39995,gas,I4,27.0,4,5
Giulia,2017,Ti,41995,gas,I4,26.0,4,5
