Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
DB11,2020,V8 Volante,220900,gas,V8,20.0,2,4
DBS Superleggera,2020,Volante,329100,gas,V12,17.0,2,4
DB11,2019,V8 Volante,216495,gas,V8,20.0,2,4
Vanquish S,2018,Volante,311650,gas,V12,16.0,2,4
V12 Vantage S,2017,Roadster,211895,gas,V12,12.0,2,2
V12 Vantage S,2017,Roadster,200695,gas,V12,14.0,2,2
Vanquish,2017,Volante,305650,gas,V12,16.0,2,4
DB9 GT,2016,Volante,213250,gas,V12,15.0,2,4
V12 Vantage S,2016,Roadster,198195,gas,V12,14.0,2,2
V8 Vantage,2016,GT Roadster,117800,gas,V8,15.0,2,2
V8 Vantage,2016,GT Roadster,123500,gas,V8,16.0,2,2
V8 Vantage,2016,Roadster,141495,gas,V8,16.0,2,2
V8 Vantage,2016,Roadster,135795,gas,V8,15.0,2,2
V8 Vantage,2016,S Roadster,148795,gas,V8,15.0,2,2
V8 Vantage,2016,S Roadster,154495,gas,V8,16.0,2,2
Vanquish,2016,Carbon Volante,320695,gas,V12,16.0,2,4
Vanquish,2016,Volante,305650,gas,V12,16.0,2,4
DB9,2015,Volante,203295,gas,V12,15.0,2,4
DB9,2015,Volante Carbon Edition,213295,gas,V12,15.0,2,4
V8 Vantage,2015,GT Roadster,118400,gas,V8,16.0,2,2
V8 Vantage,2015,GT Roadster,112700,gas,V8,15.0,2,2
V8 Vantage,2015,Roadster,132495,gas,V8,15.0,2,2
V8 Vantage,2015,Roadster,138195,gas,V8,16.0,2,2
V8 Vantage,2015,S Roadster,147495,gas,V8,15.0,2,2
V8 Vantage,2015,S Roadster,153195,gas,V8,16.0,2,2
Vanquish,2015,Volante,301695,gas,V12,16.0,2,4
