Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
A5,2020,Premium,49900,gas,I4,26.0,2,4
A5,2020,Premium Plus,53700,gas,I4,26.0,2,4
A5,2020,Prestige,59600,gas,I4,26.0,2,4
R8,2020,performance Spyder,208100,gas,V10,16.0,2,2
R8,2020,Spyder,182100,gas,V10,16.0,2,2
S5,2020,Premium,60200,gas,V6,22.0,2,4
S5,2020,Premium Plus,62700,gas,V6,22.0,2,4
S5,2020,Prestige,68600,gas,V6,22.0,2,4
TT,2020,Base,49000,gas,I4,26.0,2,2
A3,2019,2.0 TFSI Premium,38900,gas,I4,29.0,2,4
A3,2019,2.0 TFSI Premium Plus,42300,gas,I4,29.0,2,4
A3,2019,2.0 TFSI Premium Plus quattro,45100,gas,I4,25.0,2,4
A3,2019,2.0 TFSI Premium quattro,41700,gas,I4,25.0,2,4
A3,2019,2.0 TFSI Prestige,47100,gas,I4,29.0,2,4
A3,2019,2.0 TFSI Prestige quattro,49900,gas,I4,25.0,2,4
A5,2019,2.0 TFSI Premium Plus quattro,55600,gas,I4,27.0,2,4
A5,2019,2.0 TFSI Premium quattro,51200,gas,I4,27.0,2,4
A5,2019,2.0 TFSI Prestige quattro,59300,gas,I4,27.0,2,4
S5,2019,3.0 TFSI Premium Plus quattro,65100,gas,V6,24.0,2,4
S5,2019,3.0 TFSI Prestige quattro,68800,gas,V6,24.0,2,4
TT,2019,2.0 TFSI quattro,48400,gas,I4,26.0,2,2
A3,2018,2.0 TFSI Premium,38350,gas,I4,28.0,2,4
A3,2018,2.0 TFSI Premium Plus,41600,gas,I4,28.0,2,4
A3,2018,2.0 TFSI Premium Plus quattro,44300,gas,I4,25.0,2,4
A3,2018,2.0 TFSI Premium Plus quattro Summer of Audi,46200,gas,I4,25.0,2,4
A3,2018,2.0 TFSI Premium Plus Summer of Audi,43500,gas,I4,28.0,2,4
A3,2018,2.0 TFSI Premium quattro,41050,gas,I4,25.0,2,4
A3,2018,2.0 TFSI Premium quattro Summer of Audi,42750,gas,I4,25.0,2,4
A3,2018,2.0 TFSI Premium Summer of Audi,40050,gas,I4,28.0,2,4
A3,2018,2.0 TFSI Prestige,46800,gas,I4,28.0,2,4
A3,2018,2.0 TFSI Prestige quattro,49500,gas,I4,25.0,2,4
A5,2018,Premium Plus quattro,52600,gas,I4,27.0,2,4
A5,2018,Premium quattro,49600,gas,I4,27.0,2,4
A5,2018,Prestige quattro,57200,gas,I4,27.0,2,4
R8,2018,V10 plus quattro Spyder,208100,gas,V10,17.0,2,2
R8,2018,V10 quattro Spyder,177100,gas,V10,17.0,2,2
S5,2018,Premium Plus quattro,62300,gas,V6,23.0,2,4
S5,2018,Prestige quattro,66700,gas,V6,23.0,2,4
TT,2018,2.0T quattro,47450,gas,I4,26.0,2,2
