Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
e-tron Sportback,2020,Premium Plus,77400,electric,,,5,5
e-tron Sportback,2020,Prestige,83400,electric,,,5,5
Q3,2020,Premium,34700,gas,I4,22.0,5,5
Q3,2020,Premium Plus,37800,gas,I4,22.0,5,5
Q3,2020,Premium Plus S line,39100,gas,I4,22.0,5,5
Q3,2020,Premium S line,36000,gas,I4,22.0,5,5
Q3,2020,Prestige S line,42900,gas,I4,22.0,5,5
Q5,2020,Premium,43300,gas,I4,24.0,5,5
Q5,2020,Premium,52900,plug-in hybrid,I4,27.0,5,5
Q5,2020,Premium Plus,56600,plug-in hybrid,I4,27.0,5,5
Q5,2020,Premium Plus,49950,gas,I4,24.0,5,5
Q5,2020,Premium Plus Titanium,51350,gas,I4,24.0,5,5
Q5,2020,Premium Titanium,48000,gas,I4,24.0,5,5
Q5,2020,Prestige,60350,plug-in hybrid,I4,27.0,5,5
Q5,2020,Prestige,53700,gas,I4,24.0,5,5
Q5,2020,Prestige Titanium,55800,gas,I4,24.0,5,5
Q7,2020,Premium,54800,gas,I4,21.0,5,7
Q7,2020,Premium,60800,mild hybrid,V6,18.0,5,7
Q7,2020,Premium Plus,57200,gas,I4,21.0,5,7
Q7,2020,Premium Plus,63800,mild hybrid,V6,18.0,5,7
Q7,2020,Prestige,71200,mild hybrid,V6,18.0,5,7
Q8,2020,Premium,68200,mild hybrid,V6,18.0,5,5
Q8,2020,Premium Plus,72200,mild hybrid,V6,18.0,5,5
Q8,2020,Prestige,77700,mild hybrid,V6,18.0,5,5
RS Q8,2020,Base,113000,mild hybrid,V8,15.0,5,5
SQ5,2020,Premium,52900,gas,V6,20.0,5,5
SQ5,2020,Premium Plus,58400,gas,V6,20.0,5,5
SQ5,2020,Prestige,62150,gas,V6,20.0,5,5
SQ7,2020,Premium Plus,84800,hybrid,V8,17.0,5,7
SQ7,2020,Prestige,90400,hybrid,V8,17.0,5,7
SQ8,2020,Premium Plus,89000,hybrid,V8,17.0,5,5
SQ8,2020,Prestige,94500,hybrid,V8,17.0,5,5
e-tron,2019,Premium Plus quattro,74800,electric,,,5,5
e-tron,2019,Prestige quattro,81800,electric,,,5,5
Q3,2019,Premium Plus quattro,37800,gas,I4,22.0,5,5
Q3,2019,Premium Plus S line quattro,39100,gas,I4,22.0,5,5
Q3,2019,Premium quattro,34700,gas,I4,22.0,5,5
Q3,2019,Premium S line quattro,36000,gas,I4,22.0,5,5
Q3,2019,Prestige S line quattro,42900,gas,I4,22.0,5,5
Q5,2019,2.0 TFSI Premium Plus quattro,49950,gas,I4,24.0,5,5
Q5,2019,2.0 TFSI Premium quattro,42950,gas,I4,24.0,5,5
Q5,2019,2.0 TFSI Prestige quattro,53850,gas,I4,24.0,5,5
Q7,2019,2.0 TFSI Premium Plus quattro,56900,gas,I4,21.0,5,7
Q7,2019,2.0 TFSI Premium Plus quattro SE,58900,gas,I4,21.0,5,7
Q7,2019,2.0 TFSI Premium quattro,53550,gas,I4,21.0,5,7
Q7,2019,2.0 TFSI Premium quattro SE,55850,gas,I4,21.0,5,7
Q7,2019,3.0 TFSI Premium Plus quattro,63300,gas,V6,21.0,5,7
Q7,2019,3.0 TFSI Premium Plus quattro SE,66000,gas,V6,21.0,5,7
Q7,2019,3.0 TFSI Premium quattro,59950,gas,V6,21.0,5,7
Q7,2019,3.0 TFSI Premium quattro SE,62250,gas,V6,21.0,5,7
Q7,2019,3.0 TFSI Prestige quattro,68700,gas,V6,21.0,5,7
Q8,2019,3.0 TFSI Premium Plus quattro,71400,mild hybrid,V6,19.0,5,5
Q8,2019,3.0 TFSI Premium quattro,67400,mild hybrid,V6,19.0,5,5
Q8,2019,3.0 TFSI Prestige quattro,76550,mild hybrid,V6,19.0,5,5
SQ5,2019,3.0 TFSI Premium Plus quattro,58200,gas,V6,21.0,5,5
SQ5,2019,3.0 TFSI Premium quattro,52400,gas,V6,21.0,5,5
SQ5,2019,3.0 TFSI Prestige quattro,62100,gas,V6,21.0,5,5
Q3,2018,Premium,32900,gas,I4,23.0,5,5
Q3,2018,Premium Plus,35800,gas,I4,23.0,5,5
Q3,2018,Premium Plus quattro,37900,gas,I4,23.0,5,5
Q3,2018,Premium quattro,35000,gas,I4,23.0,5,5
