Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
A3,2020,Premium Plus S line,39500,gas,I4,25.0,4,5
A3,2020,Premium S line,36500,gas,I4,25.0,4,5
A3,2020,Sport Premium,33300,gas,I4,30.0,4,5
A3,2020,Sport Premium Plus,36300,gas,I4,30.0,4,5
A4,2020,Premium,37400,gas,I4,30.0,4,5
A4,2020,Premium,40900,gas,I4,27.0,4,5
A4,2020,Premium Plus,44000,gas,I4,27.0,4,5
A4,2020,Premium Plus,41000,gas,I4,30.0,4,5
A4,2020,Prestige,46950,gas,I4,30.0,4,5
A4,2020,Prestige,49950,gas,I4,27.0,4,5
A6,2020,Premium,54900,mild hybrid,I4,27.0,4,5
A6,2020,Premium,59800,mild hybrid,V6,24.0,4,5
A6,2020,Premium Plus,58600,mild hybrid,I4,27.0,4,5
A6,2020,Premium Plus,63500,mild hybrid,V6,24.0,4,5
A6,2020,Prestige,69700,mild hybrid,V6,24.0,4,5
A6,2020,Prestige,64800,mild hybrid,I4,27.0,4,5
A7,2020,Premium,69000,mild hybrid,V6,24.0,4,5
A7,2020,Premium Plus,73600,mild hybrid,V6,24.0,4,5
A7,2020,Prestige,79700,mild hybrid,V6,24.0,4,5
A8,2020,L,96800,mild hybrid,V8,18.0,4,5
A8,2020,L,94000,plug-in hybrid,V6,23.0,4,5
A8,2020,L,85200,mild hybrid,V6,21.0,4,5
RS 3,2020,Base,56200,gas,I5,23.0,4,5
S3,2020,Premium,43000,gas,I4,25.0,4,5
S3,2020,Premium Plus,45600,gas,I4,25.0,4,5
S4,2020,Premium,49900,gas,V6,23.0,4,5
S4,2020,Premium Plus,52400,gas,V6,23.0,4,5
S4,2020,Prestige,58350,gas,V6,23.0,4,5
S6,2020,Premium Plus,73900,mild hybrid,V6,22.0,4,5
S6,2020,Prestige,79600,mild hybrid,V6,22.0,4,5
S7,2020,Premium Plus,83900,mild hybrid,V6,22.0,4,5
S7,2020,Prestige,89500,mild hybrid,V6,22.0,4,5
S8,2020,Base,129500,mild hybrid,V8,16.0,4,5
A3,2019,2.0 TFSI Premium,32500,gas,I4,29.0,4,5
A3,2019,2.0 TFSI Premium Plus,36500,gas,I4,29.0,4,5
A3,2019,2.0 TFSI Premium Plus quattro,39600,gas,I4,25.0,4,5
A3,2019,2.0 TFSI Premium quattro,35600,gas,I4,25.0,4,5
A3,2019,2.0 TFSI Prestige,41700,gas,I4,29.0,4,5
A3,2019,2.0 TFSI Prestige quattro,44800,gas,I4,25.0,4,5
A3,2019,2.0 TFSI Titanium,33300,gas,I4,29.0,4,5
A4,2019,2.0 TFSI Premium,37400,gas,I4,30.0,4,5
A4,2019,2.0 TFSI Premium Plus,42900,gas,I4,30.0,4,5
A4,2019,2.0 TFSI Premium Plus quattro,47500,gas,I4,27.0,4,5
A4,2019,2.0 TFSI Premium quattro,42000,gas,I4,27.0,4,5
A4,2019,2.0 TFSI Prestige,46200,gas,I4,30.0,4,5
A4,2019,2.0 TFSI Prestige quattro,50800,gas,I4,27.0,4,5
A4,2019,2.0 TFSI Titanium,39200,gas,I4,30.0,4,5
A6,2019,2.0 TFSI Premium Plus quattro,57800,mild hybrid,I4,27.0,4,5
A6,2019,2.0 TFSI Premium quattro,54100,mild hybrid,I4,27.0,4,5
A6,2019,3.0 TFSI Premium Plus quattro,62700,mild hybrid,V6,25.0,4,5
A6,2019,3.0 TFSI Premium quattro,58900,mild hybrid,V6,25.0,4,5
A6,2019,3.0 TFSI Prestige quattro,67100,mild hybrid,V6,25.0,4,5
A7,2019,3.0 TFSI Premium Plus quattro,72400,mild hybrid,V6,25.0,4,5
A7,2019,3.0 TFSI Premium quattro,68000,mild hybrid,V6,25.0,4,5
A7,2019,3.0 TFSI Prestige quattro,76300,mild hybrid,V6,25.0,4,5
A8,2019,L 3.0 TFSI quattro,83800,mild hybrid,V6,22.0,4,5
A8,2019,L 4.0 TFSI quattro,96800,mild hybrid,V8,18.0,4,5
RS 3,2019,quattro,56200,gas,I5,22.0,4,5
S3,2019,2.0 TFSI Premium Plus quattro,44500,gas,I4,25.0,4,5
S3,2019,2.0 TFSI Prestige quattro,49800,gas,I4,25.0,4,5
S4,2019,Premium Plus quattro,54500,gas,V6,24.0,4,5
S4,2019,Premium quattro,50200,gas,V6,24.0,4,5
S4,2019,Prestige quattro,57800,gas,V6,24.0,4,5
A3,2018,2.0 TFSI Premium,31950,gas,I4,29.0,4,5
A3,2018,2.0 TFSI Premium Plus,35200,gas,I4,29.0,4,5
A3,2018,2.0 TFSI Premium Plus quattro,38200,gas,I4,27.0,4,5
A3,2018,2.0 TFSI Premium Plus quattro Summer of Audi,40100,gas,I4,27.0,4,5
A3,2018,2.0 TFSI Premium Plus Summer of Audi,37100,gas,I4,29.0,4,5
A3,2018,2.0 TFSI Premium quattro,34950,gas,I4,27.0,4,5
A3,2018,2.0 TFSI Premium quattro Summer of Audi,36650,gas,I4,27.0,4,5
A3,2018,2.0 TFSI Premium Summer of Audi,33650,gas,I4,29.0,4,5
A3,2018,2.0 TFSI Prestige,40700,gas,I4,29.0,4,5
A3,2018,2.0 TFSI Prestige quattro,43700,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium Plus quattro,43700,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium Plus quattro,43700,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium Plus quattro Summer of Audi,45400,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium Plus quattro Summer of Audi,45400,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium quattro,40500,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium quattro,40500,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium quattro Summer of Audi,43200,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Premium quattro Summer of Audi,43200,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Prestige quattro,50000,gas,I4,27.0,4,5
A4,2018,2.0 TFSI Prestige quattro,50000,gas,I4,27.0,4,5
A4,2018,2.0 TFSI ultra Premium,36000,gas,I4,28.0,4,5
A4,2018,2.0 TFSI ultra Premium Plus,39200,gas,I4,28.0,4,5
A4,2018,2.0 TFSI ultra Premium Plus Summer of Audi,40900,gas,I4,31.0,4,5
A4,2018,2.0 TFSI ultra Premium Summer of Audi,38700,gas,I4,31.0,4,5
A4,2018,2.0 TFSI ultra Prestige,45500,gas,I4,31.0,4,5
A6,2018,2.0 TFSI Premium,49700,gas,I4,28.0,4,5
A6,2018,2.0 TFSI Premium Plus,51900,gas,I4,28.0,4,5
A6,2018,2.0 TFSI Premium Plus quattro,54100,gas,I4,26.0,4,5
A6,2018,2.0 TFSI Premium quattro,51900,gas,I4,26.0,4,5
A6,2018,2.0 TFSI Sport,51200,gas,I4,28.0,4,5
A6,2018,2.0 TFSI Sport quattro,53400,gas,I4,26.0,4,5
A6,2018,3.0 TFSI Premium Plus quattro,58700,gas,V6,23.0,4,5
A6,2018,3.0 TFSI Premium quattro,56500,gas,V6,23.0,4,5
A6,2018,3.0 TFSI Prestige quattro,61400,gas,V6,23.0,4,5
A6,2018,3.0 TFSI Sport quattro,58000,gas,V6,23.0,4,5
A7,2018,Premium Plus quattro,69700,gas,V6,23.0,4,5
A7,2018,Prestige quattro,72400,gas,V6,23.0,4,5
A8,2018,L 3.0T quattro,82500,gas,V6,22.0,4,4
A8,2018,L 4.0T Sport quattro,92000,gas,V8,19.0,4,4
