Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
A4 allroad,2020,Premium,44600,gas,I4,26.0,5,5
A4 allroad,2020,Premium Plus,47700,gas,I4,26.0,5,5
A4 allroad,2020,Prestige,53650,gas,I4,26.0,5,5
A6 allroad,2020,Premium Plus,65900,mild hybrid,V6,22.0,5,5
A6 allroad,2020,Prestige,70400,mild hybrid,V6,22.0,5,5
A4 allroad,2019,2.0 TFSI Premium Plus quattro,50600,gas,I4,25.0,5,5
A4 allroad,2019,2.0 TFSI Premium quattro,45700,gas,I4,25.0,5,5
A4 allroad,2019,2.0 TFSI Prestige quattro,53900,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Premium Plus quattro,47200,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Premium Plus quattro Summer of Audi,48900,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Premium quattro,44500,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Premium quattro Summer of Audi,47200,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Prestige quattro,53000,gas,I4,25.0,5,5
A4 allroad,2018,2.0 TFSI Prestige quattro Summer of Audi,54300,gas,I4,25.0,5,5
A4 allroad,2017,Premium,44000,gas,I4,25.0,5,5
A4 allroad,2017,Premium Plus,47000,gas,I4,25.0,5,5
A4 allroad,2017,Prestige,51400,gas,I4,25.0,5,5
allroad,2016,Premium Plus quattro,44800,gas,I4,24.0,5,5
allroad,2016,Premium quattro,42700,gas,I4,24.0,5,5
allroad,2015,Premium Plus quattro,44500,gas,I4,24.0,5,5
allroad,2015,Premium quattro,42400,gas,I4,24.0,5,5
allroad,2015,Prestige quattro,49800,gas,I4,24.0,5,5
