Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
2 Series,2020,230i,41100,gas,I4,27.0,2,4
2 Series,2020,230i xDrive,43100,gas,I4,27.0,2,4
2 Series,2020,M240i,50400,gas,I6,25.0,2,4
2 Series,2020,M240i xDrive,52400,gas,I6,25.0,2,4
4 Series,2020,430i,53100,gas,I4,27.0,2,4
4 Series,2020,430i xDrive,55100,gas,I4,26.0,2,4
4 Series,2020,440i,60150,gas,I6,24.0,2,4
4 Series,2020,440i xDrive,62150,gas,I6,23.0,2,4
4 Series,2020,M4,77650,gas,I6,20.0,2,4
8 Series,2020,840i,97400,gas,I6,24.0,2,4
8 Series,2020,840i xDrive,100300,gas,I6,23.0,2,4
8 Series,2020,M8,142500,gas,V8,17.0,2,4
8 Series,2020,M8 Competition,155500,gas,V8,17.0,2,4
8 Series,2020,M850i xDrive,121400,gas,V8,20.0,2,4
i8,2020,Base,163300,plug-in hybrid,I3,27.0,2,2
Z4,2020,sDrive M40i,63700,gas,I6,26.0,2,2
Z4,2020,sDrive30i,49700,gas,I4,27.0,2,2
2 Series,2019,230i,41100,gas,I4,27.0,2,4
2 Series,2019,230i xDrive,43100,gas,I4,27.0,2,4
2 Series,2019,M240i,50400,gas,I6,24.0,2,4
2 Series,2019,M240i xDrive,52400,gas,I6,24.0,2,4
4 Series,2019,430i,52950,gas,I4,27.0,2,4
4 Series,2019,430i xDrive,54950,gas,I4,26.0,2,4
4 Series,2019,440i,60000,gas,I6,24.0,2,4
4 Series,2019,440i xDrive,62000,gas,I6,23.0,2,4
4 Series,2019,M4,77650,gas,I6,20.0,2,4
8 Series,2019,M850i xDrive,121400,gas,V8,20.0,2,4
i8,2019,Base,163300,plug-in hybrid,I3,27.0,2,2
Z4,2019,sDrive30i,49700,gas,I4,28.0,2,2
2 Series,2018,230i,40750,gas,I4,27.0,2,4
2 Series,2018,230i xDrive,42750,gas,I4,27.0,2,4
2 Series,2018,M240i,50050,gas,I6,24.0,2,4
2 Series,2018,M240i xDrive,52050,gas,I6,24.0,2,4
4 Series,2018,430i,51650,gas,I4,27.0,2,4
4 Series,2018,430i xDrive,53650,gas,I4,26.0,2,4
4 Series,2018,440i,58700,gas,I6,24.0,2,4
4 Series,2018,440i xDrive,60700,gas,I6,23.0,2,4
4 Series,2018,M4,77200,gas,I6,20.0,2,4
6 Series,2018,640i,86700,gas,I6,23.0,2,4
6 Series,2018,640i xDrive,89700,gas,I6,22.0,2,4
6 Series,2018,650i,98300,gas,V8,20.0,2,4
6 Series,2018,650i xDrive,101300,gas,V8,19.0,2,4
6 Series,2018,M6,122300,gas,V8,16.0,2,4
2 Series,2017,230i SULEV,38950,gas,I4,27.0,2,4
2 Series,2017,230i xDrive SULEV,40950,gas,I4,26.0,2,4
2 Series,2017,M240i,49050,gas,I6,25.0,2,4
2 Series,2017,M240i xDrive,51050,gas,I6,25.0,2,4
4 Series,2017,430i SULEV,50300,gas,I4,27.0,2,4
4 Series,2017,430i xDrive SULEV,52300,gas,I4,26.0,2,4
4 Series,2017,440i,57300,gas,I6,24.0,2,4
4 Series,2017,440i xDrive,59300,gas,I6,24.0,2,4
4 Series,2017,M4,74700,gas,I6,19.0,2,4
6 Series,2017,640i,85100,gas,I6,23.0,2,4
6 Series,2017,640i xDrive,88100,gas,I6,22.0,2,4
6 Series,2017,650i,96500,gas,V8,19.0,2,4
6 Series,2017,650i xDrive,99500,gas,V8,18.0,2,4
6 Series,2017,M6,120000,gas,V8,16.0,2,4
2 Series,2016,228i SULEV,38650,gas,I4,27.0,2,4
2 Series,2016,228i xDrive SULEV,40650,gas,I4,26.0,2,4
2 Series,2016,M235i,48750,gas,I6,24.0,2,4
2 Series,2016,M235i xDrive,50750,gas,I6,23.0,2,4
4 Series,2016,428i SULEV,50000,gas,I4,27.0,2,4
4 Series,2016,428i xDrive SULEV,52000,gas,I4,25.0,2,4
4 Series,2016,435i,56950,gas,I6,24.0,2,4
4 Series,2016,435i xDrive,58950,gas,I6,23.0,2,4
4 Series,2016,M4,74200,gas,I6,20.0,2,4
6 Series,2016,640i,84800,gas,I6,24.0,2,4
6 Series,2016,640i xDrive,87800,gas,I6,23.0,2,4
6 Series,2016,650i,96200,gas,V8,20.0,2,4
6 Series,2016,650i xDrive,99200,gas,V8,18.0,2,4
6 Series,2016,M6,119700,gas,V8,16.0,2,4
