Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
X1,2020,sDrive28i,35200,gas,I4,27.0,5,5
X1,2020,xDrive28i,37200,gas,I4,26.0,5,5
X2,2020,M35i,46450,gas,I4,26.0,5,5
X2,2020,sDrive28i,36400,gas,I4,27.0,5,5
X2,2020,xDrive28i,38400,gas,I4,27.0,5,5
X3,2020,M,69900,gas,I6,16.0,5,5
X3,2020,M Competition,76900,gas,I6,16.0,5,5
X3,2020,M40i,55900,gas,I6,23.0,5,5
X3,2020,sDrive30i,41950,gas,I4,27.0,5,5
X3,2020,xDrive30e,48550,plug-in hybrid,I4,24.0,5,5
X3,2020,xDrive30i,43950,gas,I4,26.0,5,5
X4,2020,M,73400,gas,I6,16.0,5,5
X4,2020,M Competition,80400,gas,I6,16.0,5,5
X4,2020,M40i,61000,gas,I6,23.0,5,5
X4,2020,xDrive30i,51100,gas,I4,25.0,5,5
X5,2020,M,105100,gas,V8,15.0,5,5
X5,2020,M Competition,114100,gas,V8,15.0,5,5
X5,2020,M50i,82150,gas,V8,18.0,5,5
X5,2020,sDrive40i,58900,gas,I6,23.0,5,5
X5,2020,xDrive40i,61200,gas,I6,22.0,5,5
X5,2020,xDrive50i,76150,gas,V8,18.0,5,5
X6,2020,M,108600,gas,V8,15.0,5,5
X6,2020,M Competition,117600,gas,V8,15.0,5,5
X6,2020,M50i,85650,gas,V8,18.0,5,5
X6,2020,sDrive40i,64300,gas,I6,23.0,5,5
X6,2020,xDrive40i,66600,gas,I6,22.0,5,5
X7,2020,M50i,99600,gas,V8,17.0,5,7
X7,2020,xDrive40i,73900,gas,I6,22.0,5,7
X7,2020,xDrive50i,92600,gas,V8,17.0,5,7
X1,2019,sDrive28i,34950,gas,I4,26.0,5,5
X1,2019,xDrive28i,36950,gas,I4,25.0,5,5
X2,2019,M35i,46450,gas,I4,25.0,5,5
X2,2019,sDrive28i,36400,gas,I4,26.0,5,5
X2,2019,xDrive28i,38400,gas,I4,25.0,5,5
X3,2019,M40i,54650,gas,I6,23.0,5,5
X3,2019,sDrive30i,41000,gas,I4,26.0,5,5
X3,2019,xDrive30i,43000,gas,I4,25.0,5,5
X4,2019,M40i,60450,gas,I6,23.0,5,5
X4,2019,xDrive30i,50450,gas,I4,25.0,5,5
X5,2019,xDrive40i,60700,gas,I6,22.0,5,5
X5,2019,xDrive50i,75750,gas,V8,19.0,5,5
X6,2019,M,105700,gas,V8,16.0,5,5
X6,2019,sDrive35i,63550,gas,I6,20.0,5,5
X6,2019,xDrive35i,65850,gas,I6,20.0,5,5
X6,2019,xDrive50i,78300,gas,V8,19.0,5,5
X7,2019,xDrive40i,73900,gas,I6,22.0,5,7
X7,2019,xDrive50i,92600,gas,V8,17.0,5,7
X1,2018,sDrive28i,33900,gas,I4,26.0,5,5
X1,2018,xDrive28i,35900,gas,I4,25.0,5,5
X2,2018,sDrive28i,36400,gas,I4,26.0,5,5
X2,2018,xDrive28i,38400,gas,I4,25.0,5,5
X3,2018,M40i,54500,gas,I6,23.0,5,5
X3,2018,xDrive30i,42650,gas,I4,25.0,5,5
X4,2018,M40i,59250,gas,I6,21.0,5,5
X4,2018,xDrive28i,47600,gas,I4,23.0,5,5
X5,2018,M,101700,gas,V8,16.0,5,5
X5,2018,sDrive35i,57200,gas,I6,21.0,5,5
X5,2018,xDrive35d,61000,diesel,I6,25.0,5,5
X5,2018,xDrive35i,59500,gas,I6,20.0,5,5
X5,2018,xDrive40e iPerformance,63750,plug-in hybrid,I4,24.0,5,5
X5,2018,xDrive50i,74050,gas,V8,17.0,5,5
X6,2018,M,105100,gas,V8,16.0,5,5
X6,2018,sDrive35i,62950,gas,I6,21.0,5,5
X6,2018,xDrive35i,65250,gas,I6,20.0,5,5
X6,2018,xDrive50i,77700,gas,V8,17.0,5,5
X1,2017,sDrive28i,33750,gas,I4,26.0,5,5
X1,2017,xDrive28i,35750,gas,I4,25.0,5,5
X3,2017,sDrive28i,40050,gas,I4,24.0,5,5
X3,2017,xDrive28d,42750,diesel,I4,30.0,5,5
X3,2017,xDrive28i,42050,gas,I4,24.0,5,5
X3,2017,xDrive35i,48950,gas,I6,21.0,5,5
X4,2017,M40i,58100,gas,I6,21.0,5,5
X4,2017,xDrive28i,45550,gas,I4,23.0,5,5
X5,2017,M,100700,gas,V8,16.0,5,5
X5,2017,sDrive35i,56600,gas,I6,21.0,5,5
X5,2017,xDrive35d,60400,diesel,I6,25.0,5,5
X5,2017,xDrive35i,58900,gas,I6,20.0,5,5
X5,2017,xDrive40e iPerformance,63200,plug-in hybrid,I4,24.0,5,5
X5,2017,xDrive50i,73650,gas,V8,17.0,5,5
X6,2017,M,104100,gas,V8,16.0,5,5
X6,2017,sDrive35i,62500,gas,I6,21.0,5,5
X6,2017,xDrive35i,64800,gas,I6,20.0,5,5
X6,2017,xDrive50i,77450,gas,V8,17.0,5,5
X1,2016,xDrive28i,34800,gas,I4,26.0,5,5
X3,2016,sDrive28i,38950,gas,I4,24.0,5,5
X3,2016,xDrive28d,42450,diesel,I4,30.0,5,5
X3,2016,xDrive28i,40950,gas,I4,24.0,5,5
X3,2016,xDrive35i,46800,gas,I6,22.0,5,5
X4,2016,M40i,57800,gas,I6,21.0,5,5
X4,2016,xDrive28i,45250,gas,I4,23.0,5,5
X4,2016,xDrive35i,49700,gas,I6,22.0,5,5
X5,2016,M,98800,gas,V8,16.0,5,5
X5,2016,sDrive35i,54700,gas,I6,21.0,5,5
X5,2016,xDrive35d,57700,diesel,I6,26.0,5,5
X5,2016,xDrive35i,57000,gas,I6,20.0,5,5
X5,2016,xDrive40e,62100,plug-in hybrid,I4,24.0,5,5
X5,2016,xDrive50i,71500,gas,V8,17.0,5,5
X6,2016,M,102200,gas,V8,16.0,5,5
X6,2016,sDrive35i,60600,gas,I6,21.0,5,5
X6,2016,xDrive35i,62900,gas,I6,20.0,5,5
X6,2016,xDrive50i,75300,gas,V8,17.0,5,5
X1,2015,sDrive28i,31200,gas,I4,27.0,5,5
X1,2015,xDrive28i,33000,gas,I4,26.0,5,5
X1,2015,xDrive35i,39100,gas,I6,21.0,5,5
X3,2015,sDrive28i,38500,gas,I4,24.0,5,5
X3,2015,xDrive28d,42000,diesel,I4,30.0,5,5
X3,2015,xDrive28i,40500,gas,I4,24.0,5,5
X3,2015,xDrive35i,45500,gas,I6,21.0,5,5
X4,2015,xDrive28i,44700,gas,I4,23.0,5,5
X4,2015,xDrive35i,48000,gas,I6,22.0,5,5
X5,2015,M,98700,gas,V8,16.0,5,5
X5,2015,sDrive35i,53900,gas,I6,22.0,5,5
X5,2015,xDrive35d,57700,diesel,I6,27.0,5,5
X5,2015,xDrive35i,56200,gas,I6,21.0,5,5
X5,2015,xDrive50i,70100,gas,V8,17.0,5,5
X6,2015,M,102100,gas,V8,16.0,5,5
X6,2015,sDrive35i,59600,gas,I6,22.0,5,5
X6,2015,xDrive35i,61900,gas,I6,21.0,5,5
X6,2015,xDrive50i,72900,gas,V8,17.0,5,5
