Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
2 Series Gran Coupe,2020,228i xDrive,37500,gas,I4,27.0,4,5
2 Series Gran Coupe,2020,M235i xDrive,45500,gas,I4,26.0,4,5
3 Series,2020,330i,40750,gas,I4,30.0,4,5
3 Series,2020,330i xDrive,42750,gas,I4,28.0,4,5
3 Series,2020,M340i,54000,gas,I6,25.0,4,5
3 Series,2020,M340i xDrive,56000,gas,I6,25.0,4,5
4 Series Gran Coupe,2020,430i,44750,gas,I4,27.0,4,5
4 Series Gran Coupe,2020,430i xDrive,46750,gas,I4,24.0,4,5
4 Series Gran Coupe,2020,440i,51150,gas,I6,25.0,4,5
4 Series Gran Coupe,2020,440i xDrive,53150,gas,I6,25.0,4,5
5 Series,2020,530e,53900,plug-in hybrid,I4,27.0,4,5
5 Series,2020,530e xDrive,56200,plug-in hybrid,I4,25.0,4,5
5 Series,2020,530i,53900,gas,I4,28.0,4,5
5 Series,2020,530i xDrive,56200,gas,I4,27.0,4,5
5 Series,2020,540i,59450,gas,I6,25.0,4,5
5 Series,2020,540i xDrive,61750,gas,I6,25.0,4,5
5 Series,2020,M5,102700,gas,V8,17.0,4,5
5 Series,2020,M5 Competition,110000,gas,V8,17.0,4,5
5 Series,2020,M550i xDrive,76650,gas,V8,20.0,4,5
7 Series,2020,740i,86450,gas,I6,24.0,4,5
7 Series,2020,740i xDrive,89450,gas,I6,23.0,4,5
7 Series,2020,745e xDrive iPerformance,95550,plug-in hybrid,I6,22.0,4,5
7 Series,2020,750i xDrive,102650,gas,V8,20.0,4,5
7 Series,2020,M760i xDrive,157700,gas,V12,16.0,4,5
8 Series Gran Coupe,2020,840i,84900,gas,I6,24.0,4,5
8 Series Gran Coupe,2020,840i xDrive,87800,gas,I6,23.0,4,5
8 Series Gran Coupe,2020,M8,130000,gas,V8,17.0,4,5
8 Series Gran Coupe,2020,M8 Competition,143000,gas,V8,17.0,4,5
8 Series Gran Coupe,2020,M850i xDrive,108900,gas,V8,20.0,4,5
ALPINA B7,2020,xDrive,142800,gas,V8,20.0,4,5
3 Series,2019,330i,40250,gas,I4,30.0,4,5
3 Series,2019,330i xDrive,42250,gas,I4,28.0,4,5
4 Series Gran Coupe,2019,430i,44600,gas,I4,27.0,4,5
4 Series Gran Coupe,2019,430i xDrive,46600,gas,I4,27.0,4,5
4 Series Gran Coupe,2019,440i,51000,gas,I6,25.0,4,5
4 Series Gran Coupe,2019,440i xDrive,53000,gas,I6,24.0,4,5
5 Series,2019,530e iPerformance,53400,plug-in hybrid,I4,29.0,4,5
5 Series,2019,530e xDrive iPerformance,55700,plug-in hybrid,I4,28.0,4,5
5 Series,2019,530i,53400,gas,I4,27.0,4,5
