Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Continental,2020,GT,240800,gas,W12,15.0,2,4
Continental,2020,GT V8,222700,gas,V8,19.0,2,4
Continental,2018,GT,236100,gas,W12,15.0,2,4
Continental,2018,GT Speed,264300,gas,W12,15.0,2,4
Continental,2018,GT Supersports,322600,gas,W12,13.0,2,4
Continental,2017,GT,236100,gas,W12,15.0,2,4
Continental,2017,GT Speed,264300,gas,W12,15.0,2,4
Continental,2017,GT V8,218400,gas,V8,17.0,2,4
Continental,2017,GT V8 S,231800,gas,V8,17.0,2,4
Continental,2017,Supersports,322600,gas,W12,13.0,2,4
Continental GT,2016,Base,236100,gas,W12,15.0,2,4
Continental GT,2016,Speed,263400,gas,W12,15.0,2,4
Continental GT,2016,V8,218400,gas,V8,17.0,2,4
Continental GT,2016,V8 S,231800,gas,V8,17.0,2,4
Continental GT,2015,Base,223600,flex-fuel (FFV),W12,15.0,2,4
Continental GT,2015,Speed,250100,flex-fuel (FFV),W12,15.0,2,4
Continental GT,2015,V8,206300,gas,V8,17.0,2,4
Continental GT,2015,V8 S,219400,gas,V8,17.0,2,4
