Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Continental,2020,GT,218900,gas,W12,15.0,2,4
Continental,2020,GT V8,202500,gas,V8,19.0,2,4
Continental,2017,GT,214600,gas,W12,15.0,2,4
Continental,2017,GT Speed,240300,gas,W12,15.0,2,4
Continental,2017,GT V8,198500,gas,V8,19.0,2,4
Continental,2017,GT V8 S,210700,gas,V8,19.0,2,4
Continental,2017,Supersports,293300,gas,W12,14.0,2,4
Continental GT,2016,Base,214600,gas,W12,15.0,2,4
Continental GT,2016,Speed,239400,gas,W12,15.0,2,4
Continental GT,2016,V8,198500,gas,V8,19.0,2,4
Continental GT,2016,V8 S,210700,gas,V8,19.0,2,4
Continental GT,2015,Base,203500,flex-fuel (FFV),W12,15.0,2,4
Continental GT,2015,Speed,227600,flex-fuel (FFV),W12,15.0,2,4
Continental GT,2015,V8,187900,gas,V8,19.0,2,4
Continental GT,2015,V8 S,199700,gas,V8,19.0,2,4
Continental GT3-R,2015,Base,337000,gas,V8,17.0,2,2
