Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Bentayga,2020,Hybrid,156900,plug-in hybrid,V6,19.0,5,5
Bentayga,2020,Speed,235700,gas,W12,14.0,5,5
Bentayga,2020,V8,165000,gas,V8,17.0,5,5
Bentayga,2019,Mulliner,267700,gas,W12,16.0,5,5
Bentayga,2019,V8,165000,gas,V8,17.0,5,5
Bentayga,2019,W12,229100,gas,W12,16.0,5,5
Bentayga,2018,Activity Edition,215000,gas,W12,15.0,5,7
Bentayga,2018,Black Edition,239000,gas,W12,15.0,5,5
Bentayga,2018,Mulliner,298000,gas,W12,15.0,5,5
Bentayga,2018,Onyx Edition,195000,gas,W12,15.0,5,5
Bentayga,2018,W12 (Signature),229100,gas,W12,15.0,5,5
Bentayga,2017,Base,229100,gas,W12,15.0,5,5
