Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Cascada,2019,Base,33070,gas,I4,24.0,2,4
Cascada,2019,Premium,36070,gas,I4,24.0,2,4
Cascada,2019,Sport Touring,37070,gas,I4,24.0,2,4
Cascada,2018,1SV,33065,gas,I4,24.0,2,4
Cascada,2018,Premium,36065,gas,I4,24.0,2,4
Cascada,2018,Sport Touring,37065,gas,I4,24.0,2,4
Cascada,2017,1SV,33065,gas,I4,23.0,2,4
Cascada,2017,Premium,36065,gas,I4,23.0,2,4
Cascada,2017,Sport Touring,37065,gas,I4,23.0,2,4
Cascada,2016,1SV,33065,gas,I4,23.0,2,4
Cascada,2016,Premium,36065,gas,I4,23.0,2,4
