Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Regal Sportback,2020,1SV,25370,gas,I4,26.0,5,5
Regal Sportback,2020,Avenir,35770,gas,I4,26.0,5,5
Regal Sportback,2020,Essence,31770,gas,I4,26.0,5,5
Regal Sportback,2020,Essence,33870,gas,I4,24.0,5,5
Regal Sportback,2020,GS,39070,gas,V6,22.0,5,5
Regal Sportback,2020,Preferred,27970,gas,I4,26.0,5,5
Regal Sportback,2019,1SV,25070,gas,I4,26.0,5,5
Regal Sportback,2019,Avenir,35270,gas,I4,26.0,5,5
Regal Sportback,2019,Essence,33870,gas,I4,24.0,5,5
Regal Sportback,2019,Essence,31770,gas,I4,26.0,5,5
Regal Sportback,2019,GS,39070,gas,V6,22.0,5,5
Regal Sportback,2019,Preferred,27670,gas,I4,26.0,5,5
Regal Sportback,2019,Preferred II,31770,gas,I4,24.0,5,5
Regal Sportback,2019,Preferred II,29770,gas,I4,26.0,5,5
Regal Sportback,2018,1SV,24990,gas,I4,26.0,5,5
Regal Sportback,2018,Essence,31730,gas,I4,26.0,5,5
Regal Sportback,2018,Essence,33780,gas,I4,24.0,5,5
Regal Sportback,2018,GS,39065,gas,V6,22.0,5,5
Regal Sportback,2018,Preferred,27665,gas,I4,26.0,5,5
Regal Sportback,2018,Preferred II,29730,gas,I4,26.0,5,5
Regal Sportback,2018,Preferred II,31680,gas,I4,24.0,5,5
