Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Escalade,2020,Base,75195,gas,V8,17.0,5,7
Escalade,2020,Base,78195,gas,V8,17.0,5,7
Escalade,2020,Luxury,80795,gas,V8,17.0,5,7
Escalade,2020,Luxury,83795,gas,V8,17.0,5,7
Escalade,2020,Platinum,92295,gas,V8,17.0,5,7
Escalade,2020,Platinum,95295,gas,V8,17.0,5,7
Escalade,2020,Premium Luxury,88195,gas,V8,17.0,5,7
Escalade,2020,Premium Luxury,85195,gas,V8,17.0,5,7
Escalade ESV,2020,Base,78195,gas,V8,17.0,5,7
Escalade ESV,2020,Base,81195,gas,V8,17.0,5,7
Escalade ESV,2020,Luxury,83795,gas,V8,17.0,5,7
Escalade ESV,2020,Luxury,86795,gas,V8,17.0,5,7
Escalade ESV,2020,Platinum,95295,gas,V8,17.0,5,7
Escalade ESV,2020,Platinum,98295,gas,V8,17.0,5,7
Escalade ESV,2020,Premium Luxury,91195,gas,V8,17.0,5,7
Escalade ESV,2020,Premium Luxury,88195,gas,V8,17.0,5,7
XT4,2020,Luxury,35695,gas,I4,26.0,5,5
XT4,2020,Luxury,38195,gas,I4,24.0,5,5
XT4,2020,Premium Luxury,39795,gas,I4,26.0,5,5
XT4,2020,Premium Luxury,42295,gas,I4,24.0,5,5
XT4,2020,Sport,39795,gas,I4,26.0,5,5
XT4,2020,Sport,42295,gas,I4,24.0,5,5
XT5,2020,Luxury,44095,gas,I4,24.0,5,5
XT5,2020,Luxury,46195,gas,I4,23.0,5,5
XT5,2020,Premium Luxury,48795,gas,I4,24.0,5,5
XT5,2020,Premium Luxury,50795,gas,I4,23.0,5,5
XT5,2020,Sport,55095,gas,V6,20.0,5,5
XT6,2020,Premium Luxury,52695,gas,V6,20.0,5,7
XT6,2020,Premium Luxury,54695,gas,V6,20.0,5,7
XT6,2020,Sport,57095,gas,V6,20.0,5,7
Escalade,2019,Base,75195,gas,V8,17.0,5,7
Escalade,2019,Base,78195,gas,V8,17.0,5,7
Escalade,2019,Luxury,80795,gas,V8,17.0,5,7
Escalade,2019,Luxury,83795,gas,V8,17.0,5,7
Escalade,2019,Platinum,97295,gas,V8,17.0,5,7
Escalade,2019,Platinum,94295,gas,V8,17.0,5,7
Escalade,2019,Premium Luxury,85195,gas,V8,17.0,5,7
Escalade,2019,Premium Luxury,88195,gas,V8,17.0,5,7
Escalade ESV,2019,Base,81195,gas,V8,17.0,5,7
Escalade ESV,2019,Base,78195,gas,V8,17.0,5,7
Escalade ESV,2019,Luxury,86795,gas,V8,17.0,5,7
Escalade ESV,2019,Luxury,83795,gas,V8,17.0,5,7
Escalade ESV,2019,Platinum,97295,gas,V8,17.0,5,7
Escalade ESV,2019,Platinum,100295,gas,V8,17.0,5,7
Escalade ESV,2019,Premium Luxury,88195,gas,V8,17.0,5,7
Escalade ESV,2019,Premium Luxury,91195,gas,V8,17.0,5,7
XT4,2019,Luxury,34795,gas,I4,26.0,5,5
XT4,2019,Luxury,37295,gas,I4,24.0,5,5
XT4,2019,Premium Luxury,39295,gas,I4,26.0,5,5
XT4,2019,Premium Luxury,41795,gas,I4,24.0,5,5
XT4,2019,Sport,41795,gas,I4,24.0,5,5
XT4,2019,Sport,39295,gas,I4,26.0,5,5
XT5,2019,Base,41695,gas,V6,22.0,5,5
XT5,2019,Base,44695,gas,V6,21.0,5,5
XT5,2019,Luxury,48495,gas,V6,22.0,5,5
XT5,2019,Luxury,50995,gas,V6,21.0,5,5
XT5,2019,Platinum,65895,gas,V6,21.0,5,5
XT5,2019,Premium Luxury,54195,gas,V6,22.0,5,5
XT5,2019,Premium Luxury,56695,gas,V6,21.0,5,5
Escalade,2018,Base,76995,gas,V8,17.0,5,7
Escalade,2018,Base,73995,gas,V8,17.0,5,7
Escalade,2018,Luxury,79395,gas,V8,17.0,5,7
Escalade,2018,Luxury,82395,gas,V8,17.0,5,7
Escalade,2018,Platinum,96095,gas,V8,17.0,5,7
Escalade,2018,Platinum,93095,gas,V8,17.0,5,7
