Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
CT4,2020,Luxury,32995,gas,I4,27.0,4,5
CT4,2020,Premium Luxury,37495,gas,I4,27.0,4,5
CT4,2020,Sport,38595,gas,I4,27.0,4,5
CT4,2020,V,44495,gas,I4,23.0,4,5
CT5,2020,Luxury,36895,gas,I4,26.0,4,5
CT5,2020,Premium Luxury,40695,gas,I4,26.0,4,5
CT5,2020,Sport,41695,gas,I4,26.0,4,5
CT5,2020,V,47695,gas,V6,21.0,4,5
CT6,2020,Luxury,58995,gas,V6,21.0,4,5
CT6,2020,Platinum,96495,gas,V8,17.0,4,5
CT6,2020,Premium Luxury,74495,gas,V6,21.0,4,5
CT6-V,2020,Base,94895,gas,V8,17.0,4,5
CT6,2019,Luxury,55495,gas,V6,21.0,4,5
CT6,2019,Luxury,50495,gas,I4,28.0,4,5
CT6,2019,Platinum,95795,gas,V8,17.0,4,5
CT6,2019,Platinum,86795,gas,V6,21.0,4,5
CT6,2019,Premium Luxury,58095,gas,I4,28.0,4,5
CT6,2019,Premium Luxury,62595,gas,V6,21.0,4,5
CT6,2019,Sport,66595,gas,V6,21.0,4,5
CT6-V,2019,Base,91795,gas,V8,17.0,4,5
CTS,2019,Base,48995,gas,I4,24.0,4,5
CTS,2019,Base,46995,gas,I4,25.0,4,5
CTS,2019,Luxury,52695,gas,I4,25.0,4,5
CTS,2019,Luxury,54695,gas,I4,24.0,4,5
CTS,2019,Luxury,56695,gas,V6,21.0,4,5
CTS,2019,Luxury,54695,gas,V6,23.0,4,5
CTS,2019,Premium Luxury,62195,gas,V6,21.0,4,5
CTS,2019,Premium Luxury,60195,gas,V6,23.0,4,5
CTS,2019,V-Sport,61695,gas,V6,19.0,4,5
CTS,2019,V-Sport Premium Luxury,71795,gas,V6,19.0,4,5
CTS-V,2019,Base,86995,gas,V8,16.0,4,5
XTS,2019,Base,46895,gas,V6,22.0,4,5
XTS,2019,Luxury,50895,gas,V6,22.0,4,5
XTS,2019,Luxury,52895,gas,V6,20.0,4,5
XTS,2019,Platinum,66195,gas,V6,22.0,4,5
XTS,2019,Platinum,68395,gas,V6,20.0,4,5
XTS,2019,Platinum V-Sport,72995,gas,V6,18.0,4,5
XTS,2019,Premium Luxury,57295,gas,V6,22.0,4,5
XTS,2019,Premium Luxury,59495,gas,V6,20.0,4,5
ATS,2018,Base,36895,gas,I4,25.0,4,5
ATS,2018,Base,34895,gas,I4,25.0,4,5
ATS,2018,Luxury,40695,gas,I4,25.0,4,5
ATS,2018,Luxury,38695,gas,I4,25.0,4,5
ATS,2018,Premium Luxury,46295,gas,V6,22.0,4,5
ATS,2018,Premium Luxury,44295,gas,V6,24.0,4,5
ATS,2018,Premium Performance,47295,gas,V6,24.0,4,5
ATS-V,2018,Base,60995,gas,V6,19.0,4,5
CT6,2018,Base,56095,gas,V6,21.0,4,5
CT6,2018,Base,54095,gas,I4,25.0,4,5
CT6,2018,Luxury,65195,gas,V6,21.0,4,5
CT6,2018,Luxury,61195,gas,V6,21.0,4,5
CT6,2018,Luxury,59195,gas,I4,25.0,4,5
CT6,2018,Platinum,84295,gas,V6,21.0,4,5
CT6,2018,Platinum,88295,gas,V6,21.0,4,5
CT6,2018,PLUG-IN,75095,plug-in hybrid,I4,25.0,4,5
CT6,2018,Premium Luxury,65295,gas,V6,21.0,4,5
