Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Camaro,2020,1LT,31500,gas,I4,23.0,2,4
Camaro,2020,1SS,43000,gas,V8,19.0,2,4
Camaro,2020,2LT,33500,gas,I4,23.0,2,4
Camaro,2020,2SS,48000,gas,V8,19.0,2,4
Camaro,2020,3LT,37500,gas,I4,23.0,2,4
Camaro,2020,LT1,40000,gas,V8,19.0,2,4
Camaro,2020,ZL1,68000,gas,V8,16.0,2,4
Corvette,2020,Stingray,66400,gas,V8,19.0,2,2
Corvette,2020,Stingray,77850,gas,V8,19.0,2,2
Corvette,2020,Stingray,73200,gas,V8,19.0,2,2
Camaro,2019,1LT,31500,gas,I4,23.0,2,4
Camaro,2019,1SS,43000,gas,V8,19.0,2,4
Camaro,2019,2LT,33500,gas,I4,23.0,2,4
Camaro,2019,2SS,48000,gas,V8,19.0,2,4
Camaro,2019,3LT,37000,gas,V6,20.0,2,4
Camaro,2019,ZL1,68000,gas,V8,16.0,2,4
Corvette,2019,Grand Sport,80145,gas,V8,19.0,2,2
Corvette,2019,Grand Sport,74855,gas,V8,19.0,2,2
Corvette,2019,Grand Sport,70400,gas,V8,19.0,2,2
Corvette,2019,Stingray,64855,gas,V8,19.0,2,2
Corvette,2019,Stingray,70145,gas,V8,19.0,2,2
Corvette,2019,Stingray,60400,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,65400,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,69855,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,75145,gas,V8,19.0,2,2
Corvette,2019,Z06,88965,gas,V8,17.0,2,2
Corvette,2019,Z06,85400,gas,V8,17.0,2,2
Corvette,2019,Z06,94345,gas,V8,17.0,2,2
Corvette,2019,ZR1,135400,gas,V8,15.0,2,2
Corvette,2019,ZR1,125400,gas,V8,15.0,2,2
Camaro,2018,1LS,31905,gas,I4,23.0,2,4
Camaro,2018,1LT,32700,gas,I4,25.0,2,4
Camaro,2018,1SS,43000,gas,V8,19.0,2,4
Camaro,2018,2LT,35700,gas,I4,23.0,2,4
Camaro,2018,2SS,48000,gas,V8,19.0,2,4
Camaro,2018,ZL1,67500,gas,V8,16.0,2,4
Corvette,2018,Grand Sport,69495,gas,V8,19.0,2,2
