Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Camaro,2020,1LS,25000,gas,I4,23.0,2,4
Camaro,2020,1LT,25500,gas,I4,23.0,2,4
Camaro,2020,1SS,37000,gas,V8,19.0,2,4
Camaro,2020,2LT,27500,gas,I4,23.0,2,4
Camaro,2020,2SS,42000,gas,V8,19.0,2,4
Camaro,2020,3LT,31500,gas,I4,23.0,2,4
Camaro,2020,LT1,34000,gas,V8,19.0,2,4
Camaro,2020,ZL1,62000,gas,V8,16.0,2,4
Corvette,2020,Stingray,70850,gas,V8,19.0,2,2
Corvette,2020,Stingray,66200,gas,V8,19.0,2,2
Corvette,2020,Stingray,58900,gas,V8,19.0,2,2
Camaro,2019,1LS,25000,gas,I4,23.0,2,4
Camaro,2019,1LT,25500,gas,I4,23.0,2,4
Camaro,2019,1SS,37000,gas,V8,19.0,2,4
Camaro,2019,2LT,27500,gas,I4,23.0,2,4
Camaro,2019,2SS,42000,gas,V8,19.0,2,4
Camaro,2019,3LT,31000,gas,V6,20.0,2,4
Camaro,2019,ZL1,62000,gas,V8,16.0,2,4
Corvette,2019,Grand Sport,65900,gas,V8,19.0,2,2
Corvette,2019,Grand Sport,75645,gas,V8,19.0,2,2
Corvette,2019,Grand Sport,70355,gas,V8,19.0,2,2
Corvette,2019,Stingray,55900,gas,V8,19.0,2,2
Corvette,2019,Stingray,65645,gas,V8,19.0,2,2
Corvette,2019,Stingray,60355,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,65355,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,70645,gas,V8,19.0,2,2
Corvette,2019,Stingray Z51,60900,gas,V8,19.0,2,2
Corvette,2019,Z06,89845,gas,V8,17.0,2,2
Corvette,2019,Z06,80900,gas,V8,17.0,2,2
Corvette,2019,Z06,84465,gas,V8,17.0,2,2
Corvette,2019,ZR1,120900,gas,V8,15.0,2,2
Corvette,2019,ZR1,130900,gas,V8,15.0,2,2
Camaro,2018,1LS,25905,gas,I4,23.0,2,4
Camaro,2018,1LT,26700,gas,I4,25.0,2,4
