Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Blazer,2020,1LT,32300,flex-fuel (FFV),I4,23.0,5,5
Blazer,2020,2LT,32800,gas,I4,24.0,5,5
Blazer,2020,2LT,34800,gas,I4,23.0,5,5
Blazer,2020,3LT,37000,gas,I4,24.0,5,5
Blazer,2020,3LT,39000,gas,I4,23.0,5,5
Blazer,2020,L,28800,flex-fuel (FFV),I4,23.0,5,5
Blazer,2020,Premier,45600,gas,V6,21.0,5,5
Blazer,2020,Premier,42700,gas,V6,21.0,5,5
Blazer,2020,RS,40600,gas,V6,21.0,5,5
Blazer,2020,RS,43500,gas,V6,21.0,5,5
Equinox,2020,L,23800,gas,I4,28.0,5,5
Equinox,2020,LS,27900,gas,I4,27.0,5,5
Equinox,2020,LS,26300,gas,I4,28.0,5,5
Equinox,2020,LS Fleet,26500,gas,I4,28.0,5,5
Equinox,2020,LS Fleet,28100,gas,I4,27.0,5,5
Equinox,2020,LT,29100,gas,I4,27.0,5,5
Equinox,2020,LT,27500,gas,I4,28.0,5,5
Equinox,2020,LT,30000,gas,I4,25.0,5,5
Equinox,2020,LT,31600,gas,I4,24.0,5,5
Equinox,2020,LT Fleet,27900,gas,I4,28.0,5,5
Equinox,2020,LT Fleet,29500,gas,I4,27.0,5,5
Equinox,2020,Premier,33000,gas,I4,27.0,5,5
Equinox,2020,Premier,34100,gas,I4,25.0,5,5
Equinox,2020,Premier,31400,gas,I4,28.0,5,5
Equinox,2020,Premier,35700,gas,I4,24.0,5,5
Suburban,2020,Fleet,52700,flex-fuel (FFV),V8,16.0,5,8
Suburban,2020,Fleet,49700,flex-fuel (FFV),V8,18.0,5,8
Suburban,2020,LS,53800,flex-fuel (FFV),V8,18.0,5,8
Suburban,2020,LS,50800,flex-fuel (FFV),V8,16.0,5,8
Suburban,2020,LT,55800,flex-fuel (FFV),V8,18.0,5,8
Suburban,2020,LT,58800,flex-fuel (FFV),V8,16.0,5,8
Suburban,2020,Premier,65500,flex-fuel (FFV),V8,18.0,5,7
Suburban,2020,Premier,68500,flex-fuel (FFV),V8,16.0,5,7
