Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Colorado,2020,LT,35300,gas,V6,19.0,4,5
Colorado,2020,LT,29700,gas,I4,22.0,4,5
Colorado,2020,LT,31900,gas,V6,20.0,4,5
Colorado,2020,LT,34400,gas,V6,19.0,4,5
Colorado,2020,Work Truck,32600,gas,V6,19.0,4,5
Colorado,2020,Work Truck,31700,gas,V6,19.0,4,5
Colorado,2020,Work Truck,29000,gas,V6,20.0,4,5
Colorado,2020,Work Truck,26700,gas,I4,22.0,4,5
Colorado,2020,Z71,37100,gas,V6,19.0,4,5
Colorado,2020,Z71,37700,gas,V6,19.0,4,5
Colorado,2020,Z71,33900,gas,V6,20.0,4,5
Colorado,2020,ZR2,43000,gas,V6,17.0,4,5
Silverado 1500,2020,Custom,37000,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom,37300,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom,40300,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom,40600,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom Trail Boss,42200,flex-fuel (FFV),V6,16.0,4,6
Silverado 1500,2020,Custom Trail Boss,41900,flex-fuel (FFV),V6,16.0,4,6
Silverado 1500,2020,High Country,56500,gas,V8,19.0,4,5
Silverado 1500,2020,High Country,53300,gas,V8,20.0,4,5
Silverado 1500,2020,High Country,53000,gas,V8,20.0,4,5
Silverado 1500,2020,LT,39300,gas,I4,21.0,4,6
Silverado 1500,2020,LT,39600,gas,I4,21.0,4,6
Silverado 1500,2020,LT,42600,gas,I4,20.0,4,6
Silverado 1500,2020,LT,42900,gas,I4,20.0,4,6
Silverado 1500,2020,LT Trail Boss,48800,gas,V8,18.0,4,6
Silverado 1500,2020,LT Trail Boss,48500,gas,V8,18.0,4,6
Silverado 1500,2020,LTZ,49000,gas,V8,18.0,4,6
Silverado 1500,2020,LTZ,48700,gas,V8,18.0,4,6
Silverado 1500,2020,LTZ,45700,gas,V8,20.0,4,6
Silverado 1500,2020,LTZ,45400,gas,V8,20.0,4,6
Silverado 1500,2020,RST,41200,gas,I4,21.0,4,6
Silverado 1500,2020,RST,41500,gas,I4,21.0,4,6
Silverado 1500,2020,RST,44800,gas,I4,20.0,4,6
Silverado 1500,2020,RST,44500,gas,I4,20.0,4,6
Silverado 1500,2020,Work Truck,34600,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Work Truck,34900,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Work Truck,37900,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Work Truck,38200,flex-fuel (FFV),V6,17.0,4,6
Silverado 2500HD,2020,Custom,43800,gas,V8,,4,6
Silverado 2500HD,2020,Custom,43600,gas,V8,,4,6
Silverado 2500HD,2020,Custom,41000,gas,V8,,4,6
Silverado 2500HD,2020,Custom,40800,gas,V8,,4,6
Silverado 2500HD,2020,High Country,61300,gas,V8,,4,5
Silverado 2500HD,2020,High Country,61100,gas,V8,,4,5
Silverado 2500HD,2020,LT,44600,gas,V8,,4,6
Silverado 2500HD,2020,LT,42000,gas,V8,,4,6
Silverado 2500HD,2020,LT,41800,gas,V8,,4,6
Silverado 2500HD,2020,LT,44800,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,53300,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,50700,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,50500,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,53500,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,38300,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,41300,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,41100,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,38500,gas,V8,,4,6
Silverado 3500HD,2020,High Country,63700,gas,V8,,4,5
Silverado 3500HD,2020,High Country,62500,gas,V8,,4,5
Silverado 3500HD,2020,High Country,62300,gas,V8,,4,5
Silverado 3500HD,2020,LT,45800,gas,V8,,4,6
Silverado 3500HD,2020,LT,43000,gas,V8,,4,6
Silverado 3500HD,2020,LT,43200,gas,V8,,4,6
