Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Silverado 1500,2020,Custom,37900,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom,34600,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Custom Trail Boss,39500,flex-fuel (FFV),V6,16.0,4,6
Silverado 1500,2020,LT,36900,gas,I4,21.0,4,6
Silverado 1500,2020,LT,40200,gas,I4,20.0,4,6
Silverado 1500,2020,LT Trail Boss,46100,gas,V8,18.0,4,6
Silverado 1500,2020,LTZ,46300,gas,V8,18.0,4,6
Silverado 1500,2020,LTZ,43000,gas,V8,20.0,4,6
Silverado 1500,2020,RST,38800,gas,I4,21.0,4,6
Silverado 1500,2020,RST,42100,gas,I4,20.0,4,6
Silverado 1500,2020,Work Truck,32200,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2020,Work Truck,35500,flex-fuel (FFV),V6,17.0,4,6
Silverado 2500HD,2020,Custom,39000,gas,V8,,4,6
Silverado 2500HD,2020,Custom,39200,gas,V8,,4,6
Silverado 2500HD,2020,Custom,41800,gas,V8,,4,6
Silverado 2500HD,2020,Custom,42000,gas,V8,,4,6
Silverado 2500HD,2020,LT,43000,gas,V8,,4,6
Silverado 2500HD,2020,LT,42800,gas,V8,,4,6
Silverado 2500HD,2020,LT,40200,gas,V8,,4,6
Silverado 2500HD,2020,LT,40000,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,48900,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,51500,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,51700,gas,V8,,4,6
Silverado 2500HD,2020,LTZ,48700,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,39500,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,39300,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,36700,gas,V8,,4,6
Silverado 2500HD,2020,Work Truck,36500,gas,V8,,4,6
Silverado 3500HD,2020,LT,41400,gas,V8,,4,6
Silverado 3500HD,2020,LT,42600,gas,V8,,4,6
Silverado 3500HD,2020,LT,44200,gas,V8,,4,6
Silverado 3500HD,2020,LT,45400,gas,V8,,4,6
Silverado 3500HD,2020,Work Truck,37900,gas,V8,,4,6
Silverado 3500HD,2020,Work Truck,39100,gas,V8,,4,6
Silverado 3500HD,2020,Work Truck,40700,gas,V8,,4,6
Silverado 3500HD,2020,Work Truck,41900,gas,V8,,4,6
Silverado 1500,2019,Custom,34600,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2019,Custom,37900,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2019,Custom Trail Boss,39500,flex-fuel (FFV),V6,16.0,4,6
Silverado 1500,2019,LT,40200,gas,I4,20.0,4,6
Silverado 1500,2019,LT,36900,gas,I4,21.0,4,6
Silverado 1500,2019,LT Trail Boss,45900,gas,V8,17.0,4,6
Silverado 1500,2019,LTZ,46300,gas,V8,18.0,4,6
Silverado 1500,2019,LTZ,43000,gas,V8,19.0,4,6
Silverado 1500,2019,RST,38800,gas,I4,21.0,4,6
Silverado 1500,2019,RST,42100,gas,I4,20.0,4,6
Silverado 1500,2019,Work Truck,32200,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500,2019,Work Truck,35500,flex-fuel (FFV),V6,17.0,4,6
Silverado 1500 LD,2019,Custom,40300,gas,V8,17.0,4,6
Silverado 1500 LD,2019,Custom,36300,gas,V8,17.0,4,6
Silverado 1500 LD,2019,LT,39200,gas,V8,17.0,4,6
Silverado 1500 LD,2019,LT,42700,gas,V8,17.0,4,6
Silverado 1500 LD,2019,Work Truck,34500,gas,V8,17.0,4,6
Silverado 1500 LD,2019,Work Truck,38400,gas,V8,17.0,4,6
Silverado 1500 LD,2019,Z71 LT,44000,gas,V8,17.0,4,6
Silverado 2500HD,2019,LT,45900,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2019,LT,45700,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2019,LT,42500,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2019,Work Truck,37600,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2019,Work Truck,40300,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2019,Work Truck,40500,flex-fuel (FFV),V8,,4,6
Silverado 1500,2018,Custom,38125,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2018,Custom,34145,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2018,LS,38040,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2018,LS,34060,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2018,LT,37165,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2018,LT,40615,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2018,LTZ,45465,gas,V8,18.0,4,6
Silverado 1500,2018,LTZ,42240,gas,V8,18.0,4,6
Silverado 1500,2018,Work Truck,36290,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2018,Work Truck,32310,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2018,Z71 LT,42725,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2018,Z71 LTZ,46830,gas,V8,17.0,4,6
Silverado 2500HD,2018,LT,40900,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LT,41095,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LT,44245,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LT,44440,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LTZ,49440,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LTZ,46095,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LTZ,46290,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,LTZ,49245,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,Work Truck,36140,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,Work Truck,36335,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,Work Truck,39095,flex-fuel (FFV),V8,,4,6
Silverado 2500HD,2018,Work Truck,39290,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LT,47180,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LT,46275,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LT,43980,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LT,43075,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LTZ,47780,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LTZ,47880,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LTZ,50930,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,LTZ,51030,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,Work Truck,41835,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,Work Truck,41540,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,Work Truck,38880,flex-fuel (FFV),V8,,4,6
Silverado 3500HD,2018,Work Truck,38585,flex-fuel (FFV),V8,,4,6
Silverado 1500,2017,Custom,33445,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2017,Custom,37425,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2017,LS,33360,flex-fuel (FFV),V6,20.0,4,6
Silverado 1500,2017,LS,37340,flex-fuel (FFV),V6,19.0,4,6
Silverado 1500,2017,LT,36515,flex-fuel (FFV),V6,20.0,4,6
