Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Colorado,2020,Base,21300,gas,I4,22.0,4,2
Colorado,2020,LT,27700,gas,I4,22.0,4,4
Colorado,2020,LT,31400,gas,I4,21.0,4,4
Colorado,2020,Work Truck,28700,gas,I4,21.0,4,4
Colorado,2020,Work Truck,24800,gas,I4,22.0,4,4
Colorado,2020,Z71,35600,gas,V6,19.0,4,4
Colorado,2020,ZR2,41400,gas,V6,17.0,4,4
Colorado,2019,Base,21300,gas,I4,22.0,4,2
Colorado,2019,Base,20600,gas,I4,22.0,4,2
Colorado,2019,LT,27600,gas,I4,22.0,4,4
Colorado,2019,LT,31300,gas,I4,21.0,4,4
Colorado,2019,Work Truck,28700,gas,I4,21.0,4,4
Colorado,2019,Work Truck,24800,gas,I4,22.0,4,4
Colorado,2019,Work Truck,24100,gas,I4,22.0,4,4
Colorado,2019,Z71,34300,gas,I4,21.0,4,4
Colorado,2019,Z71,30700,gas,I4,22.0,4,4
Colorado,2019,ZR2,41300,gas,V6,17.0,4,4
Colorado,2018,Base,20200,gas,I4,22.0,4,2
Colorado,2018,LT,31000,gas,I4,21.0,4,4
Colorado,2018,LT,27100,gas,I4,22.0,4,4
Colorado,2018,Work Truck,28500,gas,I4,21.0,4,4
Colorado,2018,Work Truck,23700,gas,I4,22.0,4,4
Colorado,2018,Z71,29700,gas,I4,22.0,4,4
Colorado,2018,Z71,33500,gas,I4,21.0,4,4
Colorado,2018,ZR2,40400,gas,V6,17.0,4,4
Colorado,2017,Base,20000,gas,I4,22.0,4,2
Colorado,2017,LT,26775,gas,I4,22.0,4,4
Colorado,2017,LT,30660,gas,I4,21.0,4,4
Colorado,2017,Work Truck,28000,gas,I4,21.0,4,4
Colorado,2017,Work Truck,23230,gas,I4,22.0,4,4
Colorado,2017,Z71,33070,gas,I4,21.0,4,4
Colorado,2017,Z71,29310,gas,I4,22.0,4,4
Colorado,2017,ZR2,40000,gas,V6,17.0,4,4
Colorado,2016,Base,20100,gas,I4,22.0,4,2
Colorado,2016,LT,30030,gas,I4,21.0,4,4
Colorado,2016,LT,25980,gas,I4,22.0,4,4
Colorado,2016,Work Truck,27545,gas,I4,21.0,4,4
Colorado,2016,Work Truck,22435,gas,I4,22.0,4,4
Colorado,2016,Z71,32440,gas,I4,21.0,4,4
Colorado,2016,Z71,28515,gas,I4,22.0,4,4
Colorado,2015,Base,20120,gas,I4,22.0,4,2
Colorado,2015,LT,29220,gas,I4,21.0,4,4
Colorado,2015,LT,25170,gas,I4,22.0,4,4
Colorado,2015,Work Truck,26885,gas,I4,21.0,4,4
Colorado,2015,Work Truck,21775,gas,I4,22.0,4,4
Colorado,2015,Z71,27630,gas,I4,22.0,4,4
Colorado,2015,Z71,31555,gas,I4,21.0,4,4
