Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Silverado 1500,2020,Work Truck,32900,flex-fuel (FFV),V6,17.0,2,3
Silverado 1500,2020,Work Truck,28300,flex-fuel (FFV),V6,17.0,2,3
Silverado 2500HD,2020,LT,40800,gas,V8,,2,3
Silverado 2500HD,2020,LT,38000,gas,V8,,2,3
Silverado 2500HD,2020,Work Truck,34100,gas,V8,,2,3
Silverado 2500HD,2020,Work Truck,36900,gas,V8,,2,3
Silverado 3500HD,2020,LT,43200,gas,V8,,2,3
Silverado 3500HD,2020,LT,42000,gas,V8,,2,3
Silverado 3500HD,2020,LT,40400,gas,V8,,2,3
Silverado 3500HD,2020,LT,39200,gas,V8,,2,3
Silverado 3500HD,2020,Work Truck,36500,gas,V8,,2,3
Silverado 3500HD,2020,Work Truck,38100,gas,V8,,2,3
Silverado 3500HD,2020,Work Truck,39300,gas,V8,,2,3
Silverado 3500HD,2020,Work Truck,35300,gas,V8,,2,3
Silverado 1500,2019,Work Truck,28300,flex-fuel (FFV),V6,17.0,2,3
Silverado 1500,2019,Work Truck,32900,flex-fuel (FFV),V6,17.0,2,3
Silverado 2500HD,2019,Work Truck,38100,flex-fuel (FFV),V8,,2,3
Silverado 1500,2018,LS,34250,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,LS,30700,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,LS,30310,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,LS,34550,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,LT,34510,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,LT,34635,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,LT,38020,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,LT,38320,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,Work Truck,28285,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,Work Truck,28675,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2018,Work Truck,32225,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,Work Truck,32525,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,Z71 LT,40230,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2018,Z71 LT,39930,flex-fuel (FFV),V6,19.0,2,3
Silverado 2500HD,2018,LT,38325,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2018,LT,41450,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2018,Work Truck,33960,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2018,Work Truck,36915,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,LT,39215,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,LT,43355,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,LT,42340,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,LT,40230,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,Work Truck,36040,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,Work Truck,35260,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,Work Truck,38995,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2018,Work Truck,38215,flex-fuel (FFV),V8,,2,3
Silverado 1500,2017,LS,29610,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,LS,30000,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,LS,33550,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,LS,33850,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,LT,33860,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,LT,33985,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,LT,37370,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,LT,37670,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,Work Truck,27975,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,Work Truck,27585,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2017,Work Truck,31525,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,Work Truck,31825,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,Z71 LT,39280,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2017,Z71 LT,39580,flex-fuel (FFV),V6,19.0,2,3
Silverado 2500HD,2017,LT,41000,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2017,LT,37875,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2017,Work Truck,36265,flex-fuel (FFV),V8,,2,3
Silverado 2500HD,2017,Work Truck,33310,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,LT,42805,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,LT,41790,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,LT,39680,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,LT,38665,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,Work Truck,34510,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,Work Truck,38245,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,Work Truck,37465,flex-fuel (FFV),V8,,2,3
Silverado 3500HD,2017,Work Truck,35290,flex-fuel (FFV),V8,,2,3
Silverado 1500,2016,LS,29510,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2016,LS,33060,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2016,LS,33360,flex-fuel (FFV),V6,19.0,2,3
Silverado 1500,2016,LS,29120,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2016,LT,33170,flex-fuel (FFV),V6,20.0,2,3
Silverado 1500,2016,LT,33295,flex-fuel (FFV),V6,20.0,2,3
