Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Grand Caravan,2020,GT Fleet,35535,gas,V6,20.0,5,7
Grand Caravan,2020,SE,27530,gas,V6,20.0,5,7
Grand Caravan,2020,SE Plus,30330,gas,V6,20.0,5,7
Grand Caravan,2020,SXT,32995,gas,V6,20.0,5,7
Grand Caravan,2019,GT Fleet,34495,gas,V6,20.0,5,7
Grand Caravan,2019,SE,26790,gas,V6,20.0,5,7
Grand Caravan,2019,SE Plus,29555,gas,V6,20.0,5,7
Grand Caravan,2019,SXT,32290,gas,V6,20.0,5,7
Grand Caravan,2018,GT Fleet,34495,gas,V6,20.0,5,7
Grand Caravan,2018,SE,26250,gas,V6,20.0,5,7
Grand Caravan,2018,SE Plus,29015,gas,V6,20.0,5,7
Grand Caravan,2018,SXT,31750,gas,V6,20.0,5,7
Grand Caravan,2017,GT,33395,gas,V6,20.0,5,7
Grand Caravan,2017,SE,25995,gas,V6,20.0,5,7
Grand Caravan,2017,SE Fleet,25495,gas,V6,20.0,5,7
Grand Caravan,2017,SE Plus,28695,gas,V6,20.0,5,7
Grand Caravan,2017,SE Plus Fleet,28195,gas,V6,20.0,5,7
Grand Caravan,2017,SXT,31395,gas,V6,20.0,5,7
Grand Caravan,2016,American Value Package,22595,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2016,R/T,31495,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2016,SE,25095,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2016,SE Plus,26195,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2016,SXT,28295,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2016,SXT Plus,29395,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,American Value Package,21795,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,R/T,30995,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,SE,24245,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,SE Plus,25245,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,SXT,27395,flex-fuel (FFV),V6,20.0,5,7
Grand Caravan,2015,SXT Plus,28395,flex-fuel (FFV),V6,20.0,5,7
