Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
124 Spider,2020,Abarth,29390,gas,I4,30.0,2,2
124 Spider,2020,Classica,25390,gas,I4,30.0,2,2
124 Spider,2020,Lusso,28145,gas,I4,30.0,2,2
124 Spider,2020,Urbana Edition,26385,gas,I4,30.0,2,2
124 Spider,2019,Abarth,29290,gas,I4,30.0,2,2
124 Spider,2019,Classica,25190,gas,I4,30.0,2,2
124 Spider,2019,Lusso,27795,gas,I4,30.0,2,2
124 Spider,2019,Urbana Edition,26185,gas,I4,30.0,2,2
500,2019,C Abarth,21990,gas,I4,30.0,2,4
500,2019,C Lounge,21240,gas,I4,30.0,2,4
500,2019,C Pop,17740,gas,I4,30.0,2,4
500,2019,C Retro,21240,gas,I4,30.0,2,4
124 Spider,2018,Abarth,28295,gas,I4,30.0,2,2
124 Spider,2018,Classica,24995,gas,I4,30.0,2,2
124 Spider,2018,Lusso,27595,gas,I4,30.0,2,2
500,2018,C Abarth,21990,gas,I4,30.0,2,4
500,2018,C Lounge,21240,gas,I4,30.0,2,4
500,2018,C Pop,17740,gas,I4,30.0,2,4
124 Spider,2017,Abarth,28195,gas,I4,30.0,2,2
124 Spider,2017,Classica,24995,gas,I4,30.0,2,2
124 Spider,2017,Lusso,27495,gas,I4,30.0,2,2
500,2017,C Abarth,21490,gas,I4,30.0,2,4
500,2017,C Lounge,19990,gas,I4,29.0,2,4
500,2017,C Pop,16490,gas,I4,29.0,2,4
500,2016,C Abarth,26695,gas,I4,40.0,2,4
500,2016,C Easy,21395,gas,I4,34.0,2,4
500,2016,C Lounge,24495,gas,I4,34.0,2,4
500,2016,C Pop,20395,gas,I4,34.0,2,4
500,2015,C 1957 Edition,24700,gas,I4,30.0,2,4
500,2015,C Abarth,26595,gas,I4,30.0,2,4
500,2015,C Lounge,22800,gas,I4,30.0,2,4
500,2015,C Pop,20345,gas,I4,30.0,2,4
