Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
500,2019,Abarth,20495,gas,I4,30.0,3,4
500,2019,Lounge,19745,gas,I4,30.0,3,4
500,2019,Pop,16245,gas,I4,30.0,3,4
500,2019,Retro,19745,gas,I4,30.0,3,4
500e,2019,Battery Electric,33210,electric,,,3,4
500,2018,Abarth,20495,gas,I4,30.0,3,4
500,2018,Lounge,19745,gas,I4,30.0,3,4
500,2018,Pop,16245,gas,I4,30.0,3,4
500e,2018,Battery Electric,32995,electric,,,3,4
500,2017,Abarth,19995,gas,I4,30.0,3,4
500,2017,Lounge,18495,gas,I4,29.0,3,4
500,2017,Pop,14995,gas,I4,29.0,3,4
500e,2017,Battery Electric,31800,electric,,,3,4
500,2016,Abarth,22575,gas,I4,30.0,3,4
500,2016,Easy,17745,gas,I4,34.0,3,4
500,2016,Lounge,20395,gas,I4,34.0,3,4
500,2016,Pop,16995,gas,I4,34.0,3,4
500,2016,Retro,21295,gas,I4,34.0,3,4
500,2016,Sport,17900,gas,I4,34.0,3,4
500,2016,Turbo,19700,gas,I4,30.0,3,4
500e,2016,Battery Electric,31800,electric,,,3,4
500,2015,1957 Edition,20400,gas,I4,34.0,3,4
500,2015,Abarth,22495,gas,I4,30.0,3,4
500,2015,Lounge,18700,gas,I4,34.0,3,4
500,2015,Pop,16845,gas,I4,34.0,3,4
500,2015,Ribelle,17495,gas,I4,34.0,3,4
500,2015,Sport,17700,gas,I4,34.0,3,4
500,2015,Turbo,19700,gas,I4,30.0,3,4
500e,2015,Battery Electric,31800,electric,,,3,4
