Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
500X,2020,Pop,24590,gas,I4,26.0,5,5
500X,2020,Sport,26895,gas,I4,26.0,5,5
500X,2020,Trekking,25995,gas,I4,26.0,5,5
500X,2020,Trekking Plus,29495,gas,I4,26.0,5,5
500X,2019,Blue Sky Edition,25685,gas,I4,26.0,5,5
500X,2019,Pop,24490,gas,I4,26.0,5,5
500X,2019,Trekking,25995,gas,I4,26.0,5,5
500X,2019,Trekking Plus,29195,gas,I4,26.0,5,5
500X,2019,Urbana Edition,26890,gas,I4,26.0,5,5
500X,2018,Lounge,27415,gas,I4,24.0,5,5
500X,2018,Lounge,25515,gas,I4,25.0,5,5
500X,2018,Pop,19995,gas,I4,28.0,5,5
500X,2018,Pop,23890,gas,I4,24.0,5,5
500X,2018,Trekking,23685,gas,I4,25.0,5,5
500X,2018,Trekking,25585,gas,I4,24.0,5,5
500X,2018,Urbana Edition,24530,gas,I4,25.0,5,5
500X,2018,Urbana Edition,26430,gas,I4,24.0,5,5
500X,2017,Lounge,25150,gas,I4,25.0,5,5
500X,2017,Lounge,27050,gas,I4,24.0,5,5
500X,2017,Pop,23890,gas,I4,24.0,5,5
500X,2017,Pop,19995,gas,I4,28.0,5,5
500X,2017,Trekking,23350,gas,I4,25.0,5,5
500X,2017,Trekking,25250,gas,I4,24.0,5,5
500X,2016,Easy,22735,gas,I4,25.0,5,5
500X,2016,Easy,24635,gas,I4,24.0,5,5
500X,2016,Lounge,25135,gas,I4,25.0,5,5
500X,2016,Lounge,27035,gas,I4,24.0,5,5
500X,2016,Pop,20000,gas,I4,28.0,5,5
500X,2016,Trekking,25235,gas,I4,24.0,5,5
500X,2016,Trekking,23335,gas,I4,25.0,5,5
500X,2016,Trekking Plus,27335,gas,I4,25.0,5,5
500X,2016,Trekking Plus,29235,gas,I4,24.0,5,5
