Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
500L,2020,Lounge,24645,gas,I4,25.0,5,5
500L,2020,Pop,22500,gas,I4,25.0,5,5
500L,2020,Trekking,23825,gas,I4,25.0,5,5
500L,2020,Urbana,24420,gas,I4,25.0,5,5
500L,2019,Lounge,24320,gas,I4,25.0,5,5
500L,2019,Pop,21910,gas,I4,25.0,5,5
500L,2019,Trekking,23325,gas,I4,25.0,5,5
500L,2019,Urbana,23920,gas,I4,25.0,5,5
500L,2018,Lounge,23895,gas,I4,25.0,5,5
500L,2018,Pop,20995,gas,I4,25.0,5,5
500L,2018,Trekking,23325,gas,I4,25.0,5,5
500L,2017,Lounge,23695,gas,I4,25.0,5,5
500L,2017,Pop,20995,gas,I4,25.0,5,5
500L,2017,Trekking,22995,gas,I4,25.0,5,5
500L,2016,Easy,20795,gas,I4,28.0,5,5
500L,2016,Lounge,24795,gas,I4,25.0,5,5
500L,2016,Pop,19495,gas,I4,28.0,5,5
500L,2016,Trekking,21880,gas,I4,28.0,5,5
500L,2016,Urbana Trekking,23395,gas,I4,28.0,5,5
500L,2015,Easy,20695,gas,I4,28.0,5,5
500L,2015,Lounge,24695,gas,I4,25.0,5,5
500L,2015,Pop,19345,gas,I4,28.0,5,5
500L,2015,Trekking,21695,gas,I4,28.0,5,5
500L,2015,Urbana Trekking,23095,gas,I4,28.0,5,5
