Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
488 GTB,2019,Base,262647,gas,V8,18.0,2,2
488 GTB,2018,Base,252800,gas,V8,18.0,2,2
812 Superfast,2018,Base,336962,gas,V12,13.0,2,2
488 GTB,2017,Base,252800,gas,V8,18.0,2,2
GTC4Lusso,2017,Base,298000,gas,V12,13.0,2,4
488 GTB,2016,Base,245400,gas,V8,18.0,2,2
F12 Berlinetta,2016,Base,319995,gas,V12,13.0,2,2
458 Italia,2015,Base,239340,gas,V8,14.0,2,2
458 Italia,2015,Speciale,291744,gas,V8,14.0,2,2
F12 Berlinetta,2015,Base,319995,gas,V12,13.0,2,2
FF,2015,Base,295000,gas,V12,13.0,2,4
