Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Transit Van,2018,150 Low Roof,32380,gas,V6,,4,2
Transit Van,2018,150 Low Roof,32530,gas,V6,,4,2
Transit Van,2018,150 Low Roof,33380,flex-fuel (FFV),V6,,4,2
Transit Van,2018,150 Low Roof,33230,flex-fuel (FFV),V6,,4,2
Transit Van,2018,150 Medium Roof,34550,flex-fuel (FFV),V6,,4,2
Transit Van,2018,150 Medium Roof,35200,flex-fuel (FFV),V6,,5,2
Transit Van,2018,150 Medium Roof,33500,gas,V6,,5,2
Transit Van,2018,150 Medium Roof,32850,gas,V6,,4,2
Transit Van,2018,250 High Roof,37650,flex-fuel (FFV),V6,,4,2
Transit Van,2018,250 High Roof,38300,flex-fuel (FFV),V6,,5,2
Transit Van,2018,250 Low Roof,33480,gas,V6,,4,2
Transit Van,2018,250 Low Roof,34180,flex-fuel (FFV),V6,,4,2
Transit Van,2018,250 Low Roof,34330,flex-fuel (FFV),V6,,4,2
Transit Van,2018,250 Low Roof,33330,gas,V6,,4,2
Transit Van,2018,250 Medium Roof,33800,gas,V6,,4,2
Transit Van,2018,250 Medium Roof,34450,gas,V6,,5,2
Transit Van,2018,250 Medium Roof,35500,flex-fuel (FFV),V6,,4,2
Transit Van,2018,250 Medium Roof,36150,flex-fuel (FFV),V6,,5,2
Transit Van,2018,350 HD High Roof,41440,flex-fuel (FFV),V6,,5,2
Transit Van,2018,350 HD High Roof,40440,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 HD High Roof,40790,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 HD High Roof,41090,flex-fuel (FFV),V6,,5,2
Transit Van,2018,350 High Roof,39550,flex-fuel (FFV),V6,,5,2
Transit Van,2018,350 High Roof,38900,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 Low Roof,36235,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 Low Roof,36385,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 Low Roof,35535,gas,V6,,4,2
Transit Van,2018,350 Low Roof,35385,gas,V6,,4,2
Transit Van,2018,350 Medium Roof,35700,gas,V6,,5,2
Transit Van,2018,350 Medium Roof,35050,gas,V6,,4,2
Transit Van,2018,350 Medium Roof,36750,flex-fuel (FFV),V6,,4,2
Transit Van,2018,350 Medium Roof,37400,flex-fuel (FFV),V6,,5,2
Transit Van,2017,150 Low Roof,31610,flex-fuel (FFV),V6,,4,2
Transit Van,2017,150 Low Roof,32610,flex-fuel (FFV),V6,,4,2
Transit Van,2017,150 Low Roof,32460,flex-fuel (FFV),V6,,4,2
Transit Van,2017,150 Low Roof,31760,flex-fuel (FFV),V6,,4,2
Transit Van,2017,150 Medium Roof,34290,flex-fuel (FFV),V6,,5,2
Transit Van,2017,150 Medium Roof,33640,flex-fuel (FFV),V6,,4,2
Transit Van,2017,150 Medium Roof,32590,flex-fuel (FFV),V6,,5,2
Transit Van,2017,150 Medium Roof,31940,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 High Roof,36740,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 High Roof,37390,flex-fuel (FFV),V6,,5,2
Transit Van,2017,250 Low Roof,32710,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Low Roof,33410,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Low Roof,33560,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Low Roof,32560,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Medium Roof,32890,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Medium Roof,33540,flex-fuel (FFV),V6,,5,2
Transit Van,2017,250 Medium Roof,34590,flex-fuel (FFV),V6,,4,2
Transit Van,2017,250 Medium Roof,35240,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 HD High Roof,39880,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 HD High Roof,39530,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 HD High Roof,40180,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 HD High Roof,40530,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 High Roof,38640,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 High Roof,37990,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Low Roof,34615,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Low Roof,34765,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Low Roof,35465,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Low Roof,35615,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Medium Roof,36491,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 Medium Roof,34790,flex-fuel (FFV),V6,,5,2
Transit Van,2017,350 Medium Roof,34140,flex-fuel (FFV),V6,,4,2
Transit Van,2017,350 Medium Roof,35840,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Low Roof,30960,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Low Roof,31810,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Low Roof,31960,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Low Roof,31110,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Medium Roof,32215,flex-fuel (FFV),V6,,5,2
Transit Van,2016,150 Medium Roof,31565,flex-fuel (FFV),V6,,4,2
Transit Van,2016,150 Medium Roof,33915,flex-fuel (FFV),V6,,5,2
Transit Van,2016,150 Medium Roof,33265,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 High Roof,36090,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 High Roof,36740,flex-fuel (FFV),V6,,5,2
Transit Van,2016,250 Low Roof,32910,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Low Roof,32760,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Low Roof,32060,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Low Roof,31910,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Medium Roof,34215,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Medium Roof,32515,flex-fuel (FFV),V6,,4,2
Transit Van,2016,250 Medium Roof,33165,flex-fuel (FFV),V6,,5,2
Transit Van,2016,250 Medium Roof,34865,flex-fuel (FFV),V6,,5,2
Transit Van,2016,350 High Roof,37340,flex-fuel (FFV),V6,,4,2
Transit Van,2016,350 High Roof,37990,flex-fuel (FFV),V6,,5,2
Transit Van,2016,350 Low Roof,34815,flex-fuel (FFV),V6,,4,2
Transit Van,2016,350 Low Roof,34965,flex-fuel (FFV),V6,,4,2
Transit Van,2016,350 Medium Roof,35465,flex-fuel (FFV),V6,,4,2
Transit Van,2016,350 Medium Roof,36115,flex-fuel (FFV),V6,,5,2
Transit Van,2015,150 Low Roof,29735,flex-fuel (FFV),V6,,4,2
