Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Mustang,2020,EcoBoost,32170,gas,I4,23.0,2,4
Mustang,2020,EcoBoost Premium,37185,gas,I4,23.0,2,4
Mustang,2020,GT Premium,45130,gas,V8,18.0,2,4
Mustang,2019,EcoBoost,31895,gas,I4,23.0,2,4
Mustang,2019,EcoBoost Premium,36910,gas,I4,23.0,2,4
Mustang,2019,GT Premium,44855,gas,V8,18.0,2,4
Mustang,2018,EcoBoost,31180,gas,I4,23.0,2,4
Mustang,2018,EcoBoost Premium,36195,gas,I4,23.0,2,4
Mustang,2018,GT Premium,44690,gas,V8,18.0,2,4
Mustang,2017,EcoBoost Premium,35695,gas,I4,23.0,2,4
Mustang,2017,GT Premium,42695,gas,V8,17.0,2,4
Mustang,2017,V6,30685,gas,V6,,2,4
Mustang,2016,EcoBoost Premium,35145,gas,I4,24.0,2,4
Mustang,2016,GT Premium,41895,gas,V8,19.0,2,4
Mustang,2016,V6,29645,gas,V6,21.0,2,4
Mustang,2015,EcoBoost Premium,34800,gas,I4,26.0,2,4
Mustang,2015,GT Premium,41800,gas,V8,19.0,2,4
Mustang,2015,V6,29300,gas,V6,21.0,2,4
