Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Transit Connect,2020,Cargo Van XL,25275,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XL,25275,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XL,24275,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XL,24275,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XLT,26700,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XLT,26700,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XLT,27700,gas,I4,25.0,5,2
Transit Connect,2020,Cargo Van XLT,27700,gas,I4,25.0,5,2
Transit Connect,2020,Wagon Titanium LWB,32250,gas,I4,26.0,5,6
Transit Connect,2020,Wagon Titanium SWB,30870,diesel,I4,,5,5
Transit Connect,2020,Wagon XL,27020,gas,I4,26.0,5,6
Transit Connect,2020,Wagon XL,27020,gas,I4,26.0,5,6
Transit Connect,2020,Wagon XLT,27755,diesel,I4,,5,5
Transit Connect,2020,Wagon XLT,27755,diesel,I4,,5,5
Transit Connect,2020,Wagon XLT,29135,gas,I4,26.0,5,6
Transit Connect,2020,Wagon XLT,29135,gas,I4,26.0,5,6
Transit Connect,2019,Cargo Van XL,24100,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XL,24100,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XL,25100,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XL,25100,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XLT,27045,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XLT,27045,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XLT,26045,gas,I4,25.0,5,2
Transit Connect,2019,Cargo Van XLT,26045,gas,I4,25.0,5,2
Transit Connect,2019,Wagon Titanium LWB,31595,gas,I4,26.0,5,6
Transit Connect,2019,Wagon Titanium SWB,30215,diesel,I4,,5,5
Transit Connect,2019,Wagon XL,26845,gas,I4,26.0,5,6
Transit Connect,2019,Wagon XL,26845,gas,I4,26.0,5,6
Transit Connect,2019,Wagon XLT,27100,diesel,I4,,5,5
Transit Connect,2019,Wagon XLT,27100,diesel,I4,,5,5
Transit Connect,2019,Wagon XLT,28480,gas,I4,26.0,5,6
Transit Connect,2019,Wagon XLT,28480,gas,I4,26.0,5,6
Transit Connect,2018,Cargo Van XL,24215,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XL,24215,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XL,23215,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XL,23215,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XLT,24740,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XLT,24740,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XLT,25740,gas,I4,23.0,5,2
Transit Connect,2018,Cargo Van XLT,25740,gas,I4,23.0,5,2
Transit Connect,2018,Wagon Titanium LWB,30530,gas,I4,22.0,5,7
Transit Connect,2018,Wagon Titanium SWB,28530,gas,I4,22.0,5,5
Transit Connect,2018,Wagon XL,25900,gas,I4,22.0,5,7
Transit Connect,2018,Wagon XL,25900,gas,I4,22.0,5,7
Transit Connect,2018,Wagon XLT,25905,gas,I4,22.0,5,5
Transit Connect,2018,Wagon XLT,25905,gas,I4,22.0,5,5
Transit Connect,2018,Wagon XLT,27905,gas,I4,22.0,5,7
Transit Connect,2018,Wagon XLT,27905,gas,I4,22.0,5,7
Transit Connect,2017,Cargo Van XL,24010,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XL,23010,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XL,24010,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XL,23010,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XLT,25535,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XLT,24535,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XLT,24535,gas,I4,23.0,5,2
Transit Connect,2017,Cargo Van XLT,25535,gas,I4,23.0,5,2
Transit Connect,2017,Wagon Titanium LWB,30325,gas,I4,22.0,5,7
Transit Connect,2017,Wagon Titanium SWB,28325,gas,I4,22.0,5,5
Transit Connect,2017,Wagon XL,25695,gas,I4,22.0,5,7
Transit Connect,2017,Wagon XL,25695,gas,I4,22.0,5,7
Transit Connect,2017,Wagon XLT,25700,gas,I4,22.0,5,5
Transit Connect,2017,Wagon XLT,25700,gas,I4,22.0,5,5
Transit Connect,2017,Wagon XLT,27700,gas,I4,22.0,5,7
Transit Connect,2017,Wagon XLT,27700,gas,I4,22.0,5,7
Transit Connect,2016,Cargo Van XL,22675,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XL,23675,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XL,22675,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XL,23675,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XLT,24200,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XLT,24200,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XLT,25200,gas,I4,24.0,5,2
Transit Connect,2016,Cargo Van XLT,25200,gas,I4,24.0,5,2
Transit Connect,2016,Wagon Titanium LWB,29300,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XL,25300,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XL,25300,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XLT,24825,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XLT,24825,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XLT,26825,gas,I4,23.0,5,5
Transit Connect,2016,Wagon XLT,26825,gas,I4,23.0,5,5
Transit Connect,2015,Cargo Van XL,22330,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XL,22330,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XL,23330,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XL,23330,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XLT,24855,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XLT,24855,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XLT,23855,gas,I4,24.0,5,2
Transit Connect,2015,Cargo Van XLT,23855,gas,I4,24.0,5,2
Transit Connect,2015,Wagon Titanium LWB,29185,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XL,25185,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XL,25185,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XLT,24710,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XLT,24710,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XLT,26710,gas,I4,23.0,5,5
Transit Connect,2015,Wagon XLT,26710,gas,I4,23.0,5,5
