Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
EcoSport,2020,S,19995,gas,I3,28.0,5,5
EcoSport,2020,S,21590,gas,I4,25.0,5,5
EcoSport,2020,SE,23450,gas,I3,28.0,5,5
EcoSport,2020,SE,24950,gas,I4,25.0,5,5
EcoSport,2020,SES,27380,gas,I4,25.0,5,5
EcoSport,2020,Titanium,26265,gas,I3,28.0,5,5
EcoSport,2020,Titanium,27715,gas,I4,25.0,5,5
Edge,2020,SE,31100,gas,I4,24.0,5,5
Edge,2020,SE,33095,gas,I4,23.0,5,5
Edge,2020,SEL,34355,gas,I4,24.0,5,5
Edge,2020,SEL,36350,gas,I4,23.0,5,5
Edge,2020,ST,43265,gas,V6,21.0,5,5
Edge,2020,ST-Line,40095,gas,I4,23.0,5,5
Edge,2020,ST-Line,38100,gas,I4,24.0,5,5
Edge,2020,Titanium,40095,gas,I4,23.0,5,5
Edge,2020,Titanium,38100,gas,I4,24.0,5,5
Escape,2020,S,24885,gas,I3,30.0,5,5
Escape,2020,S,26385,gas,I3,28.0,5,5
Escape,2020,SE,27105,gas,I3,30.0,5,5
Escape,2020,SE,28605,gas,I3,28.0,5,5
Escape,2020,SE Sport,29765,hybrid,I4,40.0,5,5
Escape,2020,SE Sport,28265,hybrid,I4,41.0,5,5
Escape,2020,SEL,29265,gas,I3,30.0,5,5
Escape,2020,SEL,30765,gas,I3,28.0,5,5
Escape,2020,SEL,33050,gas,I4,26.0,5,5
Escape,2020,Titanium,36835,gas,I4,26.0,5,5
Escape,2020,Titanium,33550,hybrid,I4,41.0,5,5
Escape,2020,Titanium,35050,hybrid,I4,40.0,5,5
Expedition,2020,King Ranch,72895,gas,V6,20.0,5,8
Expedition,2020,King Ranch,76025,gas,V6,19.0,5,8
Expedition,2020,Limited,66470,gas,V6,19.0,5,8
Expedition,2020,Limited,63345,gas,V6,20.0,5,8
Expedition,2020,MAX King Ranch,75590,gas,V6,19.0,5,8
Expedition,2020,MAX King Ranch,78715,gas,V6,18.0,5,8
Expedition,2020,MAX Limited,69495,gas,V6,18.0,5,8
Expedition,2020,MAX Limited,66375,gas,V6,19.0,5,8
Expedition,2020,MAX Platinum,76965,gas,V6,19.0,5,8
Expedition,2020,MAX Platinum,80110,gas,V6,18.0,5,8
Expedition,2020,MAX XL Fleet,56035,gas,V6,18.0,5,5
Expedition,2020,MAX XL Fleet,53025,gas,V6,19.0,5,5
Expedition,2020,MAX XLT,58845,gas,V6,18.0,5,8
