Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
F-250 Super Duty,2020,King Ranch,58030,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,King Ranch,57835,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,King Ranch,61025,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,King Ranch,61225,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Lariat,52650,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Lariat,52445,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Lariat,49460,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Lariat,49260,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Limited,83930,diesel,V8,,4,5
F-250 Super Duty,2020,Limited,84130,diesel,V8,,4,5
F-250 Super Duty,2020,Platinum,66425,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,Platinum,66225,flex-fuel (FFV),V8,,4,5
F-250 Super Duty,2020,XL,40635,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XL,40425,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XL,37825,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XL,37625,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XLT,43310,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XLT,43510,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XLT,46105,flex-fuel (FFV),V8,,4,6
F-250 Super Duty,2020,XLT,46310,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,King Ranch,59560,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,King Ranch,59350,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,King Ranch,64225,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,King Ranch,62740,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,King Ranch,62550,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,King Ranch,61035,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,52460,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,50980,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,50780,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,53970,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,54170,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Lariat,55660,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Limited,87110,diesel,V8,,4,5
F-350 Super Duty,2020,Limited,85305,diesel,V8,,4,5
F-350 Super Duty,2020,Limited,85105,diesel,V8,,4,5
F-350 Super Duty,2020,Platinum,66235,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Platinum,67745,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Platinum,67945,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,Platinum,69975,flex-fuel (FFV),V8,,4,5
F-350 Super Duty,2020,XL,39350,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XL,39150,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XL,40835,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XL,41955,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XL,42150,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XL,43635,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XLT,47835,flex-fuel (FFV),V8,,4,6
F-350 Super Duty,2020,XLT,47635,flex-fuel (FFV),V8,,4,6
