Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
F-150,2020,XL,28745,gas,V6,22.0,2,3
F-150,2020,XL,29045,gas,V6,22.0,2,3
F-150,2020,XL,33690,gas,V6,20.0,2,3
F-150,2020,XL,33390,gas,V6,20.0,2,3
F-150,2020,XLT,38485,gas,V6,20.0,2,3
F-150,2020,XLT,38185,gas,V6,20.0,2,3
F-150,2020,XLT,34760,gas,V6,22.0,2,3
F-150,2020,XLT,35060,gas,V6,22.0,2,3
F-250 Super Duty,2020,XL,34035,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2020,XL,36825,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2020,XLT,38815,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2020,XLT,41615,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XL,35550,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XL,37040,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XL,38350,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XL,39835,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XLT,41615,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XLT,43140,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XLT,44415,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2020,XLT,40340,flex-fuel (FFV),V8,,2,3
F-450 Super Duty,2020,XL,50210,diesel,V8,,2,3
F-450 Super Duty,2020,XL,53525,diesel,V8,,2,3
F-450 Super Duty,2020,XLT,55985,diesel,V8,,2,3
F-450 Super Duty,2020,XLT,59305,diesel,V8,,2,3
F-150,2019,XL,32800,gas,V6,20.0,2,3
F-150,2019,XL,33100,gas,V6,20.0,2,3
F-150,2019,XL,28455,gas,V6,22.0,2,3
F-150,2019,XL,28155,gas,V6,22.0,2,3
F-150,2019,XLT,34160,gas,V6,22.0,2,3
F-150,2019,XLT,34460,gas,V6,22.0,2,3
F-150,2019,XLT,37585,gas,V6,20.0,2,3
F-150,2019,XLT,37885,gas,V6,20.0,2,3
F-250 Super Duty,2019,XL,33150,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2019,XL,35945,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2019,XLT,40165,flex-fuel (FFV),V8,,2,3
F-250 Super Duty,2019,XLT,37365,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XL,34320,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XL,37120,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XL,38605,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XL,35810,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XLT,38545,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XLT,39820,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XLT,42620,flex-fuel (FFV),V8,,2,3
F-350 Super Duty,2019,XLT,41345,flex-fuel (FFV),V8,,2,3
F-450 Super Duty,2019,XL,50690,diesel,V8,,2,3
F-450 Super Duty,2019,XL,47375,diesel,V8,,2,3
F-450 Super Duty,2019,XLT,52255,diesel,V8,,2,3
F-450 Super Duty,2019,XLT,55570,diesel,V8,,2,3
F-150,2018,XL,32650,gas,V6,20.0,2,3
F-150,2018,XL,32350,gas,V6,20.0,2,3
F-150,2018,XL,28005,gas,V6,22.0,2,3
F-150,2018,XL,27705,gas,V6,22.0,2,3
F-150,2018,XLT,33300,gas,V6,22.0,2,3
F-150,2018,XLT,37025,gas,V6,20.0,2,3
F-150,2018,XLT,36725,gas,V6,20.0,2,3
