Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Transit Cargo Van,2020,150 Low Roof,39205,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Low Roof,34510,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Low Roof,35785,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Low Roof,40480,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Medium Roof,36935,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Medium Roof,40355,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Medium Roof,41630,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,150 Medium Roof,35660,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 High Roof,44730,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 High Roof,40035,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Low Roof,35460,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Low Roof,41430,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Low Roof,40155,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Low Roof,36735,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Medium Roof,36610,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Medium Roof,37885,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Medium Roof,41305,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,250 Medium Roof,42580,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 High Roof,45980,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 High Roof,41285,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Low Roof,36710,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Low Roof,42680,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Low Roof,41405,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Low Roof,37985,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Medium Roof,37860,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Medium Roof,43830,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Medium Roof,42555,flex-fuel (FFV),V6,,4,2
Transit Cargo Van,2020,350 Medium Roof,39135,flex-fuel (FFV),V6,,4,2
Transit Crew Van,2020,150 Low Roof,36720,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Low Roof,37995,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Low Roof,41415,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Low Roof,42690,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Medium Roof,43840,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Medium Roof,42565,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Medium Roof,39145,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,150 Medium Roof,37870,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 High Roof,46940,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 High Roof,42245,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Low Roof,43640,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Low Roof,42365,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Low Roof,38945,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Low Roof,37670,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Medium Roof,38820,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Medium Roof,40095,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Medium Roof,43515,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,250 Medium Roof,44790,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 High Roof,43495,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 High Roof,48190,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Low Roof,38920,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Low Roof,40195,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Low Roof,43615,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Low Roof,44890,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Medium Roof,40070,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Medium Roof,41345,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Medium Roof,44765,flex-fuel (FFV),V6,,4,5
Transit Crew Van,2020,350 Medium Roof,46040,flex-fuel (FFV),V6,,4,5
Transit Passenger Van,2020,150 XL Low Roof,40180,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XL Low Roof,44875,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XL Medium Roof,41630,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XL Medium Roof,46325,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XLT Low Roof,42060,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XLT Low Roof,46755,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XLT Medium Roof,43510,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,150 XLT Medium Roof,48205,flex-fuel (FFV),V6,,4,10
Transit Passenger Van,2020,350 XL High Roof,47985,diesel,I4,,4,12
Transit Passenger Van,2020,350 XL High Roof,43935,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XL High Roof,48630,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XL Low Roof,41035,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XL Low Roof,45730,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XL Medium Roof,46535,diesel,I4,,4,12
Transit Passenger Van,2020,350 XL Medium Roof,42485,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XL Medium Roof,47180,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XLT High Roof,45820,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XLT High Roof,50515,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XLT High Roof,49870,diesel,I4,,4,12
Transit Passenger Van,2020,350 XLT Low Roof,47615,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XLT Low Roof,42920,flex-fuel (FFV),V6,,4,12
Transit Passenger Van,2020,350 XLT Medium Roof,48420,diesel,I4,,4,12
