Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Acadia,2020,AT4,41300,gas,V6,21.0,5,5
Acadia,2020,Denali,48300,gas,V6,21.0,5,6
Acadia,2020,Denali,46300,gas,V6,22.0,5,6
Acadia,2020,SL,29800,gas,I4,23.0,5,7
Acadia,2020,SLE,36200,gas,I4,23.0,5,7
Acadia,2020,SLE,33800,gas,I4,23.0,5,7
Acadia,2020,SLT,40800,gas,I4,23.0,5,6
Acadia,2020,SLT,38800,gas,I4,24.0,5,6
Terrain,2020,Denali,39900,gas,I4,23.0,5,5
Terrain,2020,Denali,38300,gas,I4,24.0,5,5
Terrain,2020,SL,25000,gas,I4,27.0,5,5
Terrain,2020,SLE,30000,gas,I4,26.0,5,5
Terrain,2020,SLE,28400,gas,I4,27.0,5,5
Terrain,2020,SLT,32800,gas,I4,26.0,5,5
Terrain,2020,SLT,31200,gas,I4,28.0,5,5
Yukon,2020,Denali,66700,gas,V8,17.0,5,7
Yukon,2020,Denali,69700,gas,V8,17.0,5,7
Yukon,2020,SLE,49600,gas,V8,18.0,5,8
Yukon,2020,SLE,52600,gas,V8,17.0,5,8
Yukon,2020,SLT,57600,gas,V8,18.0,5,8
Yukon,2020,SLT,60600,gas,V8,17.0,5,8
Yukon,2020,SLT Standard Edition,57800,gas,V8,17.0,5,8
Yukon,2020,SLT Standard Edition,54800,gas,V8,18.0,5,8
Yukon XL,2020,Denali,72500,gas,V8,16.0,5,7
Yukon XL,2020,Denali,69500,gas,V8,17.0,5,7
Yukon XL,2020,SLE,55400,gas,V8,16.0,5,8
Yukon XL,2020,SLE,52400,gas,V8,18.0,5,8
Yukon XL,2020,SLT,63400,gas,V8,16.0,5,8
Yukon XL,2020,SLT,60400,gas,V8,18.0,5,8
Yukon XL,2020,SLT Standard Edition,57600,gas,V8,18.0,5,8
Yukon XL,2020,SLT Standard Edition,60600,gas,V8,16.0,5,8
Acadia,2019,Denali,47500,gas,V6,20.0,5,6
Acadia,2019,Denali,45500,gas,V6,21.0,5,6
Acadia,2019,SL,29000,gas,I4,23.0,5,7
Acadia,2019,SLE-1,32800,gas,I4,23.0,5,7
Acadia,2019,SLE-1,34800,gas,I4,22.0,5,7
Acadia,2019,SLE-2,35200,gas,I4,23.0,5,6
Acadia,2019,SLE-2,37200,gas,I4,22.0,5,6
Acadia,2019,SLT-1,41100,gas,V6,20.0,5,6
Acadia,2019,SLT-1,38000,gas,I4,23.0,5,6
Acadia,2019,SLT-2,43900,gas,V6,20.0,5,6
Acadia,2019,SLT-2,41900,gas,V6,21.0,5,6
Terrain,2019,Denali,37800,gas,I4,24.0,5,5
Terrain,2019,Denali,39500,gas,I4,23.0,5,5
Terrain,2019,SL,25000,gas,I4,28.0,5,5
Terrain,2019,SLE,28100,gas,I4,28.0,5,5
Terrain,2019,SLE,29800,gas,I4,26.0,5,5
Terrain,2019,SLE,33600,diesel,I4,32.0,5,5
Terrain,2019,SLE,31800,diesel,I4,32.0,5,5
Terrain,2019,SLT,30900,gas,I4,28.0,5,5
Terrain,2019,SLT,32600,gas,I4,26.0,5,5
Terrain,2019,SLT,33700,diesel,I4,32.0,5,5
Terrain,2019,SLT,35500,diesel,I4,32.0,5,5
Yukon,2019,Denali,69700,gas,V8,17.0,5,7
Yukon,2019,Denali,66700,gas,V8,17.0,5,7
Yukon,2019,SLE,49600,gas,V8,18.0,5,8
Yukon,2019,SLE,52600,gas,V8,17.0,5,8
Yukon,2019,SLT,57600,gas,V8,18.0,5,8
Yukon,2019,SLT,60600,gas,V8,17.0,5,8
Yukon,2019,SLT Standard Edition,57800,gas,V8,17.0,5,8
Yukon,2019,SLT Standard Edition,54800,gas,V8,18.0,5,8
Yukon XL,2019,Denali,72500,gas,V8,16.0,5,7
