Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Canyon,2020,All Terrain,37900,gas,V6,19.0,4,5
Canyon,2020,All Terrain,39900,gas,V6,19.0,4,5
Canyon,2020,All Terrain,39300,gas,V6,19.0,4,5
Canyon,2020,All Terrain,38500,gas,V6,19.0,4,5
Canyon,2020,Base,27600,gas,I4,22.0,4,5
Canyon,2020,Denali,40500,gas,V6,20.0,4,5
Canyon,2020,Denali,44000,gas,V6,19.0,4,5
Canyon,2020,Denali,44300,gas,V6,19.0,4,5
Canyon,2020,SLE,36700,gas,V6,19.0,4,5
Canyon,2020,SLE,36100,gas,V6,19.0,4,5
Canyon,2020,SLE,31000,gas,I4,22.0,4,5
Canyon,2020,SLT,40000,gas,V6,19.0,4,5
Canyon,2020,SLT,39400,gas,V6,19.0,4,5
Canyon,2020,SLT,35900,gas,V6,20.0,4,5
Sierra 1500,2020,AT4,53700,gas,V8,18.0,4,5
Sierra 1500,2020,AT4,53400,gas,V8,18.0,4,5
Sierra 1500,2020,Base,39500,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Base,39200,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Base,36200,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Base,35900,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Denali,54700,gas,V8,19.0,4,5
Sierra 1500,2020,Denali,55000,gas,V8,19.0,4,5
Sierra 1500,2020,Denali,58200,gas,V8,19.0,4,5
Sierra 1500,2020,Denali,58500,gas,V8,19.0,4,5
Sierra 1500,2020,Elevation,46000,gas,I4,20.0,4,6
Sierra 1500,2020,Elevation,42700,gas,I4,20.0,4,6
Sierra 1500,2020,Elevation,43000,gas,I4,20.0,4,6
Sierra 1500,2020,Elevation,46300,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,40500,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,40200,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,43800,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,43500,gas,I4,20.0,4,6
Sierra 1500,2020,SLT,50200,gas,V8,19.0,4,6
Sierra 1500,2020,SLT,50500,gas,V8,19.0,4,6
Sierra 1500,2020,SLT,46700,gas,V8,19.0,4,6
Sierra 1500,2020,SLT,47000,gas,V8,19.0,4,6
Sierra 2500HD,2020,AT4,57900,gas,V8,,4,5
Sierra 2500HD,2020,AT4,57700,gas,V8,,4,5
Sierra 2500HD,2020,Base,40000,gas,V8,,4,6
Sierra 2500HD,2020,Base,40200,gas,V8,,4,6
Sierra 2500HD,2020,Base,42800,gas,V8,,4,6
Sierra 2500HD,2020,Base,43000,gas,V8,,4,6
Sierra 2500HD,2020,Denali,63700,gas,V8,,4,5
Sierra 2500HD,2020,Denali,63900,gas,V8,,4,5
Sierra 2500HD,2020,SLE,43800,gas,V8,,4,6
Sierra 2500HD,2020,SLE,44000,gas,V8,,4,6
Sierra 2500HD,2020,SLE,46600,gas,V8,,4,6
Sierra 2500HD,2020,SLE,46800,gas,V8,,4,6
Sierra 2500HD,2020,SLT,55400,gas,V8,,4,6
Sierra 2500HD,2020,SLT,55200,gas,V8,,4,6
Sierra 2500HD,2020,SLT,52600,gas,V8,,4,6
Sierra 2500HD,2020,SLT,52400,gas,V8,,4,6
Sierra 3500HD,2020,AT4,59100,gas,V8,,4,5
Sierra 3500HD,2020,AT4,58900,gas,V8,,4,5
Sierra 3500HD,2020,Base,44200,gas,V8,,4,6
Sierra 3500HD,2020,Base,41200,gas,V8,,4,6
Sierra 3500HD,2020,Base,41400,gas,V8,,4,6
Sierra 3500HD,2020,Base,42600,gas,V8,,4,6
Sierra 3500HD,2020,Base,44000,gas,V8,,4,6
Sierra 3500HD,2020,Base,45400,gas,V8,,4,6
Sierra 3500HD,2020,Denali,66300,gas,V8,,4,5
Sierra 3500HD,2020,Denali,64900,gas,V8,,4,5
Sierra 3500HD,2020,Denali,65100,gas,V8,,4,5
Sierra 3500HD,2020,SLE,48000,gas,V8,,4,6
Sierra 3500HD,2020,SLE,47800,gas,V8,,4,6
Sierra 3500HD,2020,SLE,46400,gas,V8,,4,6
Sierra 3500HD,2020,SLE,45200,gas,V8,,4,6
Sierra 3500HD,2020,SLE,49200,gas,V8,,4,6
Sierra 3500HD,2020,SLE,45000,gas,V8,,4,6
Sierra 3500HD,2020,SLT,53600,gas,V8,,4,6
Sierra 3500HD,2020,SLT,53800,gas,V8,,4,6
Sierra 3500HD,2020,SLT,55000,gas,V8,,4,6
Sierra 3500HD,2020,SLT,56400,gas,V8,,4,6
Sierra 3500HD,2020,SLT,56600,gas,V8,,4,6
Sierra 3500HD,2020,SLT,57800,gas,V8,,4,6
Canyon,2019,All Terrain,38100,gas,V6,19.0,4,5
Canyon,2019,All Terrain,39500,gas,V6,19.0,4,5
