Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Sierra 1500,2020,AT4,51000,gas,V8,18.0,4,5
Sierra 1500,2020,Base,36800,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Base,33500,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2020,Elevation,40300,gas,I4,20.0,4,6
Sierra 1500,2020,Elevation,43600,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,37800,gas,I4,20.0,4,6
Sierra 1500,2020,SLE,41100,gas,I4,20.0,4,6
Sierra 1500,2020,SLT,44300,gas,V8,19.0,4,6
Sierra 1500,2020,SLT,47800,gas,V8,19.0,4,6
Sierra 2500HD,2020,Base,41200,gas,V8,,4,6
Sierra 2500HD,2020,Base,41000,gas,V8,,4,6
Sierra 2500HD,2020,Base,38400,gas,V8,,4,6
Sierra 2500HD,2020,Base,38200,gas,V8,,4,6
Sierra 2500HD,2020,SLE,42000,gas,V8,,4,6
Sierra 2500HD,2020,SLE,45000,gas,V8,,4,6
Sierra 2500HD,2020,SLE,44800,gas,V8,,4,6
Sierra 2500HD,2020,SLE,42200,gas,V8,,4,6
Sierra 2500HD,2020,SLT,53400,gas,V8,,4,6
Sierra 2500HD,2020,SLT,50600,gas,V8,,4,6
Sierra 2500HD,2020,SLT,53600,gas,V8,,4,6
Sierra 2500HD,2020,SLT,50800,gas,V8,,4,6
Sierra 3500HD,2020,Base,43600,gas,V8,,4,6
Sierra 3500HD,2020,Base,42400,gas,V8,,4,6
Sierra 3500HD,2020,Base,40800,gas,V8,,4,6
Sierra 3500HD,2020,Base,39600,gas,V8,,4,6
Sierra 3500HD,2020,SLE,44600,gas,V8,,4,6
Sierra 3500HD,2020,SLE,47400,gas,V8,,4,6
Sierra 3500HD,2020,SLE,46200,gas,V8,,4,6
Sierra 3500HD,2020,SLE,43400,gas,V8,,4,6
Sierra 1500,2019,AT4,50800,gas,V8,17.0,4,5
Sierra 1500,2019,Base,33500,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2019,Base,36800,flex-fuel (FFV),V6,17.0,4,6
Sierra 1500,2019,Elevation,40300,gas,I4,21.0,4,6
Sierra 1500,2019,Elevation,43600,gas,I4,20.0,4,6
Sierra 1500,2019,SLE,37800,gas,I4,21.0,4,6
Sierra 1500,2019,SLE,41100,gas,I4,20.0,4,6
Sierra 1500,2019,SLT,44300,gas,V8,17.0,4,6
Sierra 1500,2019,SLT,47600,gas,V8,19.0,4,6
Sierra 1500 Limited,2019,Base,35100,gas,V8,17.0,4,6
Sierra 1500 Limited,2019,Base,39100,gas,V8,17.0,4,6
Sierra 1500 Limited,2019,SLE,40300,gas,V8,17.0,4,6
Sierra 1500 Limited,2019,SLE,43700,gas,V8,17.0,4,6
Sierra 2500HD,2019,Base,41100,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2019,Base,40900,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2019,Base,38200,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2019,SLE,46900,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2019,SLE,46800,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2019,SLE,43600,flex-fuel (FFV),V8,,4,6
Sierra 1500,2018,Base,32730,flex-fuel (FFV),V6,20.0,4,6
Sierra 1500,2018,Base,36710,flex-fuel (FFV),V6,19.0,4,6
Sierra 1500,2018,SLE,41855,flex-fuel (FFV),V6,19.0,4,6
Sierra 1500,2018,SLE,38010,flex-fuel (FFV),V6,20.0,4,6
Sierra 1500,2018,SLT,45780,gas,V8,18.0,4,6
Sierra 1500,2018,SLT,42530,gas,V8,19.0,4,6
Sierra 2500HD,2018,Base,40070,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,Base,39875,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,Base,37115,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,Base,36920,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLE,46200,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLE,42610,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLE,42805,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLE,46005,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLT,50680,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLT,47335,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLT,47530,flex-fuel (FFV),V8,,4,6
Sierra 2500HD,2018,SLT,50485,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,Base,42500,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,Base,42200,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,Base,39500,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,Base,39200,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,SLE,48300,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,SLE,47400,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,SLE,45000,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,SLE,44100,flex-fuel (FFV),V8,,4,6
Sierra 3500HD,2018,SLT,48900,flex-fuel (FFV),V8,,4,5
