Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Canyon,2020,All Terrain,36600,gas,V6,19.0,4,4
Canyon,2020,Base,31100,gas,V6,21.0,4,4
Canyon,2020,Base,25700,gas,I4,22.0,4,4
Canyon,2020,SL,22200,gas,I4,22.0,4,2
Canyon,2020,SLE,34500,gas,V6,19.0,4,4
Canyon,2020,SLE,29100,gas,I4,22.0,4,4
Canyon,2019,All Terrain,36500,gas,V6,19.0,4,4
Canyon,2019,All Terrain,37900,gas,V6,19.0,4,4
Canyon,2019,Base,25000,gas,I4,22.0,4,4
Canyon,2019,Base,25700,gas,I4,22.0,4,4
Canyon,2019,Base,31100,gas,V6,21.0,4,4
Canyon,2019,SL,22200,gas,I4,22.0,4,2
Canyon,2019,SL,21500,gas,I4,22.0,4,2
Canyon,2019,SLE,29000,gas,I4,22.0,4,4
Canyon,2019,SLE,34400,gas,V6,19.0,4,4
Canyon,2018,All Terrain,34520,gas,V6,19.0,4,4
Canyon,2018,Base,24355,gas,I4,22.0,4,4
Canyon,2018,Base,29300,gas,I4,21.0,4,4
Canyon,2018,SL,20885,gas,I4,22.0,4,2
Canyon,2018,SLE,28260,gas,I4,22.0,4,4
Canyon,2018,SLE,32470,gas,I4,21.0,4,4
Canyon,2017,Base,24105,gas,I4,22.0,4,4
Canyon,2017,Base,29050,gas,I4,21.0,4,4
Canyon,2017,SL,20885,gas,I4,22.0,4,2
Canyon,2017,SLE,32310,gas,I4,21.0,4,4
Canyon,2017,SLE,28100,gas,I4,22.0,4,4
Canyon,2017,SLT,36270,gas,V6,19.0,4,4
Canyon,2017,SLT,32485,gas,V6,20.0,4,4
Canyon,2016,Base,28595,gas,I4,21.0,4,4
Canyon,2016,Base,23310,gas,I4,22.0,4,4
Canyon,2016,SL,20955,gas,I4,22.0,4,2
Canyon,2016,SLE,27305,gas,I4,22.0,4,4
Canyon,2016,SLE,31855,gas,I4,21.0,4,4
Canyon,2016,SLT,35665,gas,V6,20.0,4,4
Canyon,2016,SLT,31540,gas,V6,21.0,4,4
Canyon,2015,Base,22650,gas,I4,22.0,4,4
Canyon,2015,Base,27935,gas,I4,21.0,4,4
Canyon,2015,SL,20995,gas,I4,22.0,4,2
Canyon,2015,SLE,31145,gas,I4,21.0,4,4
Canyon,2015,SLE,26595,gas,I4,22.0,4,4
Canyon,2015,SLT,29730,gas,I4,22.0,4,4
Canyon,2015,SLT,33855,gas,I4,21.0,4,4
