Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
G70,2020,2.0T,35450,gas,I4,25.0,4,5
G70,2020,2.0T,37450,gas,I4,23.0,4,5
G70,2020,2.0T Sport M/T,38500,gas,I4,22.0,4,5
G70,2020,3.3T,46650,gas,V6,20.0,4,5
G70,2020,3.3T,44650,gas,V6,20.0,4,5
G80,2020,3.3T Sport,55750,gas,V6,20.0,4,5
G80,2020,3.3T Sport,58250,gas,V6,20.0,4,5
G80,2020,3.8,42550,gas,V6,21.0,4,5
G80,2020,3.8,45050,gas,V6,20.0,4,5
G80,2020,5.0 Ultimate,60000,gas,V8,18.0,4,5
G80,2020,5.0 Ultimate,57500,gas,V8,19.0,4,5
G90,2020,3.3T Premium,74700,gas,V6,20.0,4,5
G90,2020,3.3T Premium,72200,gas,V6,20.0,4,5
G90,2020,5.0 Ultimate,78200,gas,V8,18.0,4,5
G90,2020,5.0 Ultimate,75700,gas,V8,19.0,4,5
G70,2019,2.0T Advanced,34900,gas,I4,25.0,4,5
G70,2019,2.0T Advanced,36900,gas,I4,23.0,4,5
G70,2019,2.0T Sport M/T,37900,gas,I4,22.0,4,5
G70,2019,3.3T Advanced,43750,gas,V6,20.0,4,5
G70,2019,3.3T Advanced,45750,gas,V6,20.0,4,5
G70,2019,3.3T Design,48750,gas,V6,20.0,4,5
G70,2019,3.3T Design,50750,gas,V6,20.0,4,5
G70,2019,3.3T Dynamic,50250,gas,V6,20.0,4,5
G70,2019,3.3T Dynamic,52250,gas,V6,20.0,4,5
G80,2019,3.3T Sport,57750,gas,V6,20.0,4,5
G80,2019,3.3T Sport,55250,gas,V6,20.0,4,5
G80,2019,3.8,44550,gas,V6,20.0,4,5
G80,2019,3.8,42050,gas,V6,22.0,4,5
G80,2019,5.0 Ultimate,59500,gas,V8,18.0,4,5
G80,2019,5.0 Ultimate,57000,gas,V8,19.0,4,5
G90,2019,Premium,69350,gas,V6,20.0,4,5
G90,2019,Premium,71850,gas,V6,20.0,4,5
G90,2019,Ultimate,76350,gas,V8,18.0,4,5
G90,2019,Ultimate,73850,gas,V8,19.0,4,5
G80,2018,3.3T Sport,57750,gas,V6,20.0,4,5
G80,2018,3.3T Sport,55250,gas,V6,20.0,4,5
G80,2018,3.8,44250,gas,V6,20.0,4,5
G80,2018,3.8,41750,gas,V6,22.0,4,5
G80,2018,5.0 Ultimate,59500,gas,V8,18.0,4,5
G80,2018,5.0 Ultimate,57000,gas,V8,19.0,4,5
G90,2018,Premium,68350,gas,V6,20.0,4,5
G90,2018,Premium,70850,gas,V6,20.0,4,5
G90,2018,Ultimate,71850,gas,V8,19.0,4,5
G90,2018,Ultimate,74350,gas,V8,18.0,4,5
G80,2017,3.8,43900,gas,V6,19.0,4,5
G80,2017,3.8,41400,gas,V6,22.0,4,5
G80,2017,5.0 Ultimate,54550,gas,V8,18.0,4,5
G90,2017,Premium,68100,gas,V6,20.0,4,5
G90,2017,Premium,70600,gas,V6,20.0,4,5
G90,2017,Ultimate,69700,gas,V8,19.0,4,5
G90,2017,Ultimate,72200,gas,V8,18.0,4,5
