Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Civic,2020,EX,24150,gas,I4,34.0,5,5
Civic,2020,EX-L,25350,gas,I4,34.0,5,5
Civic,2020,LX,21650,gas,I4,34.0,5,5
Civic,2020,Sport,22750,gas,I4,32.0,5,5
Civic,2020,Sport,23550,gas,I4,32.0,5,5
Civic,2020,Sport Touring,28050,gas,I4,32.0,5,5
Civic,2020,Sport Touring,28850,gas,I4,32.0,5,5
Civic,2020,Type R,36995,gas,I4,25.0,5,4
Fit,2020,EX,19060,gas,I4,33.0,5,5
Fit,2020,EX-L,20620,gas,I4,33.0,5,5
Fit,2020,LX,16190,gas,I4,31.0,5,5
Fit,2020,LX,16990,gas,I4,36.0,5,5
Fit,2020,Sport,17600,gas,I4,31.0,5,5
Fit,2020,Sport,18400,gas,I4,33.0,5,5
Civic,2019,EX,23750,gas,I4,34.0,5,5
Civic,2019,EX-L,26250,gas,I4,34.0,5,5
Civic,2019,LX,21450,gas,I4,34.0,5,5
Civic,2019,Sport,23050,gas,I4,32.0,5,5
Civic,2019,Sport,22250,gas,I4,33.0,5,5
Civic,2019,Sport Touring,28750,gas,I4,32.0,5,5
Civic,2019,Type R,36300,gas,I4,25.0,5,4
Fit,2019,EX,18960,gas,I4,33.0,5,5
Fit,2019,EX,18160,gas,I4,31.0,5,5
Fit,2019,EX-L,20520,gas,I4,33.0,5,5
Fit,2019,EX-L,21520,gas,I4,33.0,5,5
Fit,2019,LX,16190,gas,I4,31.0,5,5
Fit,2019,LX,16990,gas,I4,36.0,5,5
Fit,2019,LX,17990,gas,I4,36.0,5,5
Fit,2019,Sport,18300,gas,I4,33.0,5,5
Fit,2019,Sport,19300,gas,I4,33.0,5,5
Fit,2019,Sport,17500,gas,I4,31.0,5,5
Civic,2018,EX,24250,gas,I4,34.0,5,5
Civic,2018,EX,23250,gas,I4,34.0,5,5
