Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Odyssey,2020,Elite,47320,gas,V6,22.0,5,8
Odyssey,2020,EX,34690,gas,V6,22.0,5,8
Odyssey,2020,EX-L,40060,gas,V6,22.0,5,8
Odyssey,2020,EX-L,37960,gas,V6,22.0,5,8
Odyssey,2020,LX,30690,gas,V6,22.0,5,7
Odyssey,2020,Touring,44960,gas,V6,22.0,5,8
Odyssey,2019,Elite,47070,gas,V6,22.0,5,8
Odyssey,2019,EX,34160,gas,V6,22.0,5,8
Odyssey,2019,EX-L,39710,gas,V6,22.0,5,8
Odyssey,2019,EX-L,37710,gas,V6,22.0,5,8
Odyssey,2019,LX,30190,gas,V6,22.0,5,7
Odyssey,2019,Touring,44760,gas,V6,22.0,5,8
Odyssey,2018,Elite,46670,gas,V6,22.0,5,8
Odyssey,2018,EX,33860,gas,V6,22.0,5,8
Odyssey,2018,EX-L,39360,gas,V6,22.0,5,8
Odyssey,2018,EX-L,37360,gas,V6,22.0,5,8
Odyssey,2018,LX,29990,gas,V6,22.0,5,7
Odyssey,2018,Touring,44510,gas,V6,22.0,5,8
Odyssey,2017,EX,33000,gas,V6,22.0,5,8
Odyssey,2017,EX-L,38500,gas,V6,22.0,5,8
Odyssey,2017,EX-L,38100,gas,V6,22.0,5,8
Odyssey,2017,EX-L,36500,gas,V6,22.0,5,8
Odyssey,2017,LX,29850,gas,V6,22.0,5,7
Odyssey,2017,SE,33950,gas,V6,22.0,5,8
Odyssey,2017,Touring,42755,gas,V6,22.0,5,8
Odyssey,2017,Touring Elite,45325,gas,V6,22.0,5,8
Odyssey,2016,EX,32550,gas,V6,22.0,5,8
Odyssey,2016,EX-L,38050,gas,V6,22.0,5,8
Odyssey,2016,EX-L,37650,gas,V6,22.0,5,8
Odyssey,2016,EX-L,36050,gas,V6,22.0,5,8
Odyssey,2016,LX,29400,gas,V6,22.0,5,7
Odyssey,2016,SE,33500,gas,V6,22.0,5,8
Odyssey,2016,Touring,42305,gas,V6,22.0,5,8
Odyssey,2016,Touring Elite,44875,gas,V6,22.0,5,8
Odyssey,2015,EX,32275,gas,V6,22.0,5,8
Odyssey,2015,EX-L,35775,gas,V6,22.0,5,8
Odyssey,2015,EX-L,37775,gas,V6,22.0,5,8
Odyssey,2015,EX-L,37375,gas,V6,22.0,5,8
Odyssey,2015,LX,28975,gas,V6,22.0,5,7
Odyssey,2015,Touring,42030,gas,V6,22.0,5,8
Odyssey,2015,Touring Elite,44600,gas,V6,22.0,5,8
