Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
CR-V,2020,EX,27560,gas,I4,30.0,5,5
CR-V,2020,EX,29060,gas,I4,29.0,5,5
CR-V,2020,EX-L,31550,gas,I4,29.0,5,5
CR-V,2020,EX-L,30050,gas,I4,30.0,5,5
CR-V,2020,LX,26550,gas,I4,29.0,5,5
CR-V,2020,LX,25050,gas,I4,30.0,5,5
CR-V,2020,Touring,34750,gas,I4,29.0,5,5
CR-V,2020,Touring,33250,gas,I4,30.0,5,5
CR-V Hybrid,2020,EX,30360,hybrid,I4,38.0,5,5
CR-V Hybrid,2020,EX-L,32850,hybrid,I4,38.0,5,5
CR-V Hybrid,2020,LX,27850,hybrid,I4,38.0,5,5
CR-V Hybrid,2020,Touring,36050,hybrid,I4,38.0,5,5
HR-V,2020,EX,23970,gas,I4,30.0,5,5
HR-V,2020,EX,25470,gas,I4,28.0,5,5
HR-V,2020,EX-L,27070,gas,I4,28.0,5,5
HR-V,2020,EX-L,25570,gas,I4,30.0,5,5
HR-V,2020,LX,22320,gas,I4,29.0,5,5
HR-V,2020,LX,20820,gas,I4,30.0,5,5
HR-V,2020,Sport,24020,gas,I4,28.0,5,5
HR-V,2020,Sport,22520,gas,I4,30.0,5,5
HR-V,2020,Touring,28890,gas,I4,28.0,5,5
Passport,2020,Elite,43780,gas,V6,21.0,5,5
Passport,2020,EX-L,36410,gas,V6,22.0,5,5
Passport,2020,EX-L,38410,gas,V6,21.0,5,5
Passport,2020,Sport,31990,gas,V6,22.0,5,5
Passport,2020,Sport,33990,gas,V6,21.0,5,5
Passport,2020,Touring,39280,gas,V6,22.0,5,5
Passport,2020,Touring,41280,gas,V6,21.0,5,5
Pilot,2020,Black Edition,49620,gas,V6,22.0,5,7
Pilot,2020,Elite,48120,gas,V6,22.0,5,7
Pilot,2020,EX,34430,gas,V6,22.0,5,8
Pilot,2020,EX,36430,gas,V6,21.0,5,8
Pilot,2020,EX-L,37860,gas,V6,22.0,5,8
Pilot,2020,EX-L,39860,gas,V6,21.0,5,8
Pilot,2020,EX-L,39860,gas,V6,22.0,5,8
Pilot,2020,EX-L,41860,gas,V6,21.0,5,8
Pilot,2020,LX,31550,gas,V6,22.0,5,8
Pilot,2020,LX,33550,gas,V6,21.0,5,8
Pilot,2020,Touring,44920,gas,V6,22.0,5,7
Pilot,2020,Touring,44620,gas,V6,22.0,5,8
Pilot,2020,Touring,42920,gas,V6,23.0,5,7
Pilot,2020,Touring,42620,gas,V6,23.0,5,8
CR-V,2019,EX,27350,gas,I4,30.0,5,5
CR-V,2019,EX,28750,gas,I4,29.0,5,5
CR-V,2019,EX-L,31250,gas,I4,29.0,5,5
CR-V,2019,EX-L,29850,gas,I4,30.0,5,5
CR-V,2019,LX,24450,gas,I4,28.0,5,5
CR-V,2019,LX,25850,gas,I4,27.0,5,5
CR-V,2019,Touring,32850,gas,I4,30.0,5,5
CR-V,2019,Touring,34250,gas,I4,29.0,5,5
HR-V,2019,EX,25220,gas,I4,28.0,5,5
HR-V,2019,EX,23820,gas,I4,30.0,5,5
HR-V,2019,EX-L,26820,gas,I4,28.0,5,5
HR-V,2019,EX-L,25420,gas,I4,30.0,5,5
HR-V,2019,LX,20620,gas,I4,30.0,5,5
HR-V,2019,LX,22020,gas,I4,29.0,5,5
HR-V,2019,Sport,22320,gas,I4,30.0,5,5
HR-V,2019,Sport,23720,gas,I4,28.0,5,5
HR-V,2019,Touring,28640,gas,I4,28.0,5,5
Passport,2019,Elite,43680,gas,V6,21.0,5,5
Passport,2019,EX-L,36410,gas,V6,22.0,5,5
Passport,2019,EX-L,38310,gas,V6,21.0,5,5
Passport,2019,Sport,31990,gas,V6,22.0,5,5
Passport,2019,Sport,33890,gas,V6,21.0,5,5
Passport,2019,Touring,41180,gas,V6,21.0,5,5
Passport,2019,Touring,39280,gas,V6,22.0,5,5
Pilot,2019,Elite,48020,gas,V6,22.0,5,7
Pilot,2019,EX,36230,gas,V6,21.0,5,8
Pilot,2019,EX,34330,gas,V6,22.0,5,8
Pilot,2019,EX-L,39760,gas,V6,22.0,5,8
Pilot,2019,EX-L,41660,gas,V6,21.0,5,8
Pilot,2019,EX-L,37760,gas,V6,22.0,5,8
Pilot,2019,EX-L,39660,gas,V6,21.0,5,8
Pilot,2019,LX,33350,gas,V6,21.0,5,8
Pilot,2019,LX,31450,gas,V6,22.0,5,8
Pilot,2019,Touring,42520,gas,V6,23.0,5,8
Pilot,2019,Touring,44420,gas,V6,22.0,5,8
Pilot,2019,Touring,42820,gas,V6,23.0,5,7
Pilot,2019,Touring,44720,gas,V6,22.0,5,7
CR-V,2018,EX,27050,gas,I4,30.0,5,5
CR-V,2018,EX,28450,gas,I4,29.0,5,5
CR-V,2018,EX-L,29550,gas,I4,30.0,5,5
CR-V,2018,EX-L,30950,gas,I4,29.0,5,5
CR-V,2018,EX-L,30550,gas,I4,30.0,5,5
CR-V,2018,EX-L,31950,gas,I4,29.0,5,5
CR-V,2018,LX,24250,gas,I4,28.0,5,5
CR-V,2018,LX,25650,gas,I4,27.0,5,5
CR-V,2018,Touring,32750,gas,I4,30.0,5,5
CR-V,2018,Touring,34150,gas,I4,29.0,5,5
HR-V,2018,EX,21720,gas,I4,28.0,5,5
HR-V,2018,EX,22520,gas,I4,31.0,5,5
HR-V,2018,EX,23920,gas,I4,29.0,5,5
HR-V,2018,EX-L,26540,gas,I4,29.0,5,5
HR-V,2018,EX-L,25140,gas,I4,31.0,5,5
HR-V,2018,LX,21870,gas,I4,29.0,5,5
HR-V,2018,LX,20470,gas,I4,31.0,5,5
