Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Accord,2020,EX,27770,gas,I4,33.0,4,5
Accord,2020,EX-L,32270,gas,I4,27.0,4,5
Accord,2020,EX-L,30270,gas,I4,33.0,4,5
Accord,2020,LX,23870,gas,I4,33.0,4,5
Accord,2020,Sport,26530,gas,I4,30.0,4,5
Accord,2020,Sport,26530,gas,I4,31.0,4,5
Accord,2020,Sport,31060,gas,I4,26.0,4,5
Accord,2020,Sport,31060,gas,I4,26.0,4,5
Accord,2020,Touring,36100,gas,I4,26.0,4,5
Accord Hybrid,2020,Base,25470,hybrid,I4,48.0,4,5
Accord Hybrid,2020,EX,29370,hybrid,I4,48.0,4,5
Accord Hybrid,2020,EX-L,31870,hybrid,I4,48.0,4,5
Accord Hybrid,2020,Touring,35140,hybrid,I4,48.0,4,5
Civic,2020,EX,23700,gas,I4,36.0,4,5
Civic,2020,EX-L,24900,gas,I4,36.0,4,5
Civic,2020,LX,19750,gas,I4,29.0,4,5
Civic,2020,LX,20550,gas,I4,33.0,4,5
Civic,2020,Si,25000,gas,I4,30.0,4,5
Civic,2020,Si,25200,gas,I4,30.0,4,5
Civic,2020,Sport,22250,gas,I4,32.0,4,5
Civic,2020,Sport,21450,gas,I4,29.0,4,5
Civic,2020,Touring,27600,gas,I4,33.0,4,5
Clarity,2020,Fuel Cell,58490,electric (fuel cell),,,4,5
Clarity,2020,Plug-In Hybrid,33400,plug-in hybrid,I4,42.0,4,5
Clarity,2020,Touring Plug-In Hybrid,36600,plug-in hybrid,I4,42.0,4,5
Insight,2020,EX,24310,hybrid,I4,52.0,4,5
Insight,2020,LX,22930,hybrid,I4,52.0,4,5
Insight,2020,Touring,28340,hybrid,I4,48.0,4,5
Accord,2019,EX,27620,gas,I4,33.0,4,5
Accord,2019,EX-L,32120,gas,I4,27.0,4,5
Accord,2019,EX-L,30120,gas,I4,33.0,4,5
Accord,2019,LX,23720,gas,I4,33.0,4,5
Accord,2019,Sport,26180,gas,I4,30.0,4,5
Accord,2019,Sport,26180,gas,I4,31.0,4,5
Accord,2019,Sport,30710,gas,I4,26.0,4,5
Accord,2019,Sport,30710,gas,I4,26.0,4,5
Accord,2019,Touring,35950,gas,I4,26.0,4,5
Accord Hybrid,2019,Base,25320,hybrid,I4,48.0,4,5
Accord Hybrid,2019,EX,29220,hybrid,I4,48.0,4,5
Accord Hybrid,2019,EX-L,31720,hybrid,I4,48.0,4,5
Accord Hybrid,2019,Touring,34990,hybrid,I4,48.0,4,5
Civic,2019,EX,23500,gas,I4,36.0,4,5
Civic,2019,EX-L,24700,gas,I4,36.0,4,5
Civic,2019,LX,19550,gas,I4,29.0,4,5
