Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Ridgeline,2020,Black Edition,43520,gas,V6,21.0,4,5
Ridgeline,2020,RTL,36670,gas,V6,22.0,4,5
Ridgeline,2020,RTL,38820,gas,V6,21.0,4,5
Ridgeline,2020,RTL-E,42020,gas,V6,21.0,4,5
Ridgeline,2020,Sport,33900,gas,V6,22.0,4,5
Ridgeline,2020,Sport,36140,gas,V6,21.0,4,5
Ridgeline,2019,Black Edition,43420,gas,V6,21.0,4,5
Ridgeline,2019,RT,29990,gas,V6,22.0,4,5
Ridgeline,2019,RTL,34870,gas,V6,22.0,4,5
Ridgeline,2019,RTL,36770,gas,V6,21.0,4,5
Ridgeline,2019,RTL-E,41920,gas,V6,21.0,4,5
Ridgeline,2019,RTL-T,38900,gas,V6,21.0,4,5
Ridgeline,2019,RTL-T,37000,gas,V6,22.0,4,5
Ridgeline,2019,Sport,33390,gas,V6,22.0,4,5
Ridgeline,2019,Sport,35290,gas,V6,21.0,4,5
Ridgeline,2018,Black Edition,43220,gas,V6,21.0,4,5
Ridgeline,2018,RT,29730,gas,V6,22.0,4,5
Ridgeline,2018,RTL,34030,gas,V6,22.0,4,5
Ridgeline,2018,RTL,35930,gas,V6,21.0,4,5
Ridgeline,2018,RTL-E,41720,gas,V6,21.0,4,5
Ridgeline,2018,RTL-T,36180,gas,V6,22.0,4,5
Ridgeline,2018,RTL-T,38080,gas,V6,21.0,4,5
Ridgeline,2018,Sport,35170,gas,V6,21.0,4,5
Ridgeline,2018,Sport,33270,gas,V6,22.0,4,5
Ridgeline,2017,Black Edition,42870,gas,V6,21.0,4,5
Ridgeline,2017,RT,31275,gas,V6,21.0,4,5
Ridgeline,2017,RT,29475,gas,V6,22.0,4,5
Ridgeline,2017,RTL,35580,gas,V6,21.0,4,5
Ridgeline,2017,RTL,33780,gas,V6,22.0,4,5
Ridgeline,2017,RTL-E,41370,gas,V6,21.0,4,5
Ridgeline,2017,RTL-T,35930,gas,V6,22.0,4,5
Ridgeline,2017,RTL-T,37730,gas,V6,21.0,4,5
Ridgeline,2017,RTS,33315,gas,V6,21.0,4,5
Ridgeline,2017,RTS,31515,gas,V6,22.0,4,5
Ridgeline,2017,Sport,34815,gas,V6,21.0,4,5
Ridgeline,2017,Sport,33015,gas,V6,22.0,4,5
