Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Genesis Coupe,2016,3.8,28150,gas,V6,19.0,2,4
Genesis Coupe,2016,3.8,26950,gas,V6,19.0,2,4
Genesis Coupe,2016,3.8 R-Spec,29900,gas,V6,19.0,2,4
Genesis Coupe,2016,3.8 Ultimate,33750,gas,V6,19.0,2,4
Genesis Coupe,2016,3.8 Ultimate,34950,gas,V6,19.0,2,4
Genesis Coupe,2015,3.8,26750,gas,V6,19.0,2,4
Genesis Coupe,2015,3.8,27950,gas,V6,19.0,2,4
Genesis Coupe,2015,3.8 R-Spec,29500,gas,V6,19.0,2,4
Genesis Coupe,2015,3.8 Ultimate,34600,gas,V6,19.0,2,4
Genesis Coupe,2015,3.8 Ultimate,33400,gas,V6,19.0,2,4
