Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Accent,2020,Limited,19400,gas,I4,36.0,4,5
Accent,2020,SE,15295,gas,I4,33.0,4,5
Accent,2020,SE,16395,gas,I4,36.0,4,5
Accent,2020,SEL,17650,gas,I4,36.0,4,5
Elantra,2020,Eco,21600,gas,I4,36.0,4,5
Elantra,2020,Limited,23150,gas,I4,34.0,4,5
Elantra,2020,SE,19300,gas,I4,35.0,4,5
Elantra,2020,SEL,20050,gas,I4,34.0,4,5
Elantra,2020,Sport,24150,gas,I4,29.0,4,5
Elantra,2020,Value Edition,20950,gas,I4,34.0,4,5
Sonata,2020,Limited,33500,gas,I4,31.0,4,5
Sonata,2020,SE,23600,gas,I4,32.0,4,5
Sonata,2020,SEL,25700,gas,I4,31.0,4,5
Sonata,2020,SEL Plus,27650,gas,I4,31.0,4,5
Sonata Hybrid,2020,Blue,27750,hybrid,I4,52.0,4,5
Sonata Hybrid,2020,Limited,35300,hybrid,I4,47.0,4,5
Sonata Hybrid,2020,SEL,29900,hybrid,I4,47.0,4,5
Accent,2019,Limited,19080,gas,I4,32.0,4,5
Accent,2019,SE,15995,gas,I4,32.0,4,5
Accent,2019,SE,14995,gas,I4,31.0,4,5
Accent,2019,SEL,17345,gas,I4,32.0,4,5
Elantra,2019,Eco,21050,gas,I4,32.0,4,5
Elantra,2019,Limited,22700,gas,I4,32.0,4,5
Elantra,2019,Limited SULEV,22700,gas,I4,32.0,4,5
Elantra,2019,SE,18200,gas,I4,33.0,4,5
Elantra,2019,SE,17200,gas,I4,29.0,4,5
Elantra,2019,SE SULEV,18200,gas,I4,33.0,4,5
Elantra,2019,SEL,19500,gas,I4,32.0,4,5
Elantra,2019,SEL SULEV,19500,gas,I4,32.0,4,5
Elantra,2019,Sport,22600,gas,I4,25.0,4,5
Elantra,2019,Sport,23700,gas,I4,29.0,4,5
Elantra,2019,Value Edition,20500,gas,I4,32.0,4,5
Elantra,2019,Value Edition SULEV,20500,gas,I4,32.0,4,5
Sonata,2019,Eco,22850,gas,I4,31.0,4,5
Sonata,2019,Limited,27700,gas,I4,28.0,4,5
Sonata,2019,Limited 2.0T,32100,gas,I4,26.0,4,5
Sonata,2019,SE,22500,gas,I4,29.0,4,5
Sonata,2019,SEL,24150,gas,I4,28.0,4,5
Sonata,2019,Sport,25000,gas,I4,28.0,4,5
Sonata Hybrid,2019,Limited,31300,hybrid,I4,41.0,4,5
Sonata Hybrid,2019,SE,25750,hybrid,I4,42.0,4,5
Sonata Plug-in Hybrid,2019,Base,33400,plug-in hybrid,I4,39.0,4,5
Sonata Plug-in Hybrid,2019,Limited,39000,plug-in hybrid,I4,39.0,4,5
Accent,2018,Limited,18895,gas,I4,32.0,4,5
Accent,2018,SE,15995,gas,I4,32.0,4,5
Accent,2018,SE,14995,gas,I4,31.0,4,5
Accent,2018,SEL,17295,gas,I4,32.0,4,5
Elantra,2018,Eco,20550,gas,I4,35.0,4,5
Elantra,2018,Limited,22100,gas,I4,32.0,4,5
Elantra,2018,Limited SULEV,22100,gas,I4,32.0,4,5
Elantra,2018,SE,16950,gas,I4,29.0,4,5
Elantra,2018,SE,17950,gas,I4,33.0,4,5
Elantra,2018,SE SULEV,17950,gas,I4,33.0,4,5
Elantra,2018,SEL,18850,gas,I4,32.0,4,5
Elantra,2018,SEL SULEV,18850,gas,I4,32.0,4,5
Elantra,2018,Sport,21800,gas,I4,25.0,4,5
Elantra,2018,Sport,22900,gas,I4,29.0,4,5
Elantra,2018,Value Edition,19850,gas,I4,32.0,4,5
Elantra,2018,Value Edition SULEV,19850,gas,I4,32.0,4,5
Sonata,2018,Eco,22650,gas,I4,31.0,4,5
Sonata,2018,Limited,27400,gas,I4,28.0,4,5
Sonata,2018,Limited,27400,gas,I4,28.0,4,5
Sonata,2018,Limited 2.0T,32450,gas,I4,26.0,4,5
Sonata,2018,Limited 2.0T+,31900,gas,I4,26.0,4,5
Sonata,2018,Limited SULEV,27400,gas,I4,28.0,4,5
Sonata,2018,Limited SULEV,27400,gas,I4,28.0,4,5
Sonata,2018,SE,22050,gas,I4,29.0,4,5
Sonata,2018,SE SULEV,22050,gas,I4,29.0,4,5
Sonata,2018,SEL,23700,gas,I4,28.0,4,5
Sonata,2018,SEL SULEV,23700,gas,I4,28.0,4,5
Sonata,2018,SEL+,23700,gas,I4,28.0,4,5
