Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Q60,2020,3.0t LUXE,45500,gas,V6,22.0,2,4
Q60,2020,3.0t LUXE,47500,gas,V6,22.0,2,4
Q60,2020,3.0t PURE,41350,gas,V6,22.0,2,4
Q60,2020,3.0t PURE,43350,gas,V6,22.0,2,4
Q60,2020,RED SPORT 400,57150,gas,V6,22.0,2,4
Q60,2020,RED SPORT 400,59150,gas,V6,21.0,2,4
Q60,2019,3.0t LUXE,45000,gas,V6,22.0,2,4
Q60,2019,3.0t LUXE,47000,gas,V6,22.0,2,4
Q60,2019,3.0t PURE,40850,gas,V6,22.0,2,4
Q60,2019,3.0t PURE,42850,gas,V6,22.0,2,4
Q60,2019,RED SPORT 400,55000,gas,V6,22.0,2,4
Q60,2019,RED SPORT 400,57000,gas,V6,21.0,2,4
Q60,2018,2.0t LUXE,44300,gas,I4,24.0,2,4
Q60,2018,2.0t LUXE,42300,gas,I4,25.0,2,4
Q60,2018,2.0t PURE,39950,gas,I4,25.0,2,4
Q60,2018,2.0t PURE,41950,gas,I4,24.0,2,4
Q60,2018,3.0t LUXE,46500,gas,V6,22.0,2,4
Q60,2018,3.0t LUXE,44500,gas,V6,22.0,2,4
Q60,2018,3.0t SPORT,48300,gas,V6,22.0,2,4
Q60,2018,3.0t SPORT,50300,gas,V6,22.0,2,4
Q60,2018,RED SPORT 400,52000,gas,V6,22.0,2,4
Q60,2018,RED SPORT 400,54000,gas,V6,21.0,2,4
Q60,2017,2.0t,40950,gas,I4,24.0,2,4
Q60,2017,2.0t,38950,gas,I4,25.0,2,4
Q60,2017,2.0t Premium,41300,gas,I4,25.0,2,4
Q60,2017,2.0t Premium,43300,gas,I4,24.0,2,4
Q60,2017,3.0t Premium,46300,gas,V6,22.0,2,4
Q60,2017,3.0t Premium,44300,gas,V6,22.0,2,4
Q60,2017,3.0t Sport,50300,gas,V6,22.0,2,4
Q60,2017,3.0t Sport,48300,gas,V6,22.0,2,4
Q60,2017,Red Sport 400,53300,gas,V6,21.0,2,4
Q60,2017,Red Sport 400,51300,gas,V6,22.0,2,4
Q60 Coupe,2015,Base,42600,gas,V6,20.0,2,4
Q60 Coupe,2015,Journey,40950,gas,V6,22.0,2,4
Q60 Coupe,2015,Sport,46050,gas,V6,20.0,2,4
Q60 Coupe,2015,Sport Limited,49650,gas,V6,22.0,2,4
Q60 Coupe,2015,Sport Limited,47700,gas,V6,20.0,2,4
