Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
QX50,2020,AUTOGRAPH,55850,gas,I4,25.0,5,5
QX50,2020,AUTOGRAPH,53850,gas,I4,26.0,5,5
QX50,2020,ESSENTIAL,44100,gas,I4,26.0,5,5
QX50,2020,ESSENTIAL,46100,gas,I4,25.0,5,5
QX50,2020,LUXE,40250,gas,I4,26.0,5,5
QX50,2020,LUXE,42250,gas,I4,25.0,5,5
QX50,2020,PURE,37250,gas,I4,26.0,5,5
QX50,2020,PURE,39250,gas,I4,25.0,5,5
QX50,2020,SENSORY,50900,gas,I4,25.0,5,5
QX50,2020,SENSORY,48900,gas,I4,26.0,5,5
QX60,2020,LUXE,46150,gas,V6,22.0,5,7
QX60,2020,LUXE,48150,gas,V6,22.0,5,7
QX60,2020,PURE,44350,gas,V6,22.0,5,7
QX60,2020,PURE,46350,gas,V6,22.0,5,7
QX60,2020,SIGNATURE EDITION,52250,gas,V6,22.0,5,7
QX60,2020,SIGNATURE EDITION,50250,gas,V6,22.0,5,7
QX80,2020,LIMITED,91450,gas,V8,15.0,5,7
QX80,2020,LUXE,66750,gas,V8,16.0,5,7
QX80,2020,LUXE,69850,gas,V8,15.0,5,7
QX30,2019,ESSENTIAL,39300,gas,I4,27.0,5,5
QX30,2019,ESSENTIAL,41500,gas,I4,25.0,5,5
QX30,2019,LUXE,33100,gas,I4,27.0,5,5
QX30,2019,LUXE,35100,gas,I4,25.0,5,5
QX30,2019,PURE,30250,gas,I4,27.0,5,5
QX30,2019,SPORT,40200,gas,I4,27.0,5,5
QX50,2019,ESSENTIAL,43450,gas,I4,27.0,5,5
QX50,2019,ESSENTIAL,45450,gas,I4,26.0,5,5
QX50,2019,LUXE,41500,gas,I4,26.0,5,5
QX50,2019,LUXE,39500,gas,I4,27.0,5,5
QX50,2019,PURE,36650,gas,I4,27.0,5,5
QX50,2019,PURE,38650,gas,I4,26.0,5,5
QX60,2019,LUXE,45800,gas,V6,22.0,5,7
QX60,2019,LUXE,46150,gas,V6,22.0,5,7
QX60,2019,LUXE,47600,gas,V6,22.0,5,7
QX60,2019,LUXE,48150,gas,V6,22.0,5,7
QX60,2019,PURE,44000,gas,V6,22.0,5,7
QX60,2019,PURE,44350,gas,V6,22.0,5,7
QX60,2019,PURE,45800,gas,V6,22.0,5,7
QX60,2019,PURE,46350,gas,V6,22.0,5,7
QX80,2019,LIMITED,90200,gas,V8,15.0,5,7
QX80,2019,LUXE,68600,gas,V8,15.0,5,7
QX80,2019,LUXE,65500,gas,V8,16.0,5,7
QX30,2018,Base,29950,gas,I4,27.0,5,5
QX30,2018,ESSENTIAL,36900,gas,I4,27.0,5,5
QX30,2018,ESSENTIAL,41400,gas,I4,25.0,5,5
QX30,2018,LUXE,33000,gas,I4,27.0,5,5
QX30,2018,LUXE,35000,gas,I4,25.0,5,5
QX30,2018,Luxury,32600,gas,I4,27.0,5,5
QX30,2018,Luxury,34400,gas,I4,25.0,5,5
QX30,2018,Premium,35300,gas,I4,27.0,5,5
QX30,2018,Premium,37700,gas,I4,25.0,5,5
QX30,2018,PURE,30150,gas,I4,27.0,5,5
QX30,2018,SPORT,40100,gas,I4,27.0,5,5
QX30,2018,Sport,38500,gas,I4,27.0,5,5
QX60,2018,Base,43300,gas,V6,22.0,5,7
QX60,2018,Base,45100,gas,V6,22.0,5,7
QX80,2018,Base,64750,gas,V8,16.0,5,7
QX80,2018,Base,67850,gas,V8,15.0,5,7
QX30,2017,Base,29950,gas,I4,27.0,5,5
QX30,2017,Base,29950,gas,I4,27.0,5,5
QX30,2017,Luxury,32600,gas,I4,27.0,5,5
QX30,2017,Luxury,34400,gas,I4,25.0,5,5
QX30,2017,Luxury,32600,gas,I4,27.0,5,5
QX30,2017,Luxury,34400,gas,I4,25.0,5,5
QX30,2017,Premium,35300,gas,I4,27.0,5,5
QX30,2017,Premium,37700,gas,I4,25.0,5,5
QX30,2017,Premium,35300,gas,I4,27.0,5,5
QX30,2017,Premium,37700,gas,I4,25.0,5,5
QX30,2017,Sport,38500,gas,I4,27.0,5,5
QX30,2017,Sport,38500,gas,I4,27.0,5,5
QX50,2017,Base,34650,gas,V6,20.0,5,5
QX50,2017,Base,36450,gas,V6,20.0,5,5
QX60,2017,Base,43100,gas,V6,22.0,5,7
QX60,2017,Base,44900,gas,V6,22.0,5,7
QX60,2017,Hybrid,52100,hybrid,I4,26.0,5,7
QX60,2017,Hybrid,53500,hybrid,I4,26.0,5,7
QX70,2017,Base,45850,gas,V6,19.0,5,5
QX70,2017,Base,47650,gas,V6,18.0,5,5
QX80,2017,Base,63850,gas,V8,16.0,5,7
QX80,2017,Base,66950,gas,V8,15.0,5,7
QX80,2017,Limited,89450,gas,V8,15.0,5,7
QX80,2017,Signature,67335,gas,V8,16.0,5,7
QX80,2017,Signature,70435,gas,V8,15.0,5,7
QX50,2016,Base,35850,gas,V6,20.0,5,5
QX50,2016,Base,34450,gas,V6,20.0,5,5
QX60,2016,Base,44400,gas,V6,22.0,5,7
QX60,2016,Base,42600,gas,V6,23.0,5,7
QX60,2016,Hybrid,52050,hybrid,I4,26.0,5,7
QX60,2016,Hybrid,53450,hybrid,I4,26.0,5,7
QX70,2016,Base,45850,gas,V6,19.0,5,5
QX70,2016,Base,47300,gas,V6,18.0,5,5
QX80,2016,Base,63250,gas,V8,16.0,5,7
QX80,2016,Base,66350,gas,V8,15.0,5,7
QX80,2016,Limited,88850,gas,V8,15.0,5,7
QX50,2015,Base,35000,gas,V6,20.0,5,5
QX50,2015,Base,36400,gas,V6,20.0,5,5
QX50,2015,Journey,37200,gas,V6,20.0,5,5
QX50,2015,Journey,38600,gas,V6,20.0,5,5
QX60,2015,Base,43800,gas,V6,22.0,5,7
QX60,2015,Base,42400,gas,V6,23.0,5,7
QX60,2015,Hybrid,46800,hybrid,I4,26.0,5,7
