Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Q50,2020,3.0t LUXE,38850,gas,V6,23.0,4,5
Q50,2020,3.0t LUXE,40850,gas,V6,22.0,4,5
Q50,2020,3.0t PURE,36400,gas,V6,23.0,4,5
Q50,2020,3.0t PURE,38400,gas,V6,22.0,4,5
Q50,2020,3.0t SPORT,50500,gas,V6,22.0,4,5
Q50,2020,3.0t SPORT,48500,gas,V6,23.0,4,5
Q50,2020,Edition 30,45700,gas,V6,22.0,4,5
Q50,2020,Edition 30,43700,gas,V6,23.0,4,5
Q50,2020,RED SPORT 400,56250,gas,V6,22.0,4,5
Q50,2020,RED SPORT 400,54250,gas,V6,22.0,4,5
Q50,2019,2.0t PURE,35650,gas,I4,25.0,4,5
Q50,2019,2.0t PURE,37650,gas,I4,24.0,4,5
Q50,2019,3.0t LUXE,38300,gas,V6,23.0,4,5
Q50,2019,3.0t LUXE,40400,gas,V6,22.0,4,5
Q50,2019,3.0t LUXE,38400,gas,V6,23.0,4,5
Q50,2019,3.0t LUXE,40300,gas,V6,22.0,4,5
Q50,2019,3.0t Signature Edition,41650,gas,V6,23.0,4,5
Q50,2019,3.0t Signature Edition,43650,gas,V6,22.0,4,5
Q50,2019,3.0t SPORT,50050,gas,V6,22.0,4,5
Q50,2019,3.0t SPORT,48050,gas,V6,23.0,4,5
Q50,2019,RED SPORT 400,53350,gas,V6,22.0,4,5
Q50,2019,RED SPORT 400,51350,gas,V6,22.0,4,5
Q70,2019,3.7 LUXE,52550,gas,V6,20.0,4,5
Q70,2019,3.7 LUXE,50400,gas,V6,21.0,4,5
Q70,2019,5.6 LUXE,63450,gas,V8,19.0,4,5
Q70,2019,5.6 LUXE,66000,gas,V8,18.0,4,5
Q70,2019,L 3.7 LUXE,54050,gas,V6,20.0,4,5
Q70,2019,L 3.7 LUXE,51900,gas,V6,21.0,4,5
Q70,2019,L 5.6 LUXE,67700,gas,V8,18.0,4,5
Q70,2019,L 5.6 LUXE,65150,gas,V8,19.0,4,5
Q50,2018,2.0t LUXE,37550,gas,I4,25.0,4,5
Q50,2018,2.0t LUXE,39550,gas,I4,24.0,4,5
Q50,2018,2.0t PURE,37200,gas,I4,24.0,4,5
Q50,2018,2.0t PURE,35200,gas,I4,25.0,4,5
Q50,2018,3.0t LUXE,41150,gas,V6,22.0,4,5
Q50,2018,3.0t LUXE,39150,gas,V6,23.0,4,5
Q50,2018,3.0t SPORT,42650,gas,V6,22.0,4,5
Q50,2018,3.0t SPORT,40650,gas,V6,23.0,4,5
Q50,2018,Hybrid LUXE,52600,hybrid,V6,28.0,4,5
Q50,2018,Hybrid LUXE,50600,hybrid,V6,29.0,4,5
Q50,2018,RED SPORT 400,51000,gas,V6,22.0,4,5
Q50,2018,RED SPORT 400,53000,gas,V6,22.0,4,5
Q70,2018,3.7 LUXE,52450,gas,V6,20.0,4,5
Q70,2018,3.7 LUXE,50300,gas,V6,21.0,4,5
Q70,2018,5.6 LUXE,63350,gas,V8,19.0,4,5
Q70,2018,5.6 LUXE,65900,gas,V8,18.0,4,5
Q70,2018,Hybrid LUXE,56400,hybrid,V6,30.0,4,5
Q70,2018,L 3.7 LUXE,51800,gas,V6,21.0,4,5
Q70,2018,L 3.7 LUXE,53950,gas,V6,20.0,4,5
Q70,2018,L 5.6 LUXE,65050,gas,V8,19.0,4,5
Q70,2018,L 5.6 LUXE,67600,gas,V8,18.0,4,5
Q50,2017,2.0t,35950,gas,I4,24.0,4,5
Q50,2017,2.0t,33950,gas,I4,26.0,4,5
Q50,2017,2.0t Premium,40400,gas,I4,24.0,4,5
Q50,2017,2.0t Premium,38400,gas,I4,26.0,4,5
Q50,2017,2.0t Sport,44300,gas,I4,24.0,4,5
Q50,2017,2.0t Sport,42300,gas,I4,26.0,4,5
Q50,2017,3.0t Premium,42650,gas,V6,22.0,4,5
Q50,2017,3.0t Premium,40650,gas,V6,23.0,4,5
Q50,2017,3.0t Signature Edition,40700,gas,V6,22.0,4,5
Q50,2017,3.0t Signature Edition,38700,gas,V6,23.0,4,5
Q50,2017,Hybrid Premium,47800,hybrid,V6,29.0,4,5
Q50,2017,Hybrid Premium,49800,hybrid,V6,28.0,4,5
Q50,2017,Red Sport 400,50700,gas,V6,21.0,4,5
Q50,2017,Red Sport 400,48700,gas,V6,22.0,4,5
Q50,2017,Sport,44650,gas,V6,23.0,4,5
Q50,2017,Sport,46650,gas,V6,22.0,4,5
Q70,2017,Base,50100,gas,V6,21.0,4,5
Q70,2017,Base,52250,gas,V6,20.0,4,5
Q70,2017,Base,63150,gas,V8,19.0,4,5
Q70,2017,Base,65700,gas,V8,18.0,4,5
Q70,2017,Hybrid,56200,hybrid,V6,30.0,4,5
Q70,2017,L,53750,gas,V6,20.0,4,5
Q70,2017,L,51600,gas,V6,21.0,4,5
Q70,2017,L,64850,gas,V8,19.0,4,5
Q70,2017,L,67400,gas,V8,18.0,4,5
