Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
F-TYPE,2020,P300,64700,gas,I4,26.0,2,2
F-TYPE,2020,P300 Checkered Flag Limited Edition,74300,gas,I4,26.0,2,2
F-TYPE,2020,P340,74200,gas,V6,23.0,2,2
F-TYPE,2020,P380 Checkered Flag Limited Edition,96900,gas,V6,21.0,2,2
F-TYPE,2020,P380 R-Dynamic,90400,gas,V6,21.0,2,2
F-TYPE,2020,P380 R-Dynamic,87400,gas,V6,22.0,2,2
F-TYPE,2020,R,104900,gas,V8,18.0,2,2
F-TYPE,2020,SVR,126700,gas,V8,18.0,2,2
F-TYPE,2019,340 HP,71950,gas,V6,19.0,2,2
F-TYPE,2019,340 HP,73250,gas,V6,23.0,2,2
F-TYPE,2019,380 HP,83850,gas,V6,22.0,2,2
F-TYPE,2019,380 HP,86850,gas,V6,21.0,2,2
F-TYPE,2019,Base,63850,gas,I4,26.0,2,2
F-TYPE,2019,R,103850,gas,V8,18.0,2,2
F-TYPE,2019,R-Dynamic,89450,gas,V6,21.0,2,2
F-TYPE,2019,R-Dynamic,86450,gas,V6,22.0,2,2
F-TYPE,2019,R-Dynamic,85150,gas,V6,18.0,2,2
F-TYPE,2019,SVR,125850,gas,V8,18.0,2,2
F-TYPE,2018,340 HP,71100,gas,V6,19.0,2,2
F-TYPE,2018,340 HP,72400,gas,V6,23.0,2,2
F-TYPE,2018,380 HP,86000,gas,V6,21.0,2,2
F-TYPE,2018,380 HP,83000,gas,V6,22.0,2,2
F-TYPE,2018,400 Sport,92600,gas,V6,22.0,2,2
F-TYPE,2018,400 Sport,95600,gas,V6,21.0,2,2
F-TYPE,2018,Base,63000,gas,I4,26.0,2,2
F-TYPE,2018,R,103000,gas,V8,18.0,2,2
F-TYPE,2018,R-Dynamic,88600,gas,V6,21.0,2,2
F-TYPE,2018,R-Dynamic,85600,gas,V6,22.0,2,2
F-TYPE,2018,R-Dynamic,84300,gas,V6,18.0,2,2
F-TYPE,2018,SVR,125000,gas,V8,18.0,2,2
F-TYPE,2017,Base,66700,gas,V6,22.0,2,2
F-TYPE,2017,Base,65400,gas,V6,19.0,2,2
F-TYPE,2017,Premium,71200,gas,V6,22.0,2,2
F-TYPE,2017,Premium,69900,gas,V6,19.0,2,2
F-TYPE,2017,R,108250,gas,V8,18.0,2,2
F-TYPE,2017,S,89700,gas,V6,21.0,2,2
F-TYPE,2017,S,82200,gas,V6,18.0,2,2
F-TYPE,2017,S,83700,gas,V6,22.0,2,2
F-TYPE,2017,S British Design Edition,101200,gas,V6,21.0,2,2
F-TYPE,2017,S British Design Edition,95200,gas,V6,22.0,2,2
F-TYPE,2017,SVR,128800,gas,V8,,2,2
F-TYPE,2016,Base,68100,gas,V6,19.0,2,2
F-TYPE,2016,Base,69400,gas,V6,22.0,2,2
F-TYPE,2016,Project 7,165000,gas,V8,,2,2
F-TYPE,2016,R,106450,gas,V8,18.0,2,2
F-TYPE,2016,S,87900,gas,V6,21.0,2,2
F-TYPE,2016,S,81900,gas,V6,22.0,2,2
F-TYPE,2016,S,80400,gas,V6,18.0,2,2
F-TYPE,2015,Base,69000,gas,V6,23.0,2,2
F-TYPE,2015,S,81000,gas,V6,22.0,2,2
F-TYPE,2015,V8 S,92000,gas,V8,18.0,2,2
XK-Series,2015,Base,90500,gas,V8,18.0,2,4
XK-Series,2015,XKR,103500,gas,V8,18.0,2,4
XK-Series,2015,XKR-S,138000,gas,V8,17.0,2,4
