Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
F-TYPE,2020,P300,61600,gas,I4,26.0,2,2
F-TYPE,2020,P300 Checkered Flag Limited Edition,71900,gas,I4,26.0,2,2
F-TYPE,2020,P340,71100,gas,V6,23.0,2,2
F-TYPE,2020,P380 Checkered Flag Limited Edition,94500,gas,V6,21.0,2,2
F-TYPE,2020,P380 R-Dynamic,87300,gas,V6,21.0,2,2
F-TYPE,2020,P380 R-Dynamic,84300,gas,V6,22.0,2,2
F-TYPE,2020,R,101800,gas,V8,18.0,2,2
F-TYPE,2020,SVR,123600,gas,V8,18.0,2,2
F-TYPE,2019,340 HP,68850,gas,V6,19.0,2,2
F-TYPE,2019,340 HP,70150,gas,V6,23.0,2,2
F-TYPE,2019,380 HP,80750,gas,V6,22.0,2,2
F-TYPE,2019,380 HP,83750,gas,V6,21.0,2,2
F-TYPE,2019,Base,60750,gas,I4,26.0,2,2
F-TYPE,2019,R,100750,gas,V8,18.0,2,2
F-TYPE,2019,R-Dynamic,86350,gas,V6,21.0,2,2
F-TYPE,2019,R-Dynamic,83350,gas,V6,22.0,2,2
F-TYPE,2019,R-Dynamic,82050,gas,V6,18.0,2,2
F-TYPE,2019,SVR,122750,gas,V8,18.0,2,2
F-TYPE,2018,340 HP,68000,gas,V6,19.0,2,2
F-TYPE,2018,340 HP,69300,gas,V6,23.0,2,2
F-TYPE,2018,380 HP,82900,gas,V6,21.0,2,2
F-TYPE,2018,380 HP,79900,gas,V6,22.0,2,2
F-TYPE,2018,400 Sport,89500,gas,V6,22.0,2,2
F-TYPE,2018,400 Sport,92500,gas,V6,21.0,2,2
F-TYPE,2018,Base,59900,gas,I4,26.0,2,2
F-TYPE,2018,R,99900,gas,V8,18.0,2,2
F-TYPE,2018,R-Dynamic,81200,gas,V6,18.0,2,2
F-TYPE,2018,R-Dynamic,82500,gas,V6,22.0,2,2
F-TYPE,2018,R-Dynamic,85500,gas,V6,21.0,2,2
F-TYPE,2018,SVR,121900,gas,V8,18.0,2,2
F-TYPE,2017,Base,61400,gas,V6,19.0,2,2
F-TYPE,2017,Base,62700,gas,V6,22.0,2,2
F-TYPE,2017,Premium,66800,gas,V6,19.0,2,2
F-TYPE,2017,Premium,68100,gas,V6,22.0,2,2
F-TYPE,2017,R,105400,gas,V8,18.0,2,2
F-TYPE,2017,S,79100,gas,V6,18.0,2,2
F-TYPE,2017,S,80600,gas,V6,22.0,2,2
F-TYPE,2017,S,86600,gas,V6,21.0,2,2
F-TYPE,2017,S British Design Edition,92100,gas,V6,22.0,2,2
F-TYPE,2017,S British Design Edition,98100,gas,V6,21.0,2,2
F-TYPE,2017,SVR,125950,gas,V8,,2,2
F-TYPE,2016,Base,66300,gas,V6,22.0,2,2
F-TYPE,2016,Base,65000,gas,V6,19.0,2,2
F-TYPE,2016,R,103600,gas,V8,18.0,2,2
F-TYPE,2016,S,77300,gas,V6,18.0,2,2
F-TYPE,2016,S,78800,gas,V6,22.0,2,2
F-TYPE,2016,S,84800,gas,V6,21.0,2,2
F-TYPE,2015,Base,65000,gas,V6,23.0,2,2
F-TYPE,2015,R,99000,gas,V8,18.0,2,2
F-TYPE,2015,S,77000,gas,V6,22.0,2,2
XK-Series,2015,Base,84500,gas,V8,19.0,2,4
XK-Series,2015,XKR,97500,gas,V8,18.0,2,4
XK-Series,2015,XKR-S,132000,gas,V8,18.0,2,4
