Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
E-PACE,2020,P250,39950,gas,I4,24.0,5,5
E-PACE,2020,P250 Checkered Flag Limited Edition,46400,gas,I4,24.0,5,5
E-PACE,2020,P250 SE,43700,gas,I4,24.0,5,5
E-PACE,2020,P300 R-Dynamic HSE,52950,gas,I4,23.0,5,5
E-PACE,2020,P300 R-Dynamic S,46600,gas,I4,23.0,5,5
E-PACE,2020,P300 R-Dynamic SE,49200,gas,I4,23.0,5,5
F-PACE,2020,25t,45200,gas,I4,24.0,5,5
F-PACE,2020,25t Checkered Flag Limited Edition,58400,gas,I4,24.0,5,5
F-PACE,2020,25t Premium,47800,gas,I4,24.0,5,5
F-PACE,2020,25t Prestige,52200,gas,I4,24.0,5,5
F-PACE,2020,25t R-Sport,56500,gas,I4,24.0,5,5
F-PACE,2020,300 Sport Limited Edition,62000,gas,I4,24.0,5,5
F-PACE,2020,30t Portfolio,63600,gas,I4,24.0,5,5
F-PACE,2020,30t Premium,50800,gas,I4,24.0,5,5
F-PACE,2020,30t Prestige,55200,gas,I4,24.0,5,5
F-PACE,2020,30t R-Sport,59500,gas,I4,24.0,5,5
F-PACE,2020,S,62100,gas,V6,20.0,5,5
F-PACE,2020,SVR,80600,gas,V8,18.0,5,5
E-PACE,2019,P250,38600,gas,I4,24.0,5,5
E-PACE,2019,P250 S,40900,gas,I4,24.0,5,5
E-PACE,2019,P250 SE,43500,gas,I4,24.0,5,5
E-PACE,2019,P300 R-Dynamic HSE,52850,gas,I4,23.0,5,5
E-PACE,2019,P300 R-Dynamic S,46400,gas,I4,23.0,5,5
E-PACE,2019,P300 R-Dynamic SE,49000,gas,I4,23.0,5,5
F-PACE,2019,20d Premium,48500,diesel,I4,29.0,5,5
F-PACE,2019,20d Prestige,53100,diesel,I4,29.0,5,5
F-PACE,2019,20d R-Sport,57400,diesel,I4,29.0,5,5
F-PACE,2019,25t,44600,gas,I4,24.0,5,5
F-PACE,2019,25t Premium,47000,gas,I4,24.0,5,5
F-PACE,2019,25t Prestige,51600,gas,I4,24.0,5,5
F-PACE,2019,25t R-Sport,55900,gas,I4,24.0,5,5
F-PACE,2019,30t Portfolio,63000,gas,I4,24.0,5,5
F-PACE,2019,30t Premium,50000,gas,I4,24.0,5,5
F-PACE,2019,30t Prestige,54600,gas,I4,24.0,5,5
F-PACE,2019,30t R-Sport,58900,gas,I4,24.0,5,5
F-PACE,2019,S,61500,gas,V6,20.0,5,5
F-PACE,2019,SVR,79990,gas,V8,18.0,5,5
E-PACE,2018,P250,38600,gas,I4,24.0,5,5
E-PACE,2018,P250 First Edition,53550,gas,I4,24.0,5,5
E-PACE,2018,P250 S,41500,gas,I4,24.0,5,5
E-PACE,2018,P250 SE,44300,gas,I4,24.0,5,5
E-PACE,2018,P300 R-Dynamic HSE,53100,gas,I4,23.0,5,5
E-PACE,2018,P300 R-Dynamic S,47250,gas,I4,23.0,5,5
E-PACE,2018,P300 R-Dynamic SE,50050,gas,I4,23.0,5,5
F-PACE,2018,20d Premium,46275,diesel,I4,29.0,5,5
F-PACE,2018,20d Prestige,50625,diesel,I4,29.0,5,5
F-PACE,2018,20d R-Sport,55675,diesel,I4,29.0,5,5
F-PACE,2018,25t,42065,gas,I4,24.0,5,5
F-PACE,2018,25t Premium,44775,gas,I4,24.0,5,5
F-PACE,2018,25t Prestige,49125,gas,I4,24.0,5,5
F-PACE,2018,25t R-Sport,54175,gas,I4,24.0,5,5
F-PACE,2018,30t Portfolio,62000,gas,I4,24.0,5,5
F-PACE,2018,30t Premium,47775,gas,I4,24.0,5,5
F-PACE,2018,30t Prestige,52125,gas,I4,24.0,5,5
F-PACE,2018,30t R-Sport,57175,gas,I4,24.0,5,5
F-PACE,2018,35t Portfolio,63200,gas,V6,20.0,5,5
F-PACE,2018,35t Premium,48975,gas,V6,20.0,5,5
F-PACE,2018,35t Prestige,53325,gas,V6,20.0,5,5
F-PACE,2018,35t R-Sport,58375,gas,V6,20.0,5,5
F-PACE,2018,S,59775,gas,V6,20.0,5,5
F-PACE,2017,20d,40990,diesel,I4,29.0,5,5
F-PACE,2017,20d Premium,44200,diesel,I4,29.0,5,5
F-PACE,2017,20d Prestige,48700,diesel,I4,29.0,5,5
F-PACE,2017,20d R-Sport,53900,diesel,I4,29.0,5,5
F-PACE,2017,35t,42390,gas,V6,20.0,5,5
F-PACE,2017,35t Premium,45600,gas,V6,20.0,5,5
F-PACE,2017,35t Prestige,50100,gas,V6,20.0,5,5
F-PACE,2017,35t R-Sport,55300,gas,V6,20.0,5,5
F-PACE,2017,First Edition,69700,gas,V6,20.0,5,5
F-PACE,2017,S,56700,gas,V6,20.0,5,5
