Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
XE,2020,R-Dynamic S,46295,gas,I4,25.0,4,5
XE,2020,S,39900,gas,I4,28.0,4,5
XE,2020,S,41900,gas,I4,28.0,4,5
XF,2020,25t Premium,51100,gas,I4,28.0,4,5
XF,2020,25t Premium,54100,gas,I4,27.0,4,5
XF,2020,25t Prestige,55550,gas,I4,28.0,4,5
XF,2020,25t Prestige,58550,gas,I4,27.0,4,5
XF,2020,30t Checkered Flag Limited Edition,66600,gas,I4,25.0,4,5
XF,2020,30t Prestige,61550,gas,I4,25.0,4,5
XF,2020,30t Prestige,58550,gas,I4,26.0,4,5
XF,2020,S,68200,gas,V6,23.0,4,5
XE,2019,20d,41015,diesel,I4,34.0,4,5
XE,2019,20d,38515,diesel,I4,36.0,4,5
XE,2019,20d Landmark,52990,diesel,I4,34.0,4,5
XE,2019,20d Landmark,50490,diesel,I4,36.0,4,5
XE,2019,20d Premium,40775,diesel,I4,36.0,4,5
XE,2019,20d Premium,43275,diesel,I4,34.0,4,5
XE,2019,20d Prestige,45235,diesel,I4,36.0,4,5
XE,2019,20d Prestige,47735,diesel,I4,34.0,4,5
XE,2019,20d R-Sport,51845,diesel,I4,34.0,4,5
XE,2019,20d R-Sport,49345,diesel,I4,36.0,4,5
XE,2019,25t,36995,gas,I4,28.0,4,5
XE,2019,25t,39495,gas,I4,28.0,4,5
XE,2019,25t Landmark,48990,gas,I4,28.0,4,5
XE,2019,25t Landmark,51490,gas,I4,28.0,4,5
XE,2019,25t Premium,39275,gas,I4,28.0,4,5
XE,2019,25t Premium,41775,gas,I4,28.0,4,5
XE,2019,25t Prestige,46235,gas,I4,28.0,4,5
XE,2019,25t Prestige,43735,gas,I4,28.0,4,5
XE,2019,25t R-Sport,50345,gas,I4,28.0,4,5
XE,2019,25t R-Sport,47845,gas,I4,28.0,4,5
XE,2019,300 Sport Limited Edition,55900,gas,I4,25.0,4,5
XE,2019,300 Sport Limited Edition,53400,gas,I4,27.0,4,5
XE,2019,30t Portfolio Limited Edition,57590,gas,I4,27.0,4,5
XE,2019,30t Portfolio Limited Edition,60090,gas,I4,25.0,4,5
XE,2019,30t Premium,45575,gas,I4,25.0,4,5
XE,2019,30t Premium,43075,gas,I4,27.0,4,5
XE,2019,30t Prestige,47535,gas,I4,27.0,4,5
XE,2019,30t Prestige,50035,gas,I4,25.0,4,5
XE,2019,30t R-Sport,54135,gas,I4,25.0,4,5
XE,2019,30t R-Sport,51635,gas,I4,27.0,4,5
XE,2019,S,53785,gas,V6,24.0,4,5
XE,2019,S,56285,gas,V6,23.0,4,5
XE,2019,SV Project 8,187500,gas,V8,18.0,4,4
XF,2019,20d Premium,51465,diesel,I4,35.0,4,5
XF,2019,20d Premium,54465,diesel,I4,34.0,4,5
XF,2019,20d Prestige,59485,diesel,I4,34.0,4,5
XF,2019,20d Prestige,56485,diesel,I4,35.0,4,5
XF,2019,25t Premium,52965,gas,I4,27.0,4,5
XF,2019,25t Premium,49965,gas,I4,28.0,4,5
XF,2019,25t Prestige,57985,gas,I4,27.0,4,5
XF,2019,25t Prestige,54985,gas,I4,28.0,4,5
XF,2019,30t 300 Sport,63810,gas,I4,26.0,4,5
XF,2019,30t 300 Sport,66810,gas,I4,25.0,4,5
XF,2019,30t Portfolio Limited Edition,70565,gas,I4,25.0,4,5
XF,2019,30t Portfolio Limited Edition,67565,gas,I4,26.0,4,5
XF,2019,30t Premium,55965,gas,I4,25.0,4,5
XF,2019,30t Premium,52965,gas,I4,26.0,4,5
XF,2019,30t Prestige,57985,gas,I4,26.0,4,5
XF,2019,30t Prestige,60985,gas,I4,25.0,4,5
XF,2019,S,67625,gas,V6,23.0,4,5
XJ-Series,2019,R-Sport,75400,gas,V6,21.0,4,5
XJ-Series,2019,R-Sport,78300,gas,V6,20.0,4,5
XJ-Series,2019,Supercharged,93000,gas,V8,18.0,4,5
XJ-Series,2019,XJ Collection,85000,gas,V8,18.0,4,5
