Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Cherokee,2020,Altitude,28790,gas,I4,25.0,5,5
Cherokee,2020,Altitude,30290,gas,I4,24.0,5,5
Cherokee,2020,High Altitude,35540,gas,V6,23.0,5,5
Cherokee,2020,High Altitude,36840,gas,V6,22.0,5,5
Cherokee,2020,Latitude,25840,gas,I4,25.0,5,5
Cherokee,2020,Latitude,27340,gas,I4,24.0,5,5
Cherokee,2020,Latitude Lux,31400,gas,V6,22.0,5,5
Cherokee,2020,Latitude Lux,29900,gas,V6,23.0,5,5
Cherokee,2020,Latitude Plus,27595,gas,I4,25.0,5,5
Cherokee,2020,Latitude Plus,29095,gas,I4,24.0,5,5
Cherokee,2020,Limited,31600,gas,I4,25.0,5,5
Cherokee,2020,Limited,34845,gas,V6,22.0,5,5
Cherokee,2020,North Edition,31800,gas,V6,22.0,5,5
Cherokee,2020,Overland,38495,gas,V6,22.0,5,5
Cherokee,2020,Overland,36995,gas,V6,23.0,5,5
Cherokee,2020,Trailhawk,34755,gas,V6,21.0,5,5
Cherokee,2020,Trailhawk Elite,37950,gas,V6,21.0,5,5
Cherokee,2020,Upland,30720,gas,V6,22.0,5,5
Compass,2020,Altitude,28275,gas,I4,25.0,5,5
Compass,2020,Altitude,26775,gas,I4,25.0,5,5
Compass,2020,High Altitude,30400,gas,I4,25.0,5,5
Compass,2020,High Altitude,31900,gas,I4,25.0,5,5
Compass,2020,Latitude,25355,gas,I4,25.0,5,5
Compass,2020,Latitude,25355,gas,I4,25.0,5,5
Compass,2020,Limited,28405,gas,I4,25.0,5,5
Compass,2020,Limited,29905,gas,I4,25.0,5,5
Compass,2020,North Edition,27800,gas,I4,25.0,5,5
Compass,2020,Sport,23605,gas,I4,25.0,5,5
Compass,2020,Sport,22105,gas,I4,26.0,5,5
Compass,2020,Sun and Safety,27050,gas,I4,25.0,5,5
Compass,2020,Sun and Safety,28550,gas,I4,25.0,5,5
Compass,2020,Sun and Wheel,26250,gas,I4,25.0,5,5
Compass,2020,Trailhawk,29675,gas,I4,25.0,5,5
Grand Cherokee,2020,Altitude,40545,gas,V6,21.0,5,5
Grand Cherokee,2020,Altitude,38245,gas,V6,21.0,5,5
Grand Cherokee,2020,High Altitude,52440,gas,V6,21.0,5,5
Grand Cherokee,2020,High Altitude,49440,gas,V6,21.0,5,5
Grand Cherokee,2020,Laredo,34450,gas,V6,21.0,5,5
Grand Cherokee,2020,Laredo,32150,gas,V6,21.0,5,5
Grand Cherokee,2020,Laredo E,36000,gas,V6,21.0,5,5
Grand Cherokee,2020,Laredo E,34000,gas,V6,21.0,5,5
Grand Cherokee,2020,Limited,39955,gas,V6,21.0,5,5
Grand Cherokee,2020,Limited,41955,gas,V6,21.0,5,5
Grand Cherokee,2020,Limited X,45050,gas,V6,21.0,5,5
Grand Cherokee,2020,Limited X,47050,gas,V6,21.0,5,5
Grand Cherokee,2020,North Edition,38895,gas,V6,21.0,5,5
Grand Cherokee,2020,Overland,46695,gas,V6,21.0,5,5
Grand Cherokee,2020,Overland,49695,gas,V6,21.0,5,5
Grand Cherokee,2020,SRT,68895,gas,V8,15.0,5,5
Grand Cherokee,2020,Summit,52495,gas,V6,21.0,5,5
Grand Cherokee,2020,Summit,55495,gas,V6,21.0,5,5
Grand Cherokee,2020,Trackhawk,87400,gas,V8,13.0,5,5
Grand Cherokee,2020,Trailhawk,45155,gas,V6,21.0,5,5
Grand Cherokee,2020,Upland,39330,gas,V6,21.0,5,5
Grand Cherokee,2020,Upland,36835,gas,V6,21.0,5,5
Renegade,2020,Altitude,25390,gas,I4,25.0,5,5
Renegade,2020,Altitude,26890,gas,I4,24.0,5,5
Renegade,2020,High Altitude,30495,gas,I4,26.0,5,5
Renegade,2020,High Altitude,28995,gas,I4,27.0,5,5
Renegade,2020,Jeepster,23875,gas,I4,24.0,5,5
Renegade,2020,Jeepster,22375,gas,I4,25.0,5,5
Renegade,2020,Latitude,25895,gas,I4,24.0,5,5
Renegade,2020,Latitude,24395,gas,I4,25.0,5,5
Renegade,2020,Limited,27000,gas,I4,27.0,5,5
Renegade,2020,Limited,28500,gas,I4,26.0,5,5
Renegade,2020,North Edition,26670,gas,I4,24.0,5,5
Renegade,2020,Orange Edition,24395,gas,I4,25.0,5,5
Renegade,2020,Orange Edition,25895,gas,I4,24.0,5,5
Renegade,2020,Sport,22375,gas,I4,25.0,5,5
Renegade,2020,Sport,23875,gas,I4,24.0,5,5
Renegade,2020,Trailhawk,27970,gas,I4,24.0,5,5
Renegade,2020,Upland,25270,gas,I4,24.0,5,5
Wrangler,2020,Black and Tan,33190,gas,V6,20.0,3,4
Wrangler,2020,Freedom,34190,gas,V6,20.0,3,4
Wrangler,2020,Rubicon,38695,gas,V6,20.0,3,4
Wrangler,2020,Rubicon Recon,43450,mild hybrid,I4,21.0,3,4
Wrangler,2020,Sport,28295,gas,V6,20.0,3,4
Wrangler,2020,Sport S,31495,gas,V6,20.0,3,4
Wrangler,2020,Unlimited Black and Tan,36690,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Freedom,37690,gas,V6,19.0,5,5
Wrangler,2020,Unlimited High Altitude,49750,mild hybrid,I4,21.0,5,5
Wrangler,2020,Unlimited North Edition,44465,mild hybrid,I4,21.0,5,5
Wrangler,2020,Unlimited Rubicon,42195,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Rubicon Recon,46950,mild hybrid,I4,21.0,5,5
Wrangler,2020,Unlimited Sahara,38645,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Sahara Altitude,41940,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Sport,31795,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Sport Altitude,36690,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Sport S,34995,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Willys,37490,gas,V6,19.0,5,5
Wrangler,2020,Unlimited Willys Sport,33495,gas,V6,19.0,5,5
Wrangler,2020,Willys,33990,gas,V6,20.0,3,4
Wrangler,2020,Willys Sport,29995,gas,V6,20.0,3,4
Cherokee,2019,Altitude,29890,gas,I4,24.0,5,5
Cherokee,2019,Altitude,28390,gas,I4,25.0,5,5
Cherokee,2019,High Altitude,36490,gas,V6,22.0,5,5
Cherokee,2019,High Altitude,34990,gas,V6,23.0,5,5
Cherokee,2019,Latitude,25045,gas,I4,25.0,5,5
Cherokee,2019,Latitude,26545,gas,I4,24.0,5,5
Cherokee,2019,Latitude Plus,28895,gas,I4,24.0,5,5
Cherokee,2019,Latitude Plus,27395,gas,I4,25.0,5,5
Cherokee,2019,Limited,34695,gas,V6,22.0,5,5
Cherokee,2019,Limited,31450,gas,I4,25.0,5,5
Cherokee,2019,Overland,38495,gas,V6,22.0,5,5
Cherokee,2019,Overland,36995,gas,V6,23.0,5,5
Cherokee,2019,Trailhawk,34195,gas,V6,21.0,5,5
Cherokee,2019,Trailhawk Elite,37390,gas,V6,21.0,5,5
Cherokee,2019,Upland,29725,gas,V6,22.0,5,5
Compass,2019,2019,25890,gas,I4,25.0,5,5
Compass,2019,Altitude,28015,gas,I4,25.0,5,5
Compass,2019,Altitude,26515,gas,I4,25.0,5,5
Compass,2019,High Altitude,31690,gas,I4,25.0,5,5
Compass,2019,High Altitude,30190,gas,I4,25.0,5,5
Compass,2019,Latitude,25095,gas,I4,25.0,5,5
Compass,2019,Latitude,25095,gas,I4,25.0,5,5
Compass,2019,Limited,29695,gas,I4,25.0,5,5
Compass,2019,Limited,28195,gas,I4,25.0,5,5
Compass,2019,Sport,23345,gas,I4,25.0,5,5
Compass,2019,Sport,21845,gas,I4,26.0,5,5
Compass,2019,Trailhawk,29195,gas,I4,25.0,5,5
Compass,2019,Upland,26040,gas,I4,25.0,5,5
Grand Cherokee,2019,Altitude,37890,gas,V6,21.0,5,5
Grand Cherokee,2019,Altitude,40190,gas,V6,21.0,5,5
Grand Cherokee,2019,High Altitude,51490,gas,V6,21.0,5,5
Grand Cherokee,2019,High Altitude,48490,gas,V6,21.0,5,5
Grand Cherokee,2019,Laredo,31945,gas,V6,21.0,5,5
Grand Cherokee,2019,Laredo,34245,gas,V6,21.0,5,5
Grand Cherokee,2019,Laredo E,33795,gas,V6,21.0,5,5
Grand Cherokee,2019,Laredo E,35795,gas,V6,21.0,5,5
Grand Cherokee,2019,Limited,39195,gas,V6,21.0,5,5
Grand Cherokee,2019,Limited,41195,gas,V6,21.0,5,5
Grand Cherokee,2019,Limited X,44095,gas,V6,21.0,5,5
Grand Cherokee,2019,Limited X,46095,gas,V6,21.0,5,5
Grand Cherokee,2019,Overland,45995,gas,V6,21.0,5,5
Grand Cherokee,2019,Overland,48995,gas,V6,21.0,5,5
Grand Cherokee,2019,SRT,68395,gas,V8,15.0,5,5
Grand Cherokee,2019,Summit,51695,gas,V6,21.0,5,5
Grand Cherokee,2019,Summit,54695,gas,V6,21.0,5,5
Grand Cherokee,2019,Trackhawk,86900,gas,V8,13.0,5,5
Grand Cherokee,2019,Trailhawk,44295,gas,V6,21.0,5,5
Grand Cherokee,2019,Upland,35895,gas,V6,21.0,5,5
Grand Cherokee,2019,Upland,38390,gas,V6,21.0,5,5
Renegade,2019,Altitude,26370,gas,I4,24.0,5,5
Renegade,2019,Altitude,24870,gas,I4,25.0,5,5
Renegade,2019,High Altitude,28390,gas,I4,27.0,5,5
Renegade,2019,High Altitude,29890,gas,I4,26.0,5,5
Renegade,2019,Latitude,25375,gas,I4,24.0,5,5
Renegade,2019,Latitude,23875,gas,I4,25.0,5,5
Renegade,2019,Limited,27895,gas,I4,26.0,5,5
Renegade,2019,Limited,26395,gas,I4,27.0,5,5
Renegade,2019,Sport,23525,gas,I4,24.0,5,5
Renegade,2019,Sport,22025,gas,I4,25.0,5,5
Renegade,2019,Trailhawk,27545,gas,I4,24.0,5,5
Wrangler,2019,Rubicon,38045,gas,V6,20.0,3,4
Wrangler,2019,Sport,28045,gas,V6,20.0,3,4
Wrangler,2019,Sport S,31245,gas,V6,20.0,3,4
Wrangler,2019,Unlimited Moab,51300,gas,V6,20.0,5,5
Wrangler,2019,Unlimited Rubicon,41545,gas,V6,19.0,5,5
Wrangler,2019,Unlimited Sahara,38395,gas,V6,19.0,5,5
Wrangler,2019,Unlimited Sahara Altitude,41690,gas,V6,19.0,5,5
Wrangler,2019,Unlimited Sport,31545,gas,V6,19.0,5,5
Wrangler,2019,Unlimited Sport Altitude,36440,gas,V6,19.0,5,5
Wrangler,2019,Unlimited Sport S,34745,gas,V6,19.0,5,5
Cherokee,2018,Latitude,25895,flex-fuel (FFV),I4,23.0,5,5
Cherokee,2018,Latitude,24395,flex-fuel (FFV),I4,25.0,5,5
Cherokee,2018,Latitude Plus,26295,flex-fuel (FFV),I4,25.0,5,5
Cherokee,2018,Latitude Plus,27795,flex-fuel (FFV),I4,23.0,5,5
Cherokee,2018,Limited,31295,flex-fuel (FFV),I4,23.0,5,5
Cherokee,2018,Limited,29795,flex-fuel (FFV),I4,25.0,5,5
Cherokee,2018,Overland,34095,flex-fuel (FFV),I4,25.0,5,5
Cherokee,2018,Overland,37340,gas,V6,23.0,5,5
Cherokee,2018,Trailhawk,30995,flex-fuel (FFV),I4,22.0,5,5
Compass,2018,Altitude,26990,gas,I4,25.0,5,5
Compass,2018,Altitude,25490,gas,I4,25.0,5,5
Compass,2018,Latitude,24295,gas,I4,25.0,5,5
Compass,2018,Latitude,24295,gas,I4,25.0,5,5
Compass,2018,Limited,27595,gas,I4,25.0,5,5
Compass,2018,Limited,29095,gas,I4,25.0,5,5
Compass,2018,Sport,22495,gas,I4,25.0,5,5
Compass,2018,Sport,20995,gas,I4,26.0,5,5
Compass,2018,Trailhawk,28695,gas,I4,25.0,5,5
Grand Cherokee,2018,Altitude,37090,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Altitude,39390,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,High Altitude,47790,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,High Altitude,50790,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Laredo,30895,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Laredo,33195,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Laredo E,33195,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Laredo E,35195,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Limited,38495,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Limited,40495,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Overland,48295,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Overland,45295,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,SRT,67695,gas,V8,15.0,5,5
Grand Cherokee,2018,Sterling Edition,44295,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Sterling Edition,42295,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Summit,50995,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Summit,53995,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Trackhawk,86200,gas,V8,13.0,5,5
Grand Cherokee,2018,Trailhawk,43595,flex-fuel (FFV),V6,21.0,5,5
Grand Cherokee,2018,Upland,37295,flex-fuel (FFV),V6,21.0,5,5
Renegade,2018,Altitude,24040,gas,I4,26.0,5,5
Renegade,2018,Altitude,22540,gas,I4,26.0,5,5
Renegade,2018,Latitude,21845,gas,I4,26.0,5,5
Renegade,2018,Latitude,23345,gas,I4,26.0,5,5
Renegade,2018,Limited,25645,gas,I4,25.0,5,5
Renegade,2018,Limited,27145,gas,I4,24.0,5,5
Renegade,2018,Sport,18445,gas,I4,26.0,5,5
Renegade,2018,Sport,19945,gas,I4,26.0,5,5
Renegade,2018,Trailhawk,26845,gas,I4,24.0,5,5
Renegade,2018,Upland Edition,22270,gas,I4,24.0,5,5
Wrangler,2018,Rubicon,37495,gas,V6,20.0,3,4
Wrangler,2018,Sport,27495,gas,V6,20.0,3,4
Wrangler,2018,Sport S,30695,gas,V6,20.0,3,4
Wrangler,2018,Unlimited Rubicon,40995,gas,V6,19.0,5,5
Wrangler,2018,Unlimited Sahara,37845,gas,V6,19.0,5,5
Wrangler,2018,Unlimited Sport,30995,gas,V6,19.0,5,5
Wrangler,2018,Unlimited Sport S,34195,gas,V6,19.0,5,5
Wrangler JK,2018,Altitude,33445,gas,V6,18.0,3,4
Wrangler JK,2018,Freedom Edition,29695,gas,V6,18.0,3,4
Wrangler JK,2018,Golden Eagle,29195,gas,V6,18.0,3,4
Wrangler JK,2018,Rubicon,33645,gas,V6,18.0,3,4
Wrangler JK,2018,Rubicon Recon,39145,gas,V6,18.0,3,4
Wrangler JK,2018,Sahara,30445,gas,V6,18.0,3,4
Wrangler JK,2018,Sport,23995,gas,V6,18.0,3,4
Wrangler JK,2018,Sport S,26995,gas,V6,18.0,3,4
Wrangler JK,2018,Unlimited Altitude,37245,gas,V6,18.0,5,5
