Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Sedona,2020,EX,33700,gas,V6,21.0,5,8
Sedona,2020,L,27600,gas,V6,21.0,5,7
Sedona,2020,LX,30400,gas,V6,21.0,5,8
Sedona,2020,SX,41500,gas,V6,21.0,5,8
Sedona,2019,EX,33300,gas,V6,21.0,5,8
Sedona,2019,L,27200,gas,V6,21.0,5,7
Sedona,2019,LX,30000,gas,V6,21.0,5,8
Sedona,2019,SX,41100,gas,V6,21.0,5,8
Sedona,2018,EX,33700,gas,V6,20.0,5,8
Sedona,2018,L,27000,gas,V6,20.0,5,7
Sedona,2018,LX,29000,gas,V6,20.0,5,8
Sedona,2018,SX,37000,gas,V6,21.0,5,7
Sedona,2018,SX Limited,42000,gas,V6,19.0,5,8
Sedona,2017,EX,33600,gas,V6,20.0,5,8
Sedona,2017,L,26900,gas,V6,20.0,5,7
Sedona,2017,LX,28900,gas,V6,20.0,5,8
Sedona,2017,SX,36900,gas,V6,21.0,5,7
Sedona,2017,SX Limited,41900,gas,V6,19.0,5,8
Sedona,2016,EX,32700,gas,V6,20.0,5,8
Sedona,2016,L,26400,gas,V6,20.0,5,7
Sedona,2016,LX,28500,gas,V6,20.0,5,8
Sedona,2016,SX,36400,gas,V6,21.0,5,7
Sedona,2016,SX Limited,39900,gas,V6,19.0,5,7
Sedona,2015,EX,32300,gas,V6,20.0,5,8
Sedona,2015,L,26100,gas,V6,20.0,5,7
Sedona,2015,LX,28300,gas,V6,20.0,5,7
Sedona,2015,SX,36300,gas,V6,21.0,5,7
Sedona,2015,SX-Limited,39700,gas,V6,19.0,5,7
