Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Cadenza,2020,Limited,43550,gas,V6,23.0,4,5
Cadenza,2020,Technology,37850,gas,V6,23.0,4,5
Forte,2020,EX,22090,gas,I4,33.0,4,5
Forte,2020,FE,17890,gas,I4,31.0,4,5
Forte,2020,FE,18790,gas,I4,35.0,4,5
Forte,2020,GT,22490,gas,I4,30.0,4,5
Forte,2020,GT,23090,gas,I4,28.0,4,5
Forte,2020,GT-Line,20490,gas,I4,33.0,4,5
Forte,2020,LXS,19290,gas,I4,33.0,4,5
K900,2020,Luxury,59900,gas,V6,21.0,4,5
Optima,2020,EX,27190,gas,I4,31.0,4,5
Optima,2020,EX Premium,30190,gas,I4,31.0,4,5
Optima,2020,LX,23390,gas,I4,29.0,4,5
Optima,2020,S,24890,gas,I4,27.0,4,5
Optima,2020,SE,26390,gas,I4,27.0,4,5
Optima,2020,SX,32190,gas,I4,24.0,4,5
Optima Hybrid,2020,EX,29310,hybrid,I4,42.0,4,5
Optima Plug-In Hybrid,2020,EX,36090,plug-in hybrid,I4,41.0,4,5
Rio,2020,LX,15850,gas,I4,36.0,4,5
Rio,2020,S,16490,gas,I4,36.0,4,5
Stinger,2020,GT,39500,gas,V6,20.0,4,5
Stinger,2020,GT,41700,gas,V6,20.0,4,5
Stinger,2020,GT-Line,35290,gas,I4,24.0,4,5
Stinger,2020,GT-Line,33090,gas,I4,25.0,4,5
Stinger,2020,GT1,47600,gas,V6,20.0,4,5
Stinger,2020,GT1,45400,gas,V6,20.0,4,5
Stinger,2020,GT2,50300,gas,V6,20.0,4,5
Stinger,2020,GT2,52500,gas,V6,20.0,4,5
Cadenza,2019,Limited,44100,gas,V6,23.0,4,5
Cadenza,2019,Premium,33100,gas,V6,23.0,4,5
Cadenza,2019,Technology,38200,gas,V6,23.0,4,5
Forte,2019,EX,21990,gas,I4,34.0,4,5
Forte,2019,FE,18690,gas,I4,35.0,4,5
Forte,2019,FE,17790,gas,I4,31.0,4,5
Forte,2019,LXS,19190,gas,I4,34.0,4,5
Forte,2019,S,20290,gas,I4,34.0,4,5
K900,2019,Luxury,59900,gas,V6,21.0,4,5
Optima,2019,EX,26890,gas,I4,31.0,4,5
Optima,2019,LX,22990,gas,I4,27.0,4,5
Optima,2019,S,24990,gas,I4,27.0,4,5
Optima,2019,SX,31990,gas,I4,24.0,4,5
Optima Hybrid,2019,EX,28090,hybrid,I4,41.0,4,5
Optima Plug-In Hybrid,2019,EX,35390,plug-in hybrid,I4,40.0,4,5
Rio,2019,LX,15390,gas,I4,32.0,4,5
Rio,2019,S,16190,gas,I4,32.0,4,5
Stinger,2019,Base,32990,gas,I4,25.0,4,5
Stinger,2019,Base,35190,gas,I4,24.0,4,5
Stinger,2019,GT,39300,gas,V6,20.0,4,5
Stinger,2019,GT,41500,gas,V6,20.0,4,5
Stinger,2019,GT1,47500,gas,V6,20.0,4,5
Stinger,2019,GT1,45300,gas,V6,20.0,4,5
Stinger,2019,GT2,50200,gas,V6,20.0,4,5
Stinger,2019,GT2,52400,gas,V6,20.0,4,5
Stinger,2019,GTS,46400,gas,V6,20.0,4,5
Stinger,2019,GTS,44000,gas,V6,20.0,4,5
Stinger,2019,Premium,39190,gas,I4,25.0,4,5
Stinger,2019,Premium,41390,gas,I4,24.0,4,5
Cadenza,2018,Limited,44690,gas,V6,23.0,4,5
Cadenza,2018,Premium,32290,gas,V6,23.0,4,5
Cadenza,2018,Technology,39290,gas,V6,23.0,4,5
Forte,2018,EX,21700,gas,I4,28.0,4,5
Forte,2018,LX,16800,gas,I4,28.0,4,5
Forte,2018,LX,17900,gas,I4,32.0,4,5
Forte,2018,S,19400,gas,I4,32.0,4,5
K900,2018,Luxury V6,59900,gas,V6,20.0,4,5
