Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Soul,2020,EX,22690,gas,I4,30.0,5,5
Soul,2020,GT-Line,20290,gas,I4,30.0,5,5
Soul,2020,GT-Line Turbo,27490,gas,I4,29.0,5,5
Soul,2020,LX,18990,gas,I4,30.0,5,5
Soul,2020,LX,17490,gas,I4,27.0,5,5
Soul,2020,S,20290,gas,I4,30.0,5,5
Soul,2020,X-Line,21490,gas,I4,30.0,5,5
Soul,2019,!,22990,gas,I4,28.0,5,5
Soul,2019,+,20490,gas,I4,27.0,5,5
Soul,2019,Base,16490,gas,I4,27.0,5,5
Soul,2019,Base,18190,gas,I4,28.0,5,5
Soul EV,2019,+,35950,electric,,,5,5
Soul EV,2019,Base,33950,electric,,,5,5
Soul,2018,!,22900,gas,I4,28.0,5,5
Soul,2018,+,20400,gas,I4,27.0,5,5
Soul,2018,Base,17800,gas,I4,27.0,5,5
Soul,2018,Base,16200,gas,I4,27.0,5,5
Soul EV,2018,+,35950,electric,,,5,5
Soul EV,2018,Base,33950,electric,,,5,5
Soul EV,2018,e,32250,electric,,,5,5
Soul,2017,!,22800,gas,I4,28.0,5,5
Soul,2017,+,19800,gas,I4,27.0,5,5
Soul,2017,Base,16100,gas,I4,27.0,5,5
Soul,2017,Base,17700,gas,I4,27.0,5,5
Soul EV,2017,+,35950,electric,,,5,5
Soul EV,2017,Base,33950,electric,,,5,5
Soul EV,2017,e,32250,electric,,,5,5
Soul,2016,!,21300,gas,I4,27.0,5,5
Soul,2016,+,19400,gas,I4,27.0,5,5
Soul,2016,Base,17400,gas,I4,26.0,5,5
Soul,2016,Base,15900,gas,I4,26.0,5,5
Soul EV,2016,+,35950,electric,,,5,5
Soul EV,2016,Base,33950,electric,,,5,5
Soul EV,2016,e,31950,electric,,,5,5
Soul,2015,!,20790,gas,I4,26.0,5,5
Soul,2015,+,18690,gas,I4,26.0,5,5
Soul,2015,Base,17190,gas,I4,26.0,5,5
Soul,2015,Base,15190,gas,I4,26.0,5,5
Soul EV,2015,+,35700,electric,,,5,5
Soul EV,2015,Base,33700,electric,,,5,5
