Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Aventador,2020,S Roadster,460422,gas,V12,11.0,2,2
Aventador,2020,SVJ Roadster,573966,gas,V12,10.0,2,2
Huracan,2020,EVO Spyder,287400,gas,V10,15.0,2,2
Aventador,2019,S Roadster,460422,gas,V12,11.0,2,2
Huracan,2019,Performante Spyder,308859,gas,V10,15.0,2,2
Huracan,2019,Spyder,223654,gas,V10,15.0,2,2
Huracan,2019,Spyder,266325,gas,V10,15.0,2,2
Huracan,2018,Performante Spyder,308859,gas,V10,15.0,2,2
Huracan,2018,Spyder,219780,gas,V10,16.0,2,2
Huracan,2018,Spyder,262450,gas,V10,16.0,2,2
Aventador,2017,LP 700-4 Roadster,443800,gas,V12,12.0,2,2
Aventador,2017,LP 750-4 Superveloce Roadster,535500,gas,V12,13.0,2,2
Huracan,2017,LP 580-2 Spyder,219780,gas,V10,16.0,2,2
Huracan,2017,LP 610-4 Spyder,262450,gas,V10,16.0,2,2
Aventador,2016,LP 700-4 Roadster,443800,gas,V12,12.0,2,2
Aventador,2016,LP 750-4 Superveloce Roadster,535500,gas,V12,13.0,2,2
Huracan,2016,LP 610-4 Spyder,262350,gas,V10,16.0,2,2
Aventador,2015,LP 700-4 Roadster,441600,gas,V12,12.0,2,2
Aventador,2015,LP 720-4 Roadster 50 Anniversario,548800,gas,V12,12.0,2,2
