Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Aventador,2020,S,417826,gas,V12,11.0,2,2
Aventador,2020,SVJ,517770,gas,V12,10.0,2,2
Huracan,2020,EVO,261274,gas,V10,15.0,2,2
Aventador,2019,S,417826,gas,V12,11.0,2,2
Huracan,2019,Base,203674,gas,V10,15.0,2,2
Huracan,2019,Performante,281048,gas,V10,15.0,2,2
Huracan,2018,Base,238600,gas,V10,16.0,2,2
Huracan,2018,Base,199800,gas,V10,16.0,2,2
Huracan,2018,Performante,274390,gas,V10,15.0,2,2
Aventador,2017,LP 700-4,399500,gas,V12,13.0,2,2
Aventador,2017,LP 750-4 Superveloce,490700,gas,V12,13.0,2,2
Huracan,2017,LP 580-2,199800,gas,V10,17.0,2,2
Huracan,2017,LP 610-4,238600,gas,V10,17.0,2,2
Huracan,2017,LP 610-4 Avio,245500,gas,V10,17.0,2,2
Aventador,2016,LP 700-4,399500,gas,V12,13.0,2,2
Aventador,2016,LP 750-4 Superveloce,490700,gas,V12,13.0,2,2
Huracan,2016,LP 580-2,199800,gas,V10,17.0,2,2
Huracan,2016,LP 610-4,238500,gas,V10,17.0,2,2
Aventador,2015,LP 700-4,397500,gas,V12,13.0,2,2
Aventador,2015,LP 720-4 50 Anniversario,497650,gas,V12,13.0,2,2
Huracan,2015,LP 610-4,237250,gas,V10,16.0,2,2
