Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Defender,2020,110 P300,49900,gas,I4,18.0,5,5
Defender,2020,110 P300 S,53350,gas,I4,18.0,5,5
Defender,2020,110 P400 First Edition,68650,mild hybrid,I6,19.0,5,7
Defender,2020,110 P400 HSE,68350,mild hybrid,I6,19.0,5,5
Defender,2020,110 P400 SE,62250,mild hybrid,I6,19.0,5,5
Defender,2020,110 P400 X,80900,mild hybrid,I6,19.0,5,5
Defender,2020,90 P400 First Edition,65100,mild hybrid,I6,19.0,3,6
Discovery,2020,HSE,59700,gas,V6,18.0,5,5
Discovery,2020,HSE Luxury,67200,gas,V6,18.0,5,7
Discovery,2020,HSE Luxury Td6,69200,diesel,V6,23.0,5,7
Discovery,2020,HSE Td6,61700,diesel,V6,23.0,5,5
Discovery,2020,Landmark Edition,58500,gas,V6,18.0,5,7
Discovery,2020,SE,52300,gas,V6,18.0,5,5
Discovery,2020,SE Td6,54300,diesel,V6,23.0,5,5
Discovery Sport,2020,P250,37800,gas,I4,21.0,5,5
Discovery Sport,2020,P250 R-Dynamic S,43100,gas,I4,21.0,5,5
Discovery Sport,2020,P250 R-Dynamic SE,46150,gas,I4,21.0,5,5
Discovery Sport,2020,P250 S,41500,gas,I4,21.0,5,5
Discovery Sport,2020,P250 SE,44600,gas,I4,21.0,5,5
Discovery Sport,2020,P290 R-Dynamic HSE,52800,mild hybrid,I4,21.0,5,5
Range Rover,2020,P360,90900,mild hybrid,I6,21.0,5,5
Range Rover,2020,P400 HSE,96150,mild hybrid,I6,21.0,5,5
Range Rover,2020,P400e Autobiography,130300,plug-in hybrid,I4,19.0,5,5
Range Rover,2020,P400e HSE,95950,plug-in hybrid,I4,19.0,5,5
Range Rover,2020,P525 Autobiography,143800,gas,V8,18.0,5,5
Range Rover,2020,P525 Autobiography LWB,150300,gas,V8,18.0,5,5
Range Rover,2020,P525 HSE,105950,gas,V8,18.0,5,5
Range Rover,2020,P525 HSE LWB,109950,gas,V8,18.0,5,5
Range Rover,2020,SVAutobiography Dynamic,178500,gas,V8,16.0,5,5
Range Rover,2020,SVAutobiography LWB,209500,gas,V8,15.0,5,4
Range Rover,2020,TDv6,91700,diesel,V6,24.0,5,5
Range Rover,2020,TDv6 HSE,96950,diesel,V6,24.0,5,5
Range Rover Evoque,2020,First Edition,56850,gas,I4,23.0,5,5
Range Rover Evoque,2020,R-Dynamic HSE,55800,mild hybrid,I4,23.0,5,5
Range Rover Evoque,2020,R-Dynamic S,46600,mild hybrid,I4,23.0,5,5
Range Rover Evoque,2020,R-Dynamic SE,51150,mild hybrid,I4,23.0,5,5
Range Rover Evoque,2020,S,42650,gas,I4,23.0,5,5
Range Rover Evoque,2020,SE,47200,gas,I4,23.0,5,5
Range Rover Sport,2020,P360 HSE,74250,mild hybrid,I6,21.0,5,5
Range Rover Sport,2020,P360 SE,68650,mild hybrid,I6,21.0,5,5
Range Rover Sport,2020,P400 HST,82950,mild hybrid,I6,21.0,5,5
Range Rover Sport,2020,P400e Autobiography,88990,plug-in hybrid,I4,19.0,5,5
Range Rover Sport,2020,P400e HSE,79000,plug-in hybrid,I4,19.0,5,5
Range Rover Sport,2020,P525 Autobiography,97500,gas,V8,19.0,5,5
Range Rover Sport,2020,P525 HSE Dynamic,86500,gas,V8,19.0,5,5
Range Rover Sport,2020,SVR,114500,gas,V8,16.0,5,5
Range Rover Sport,2020,TDv6 HSE,75000,diesel,V6,24.0,5,5
Range Rover Sport,2020,TDv6 SE,69500,diesel,V6,24.0,5,5
Range Rover Velar,2020,P250 R-Dynamic S,58500,gas,I4,23.0,5,5
Range Rover Velar,2020,P250 S,56300,gas,I4,23.0,5,5
Range Rover Velar,2020,P340 R-Dynamic S,64400,gas,V6,20.0,5,5
Range Rover Velar,2020,P340 S,62200,gas,V6,20.0,5,5
Range Rover Velar,2020,P380 R-Dynamic HSE,75300,gas,V6,20.0,5,5
Range Rover Velar,2020,SVAutobiography Dynamic Edition,90790,gas,V8,17.0,5,5
Discovery,2019,HSE,59100,gas,V6,18.0,5,5
Discovery,2019,HSE Luxury,66500,gas,V6,18.0,5,7
Discovery,2019,HSE Luxury Td6,68500,diesel,V6,23.0,5,7
Discovery,2019,HSE Td6,61100,diesel,V6,23.0,5,5
Discovery,2019,SE,52300,gas,V6,18.0,5,5
Discovery,2019,SE Td6,54300,diesel,V6,23.0,5,5
Discovery Sport,2019,HSE,42395,gas,I4,22.0,5,5
Discovery Sport,2019,HSE Dynamic,49395,gas,I4,22.0,5,5
Discovery Sport,2019,HSE Luxury,46795,gas,I4,22.0,5,5
Discovery Sport,2019,HSE Luxury Dynamic,52895,gas,I4,22.0,5,5
Discovery Sport,2019,Landmark,44795,gas,I4,22.0,5,5
Discovery Sport,2019,SE,37795,gas,I4,22.0,5,5
Range Rover,2019,Autobiography,142295,gas,V8,18.0,5,5
Range Rover,2019,Autobiography LWB,148595,gas,V8,18.0,5,5
Range Rover,2019,Base,89160,gas,V6,19.0,5,5
Range Rover,2019,HSE,94350,gas,V6,19.0,5,5
Range Rover,2019,HSE Td6,96350,diesel,V6,24.0,5,5
Range Rover,2019,Supercharged,105150,gas,V8,18.0,5,5
Range Rover,2019,Supercharged LWB,109195,gas,V8,18.0,5,5
Range Rover,2019,SVAutobiography Dynamic,177500,gas,V8,16.0,5,5
Range Rover,2019,SVAutobiography LWB,208200,gas,V8,15.0,5,4
Range Rover,2019,Td6,91160,diesel,V6,24.0,5,5
Range Rover Evoque,2019,Autobiography 237 HP,62600,gas,I4,25.0,5,5
Range Rover Evoque,2019,Autobiography 286 HP,65600,gas,I4,24.0,5,5
Range Rover Evoque,2019,HSE,51100,gas,I4,25.0,5,5
Range Rover Evoque,2019,HSE Dynamic,57800,gas,I4,24.0,3,4
Range Rover Evoque,2019,HSE Dynamic 237 HP,54300,gas,I4,25.0,5,5
Range Rover Evoque,2019,HSE Dynamic 286 HP,57300,gas,I4,24.0,5,5
Range Rover Evoque,2019,Landmark Edition,48400,gas,I4,25.0,5,5
Range Rover Evoque,2019,SE,41800,gas,I4,25.0,5,5
Range Rover Evoque,2019,SE Dynamic,52100,gas,I4,24.0,3,4
Range Rover Evoque,2019,SE Premium,45900,gas,I4,25.0,5,5
Range Rover Sport,2019,Autobiography,96950,gas,V8,19.0,5,5
Range Rover Sport,2019,HSE,72650,gas,V6,19.0,5,5
Range Rover Sport,2019,HSE Dynamic,82450,gas,V6,19.0,5,5
Range Rover Sport,2019,HSE td6,74650,diesel,V6,24.0,5,5
Range Rover Sport,2019,P360 HSE,73990,mild hybrid,I6,21.0,5,5
